,cathode,dischargeCurrent,massFlowRate,gas,orificeDiameter,orificeLength,insertDiameter,insertLength,upstreamPressurePoint,orificeTemperature,insertTemperatureAverage,insertTemperature,totalPressure,totalPressureError_p,totalPressureError_m,electronDensity,electronTemperature,plasmaPotential,reference,note
0,NSTAR,5.95,0.177210058483875,Xe,1.02,0.74,3.8,25.4,130.0,,1148.0420543552796,,4.0275,,,,,,"K. K. Jameson, D. M. Goebel, and R. M. Watkins,Hollow Cathode and Keeper-Region Plasma Measurements,41st JPC, 2005.","Fig 3 - Pressure measured inside the 1/4"" hollow cathode for various NSTAR throttle levels. The throttle levels TH4, TH8, TH15 are from: V. Rawlin, J. Sovey, J. Anderson, and J. Polk, ""NSTAR flight thruster qualification testing, 34th AIAA/ASME/SAE/ASEE JPC, 1998. TH12: W. G. Tighe, K. Chien, D. M. Goebel, and R. T. Longo, ""Hollow Cathode Ignition and Life Model,"" 41st JPC, 2005. Tw is calculated with Polk's fit"
1,NSTAR,8.24,0.177210058483875,Xe,1.02,0.74,3.8,25.4,130.0,,1195.382905271655,,4.6019,,,,,,"K. K. Jameson, D. M. Goebel, and R. M. Watkins,Hollow Cathode and Keeper-Region Plasma Measurements,41st JPC, 2005.","Fig 3 - Pressure measured inside the 1/4"" hollow cathode for various NSTAR throttle levels. The throttle levels TH4, TH8, TH15 are from: V. Rawlin, J. Sovey, J. Anderson, and J. Polk, ""NSTAR flight thruster qualification testing, 34th AIAA/ASME/SAE/ASEE JPC, 1998. TH12: W. G. Tighe, K. Chien, D. M. Goebel, and R. T. Longo, ""Hollow Cathode Ignition and Life Model,"" 41st JPC, 2005. Tw is calculated with Polk's fit"
2,NSTAR,9.9,0.20160334588651366,Xe,1.02,0.74,3.8,25.4,130.0,,1221.3614675227632,,5.9054,,,,,,"K. K. Jameson, D. M. Goebel, and R. M. Watkins,Hollow Cathode and Keeper-Region Plasma Measurements,41st JPC, 2005.","Fig 3 - Pressure measured inside the 1/4"" hollow cathode for various NSTAR throttle levels. The throttle levels TH4, TH8, TH15 are from: V. Rawlin, J. Sovey, J. Anderson, and J. Polk, ""NSTAR flight thruster qualification testing, 34th AIAA/ASME/SAE/ASEE JPC, 1998. TH12: W. G. Tighe, K. Chien, D. M. Goebel, and R. T. Longo, ""Hollow Cathode Ignition and Life Model,"" 41st JPC, 2005. Tw is calculated with Polk's fit"
3,NSTAR,13.3,0.26545636291106783,Xe,1.02,0.74,3.8,25.4,130.0,,1264.4493932428954,,8.0824,,,"[[-7.99477000e+01  1.18642421e+18]
 [-7.95861000e+01  1.18642421e+18]
 [-7.92246000e+01  1.18645153e+18]
 [-7.88630000e+01  1.18645153e+18]
 [-7.85014000e+01  1.16901477e+18]
 [-7.81399000e+01  1.16904169e+18]
 [-7.77783000e+01  1.16904169e+18]
 [-7.74167000e+01  1.16904169e+18]
 [-7.71275000e+01  1.13495855e+18]
 [-7.67659000e+01  1.13495855e+18]
 [-7.64043000e+01  1.13498468e+18]
 [-7.61151000e+01  1.16906861e+18]
 [-7.57535000e+01  1.18650617e+18]
 [-7.53920000e+01  1.18653349e+18]
 [-7.50304000e+01  1.16909553e+18]
 [-7.46688000e+01  1.16912245e+18]
 [-7.43073000e+01  1.16912245e+18]
 [-7.39457000e+01  1.16912245e+18]
 [-7.36564000e+01  1.15196690e+18]
 [-7.32948000e+01  1.13503695e+18]
 [-7.29333000e+01  1.11838157e+18]
 [-7.25717000e+01  1.11838157e+18]
 [-7.22101000e+01  1.11838157e+18]
 [-7.19209000e+01  1.16917629e+18]
 [-7.15593000e+01  1.16917629e+18]
 [-7.11978000e+01  1.18661545e+18]
 [-7.08362000e+01  1.20431473e+18]
 [-7.04747000e+01  1.20434247e+18]
 [-7.01854000e+01  1.22230616e+18]
 [-6.98239000e+01  1.22230616e+18]
 [-6.94623000e+01  1.22230616e+18]
 [-6.91007000e+01  1.20437020e+18]
 [-6.87391000e+01  1.20437020e+18]
 [-6.83776000e+01  1.18667010e+18]
 [-6.80160000e+01  1.18669743e+18]
 [-6.76544000e+01  1.16925706e+18]
 [-6.73652000e+01  1.15209953e+18]
 [-6.70036000e+01  1.16928398e+18]
 [-6.66420000e+01  1.16928398e+18]
 [-6.62805000e+01  1.18672475e+18]
 [-6.59189000e+01  1.20442566e+18]
 [-6.56297000e+01  1.22239060e+18]
 [-6.52681000e+01  1.22239060e+18]
 [-6.49065000e+01  1.22241874e+18]
 [-6.45450000e+01  1.22241874e+18]
 [-6.41834000e+01  1.22241874e+18]
 [-6.38218000e+01  1.22244689e+18]
 [-6.34603000e+01  1.22244689e+18]
 [-6.30987000e+01  1.24068062e+18]
 [-6.27372000e+01  1.25918633e+18]
 [-6.23756000e+01  1.24070919e+18]
 [-6.20863000e+01  1.25921532e+18]
 [-6.17248000e+01  1.24070919e+18]
 [-6.13632000e+01  1.22250319e+18]
 [-6.10016000e+01  1.22250319e+18]
 [-6.06401000e+01  1.22250319e+18]
 [-6.02785000e+01  1.22250319e+18]
 [-5.99169000e+01  1.24076633e+18]
 [-5.95554000e+01  1.24076633e+18]
 [-5.92661000e+01  1.27805634e+18]
 [-5.89046000e+01  1.27805634e+18]
 [-5.85430000e+01  1.25927331e+18]
 [-5.82537000e+01  1.24079490e+18]
 [-5.78922000e+01  1.24079490e+18]
 [-5.75306000e+01  1.24079490e+18]
 [-5.71690000e+01  1.24082347e+18]
 [-5.68075000e+01  1.24082347e+18]
 [-5.64459000e+01  1.24082347e+18]
 [-5.60843000e+01  1.24085204e+18]
 [-5.57951000e+01  1.27811520e+18]
 [-5.54335000e+01  1.29717927e+18]
 [-5.50720000e+01  1.29720914e+18]
 [-5.47827000e+01  1.31655801e+18]
 [-5.44212000e+01  1.31655801e+18]
 [-5.40596000e+01  1.31655801e+18]
 [-5.36980000e+01  1.29723901e+18]
 [-5.33365000e+01  1.29723901e+18]
 [-5.29749000e+01  1.29723901e+18]
 [-5.26856000e+01  1.31658833e+18]
 [-5.23241000e+01  1.29726888e+18]
 [-5.19625000e+01  1.29726888e+18]
 [-5.16009000e+01  1.31661864e+18]
 [-5.12394000e+01  1.31664896e+18]
 [-5.08778000e+01  1.33628779e+18]
 [-5.05163000e+01  1.33628779e+18]
 [-5.01547000e+01  1.33628779e+18]
 [-4.97931000e+01  1.33631856e+18]
 [-4.95039000e+01  1.31667928e+18]
 [-4.91423000e+01  1.29735850e+18]
 [-4.87807000e+01  1.27829179e+18]
 [-4.84915000e+01  1.31670959e+18]
 [-4.81299000e+01  1.33634933e+18]
 [-4.77684000e+01  1.35628201e+18]
 [-4.74068000e+01  1.37651199e+18]
 [-4.70452000e+01  1.37651199e+18]
 [-4.66837000e+01  1.37654369e+18]
 [-4.63221000e+01  1.37654369e+18]
 [-4.59605000e+01  1.37654369e+18]
 [-4.55990000e+01  1.37654369e+18]
 [-4.53097000e+01  1.39707590e+18]
 [-4.49482000e+01  1.39710807e+18]
 [-4.45866000e+01  1.39710807e+18]
 [-4.42250000e+01  1.39710807e+18]
 [-4.38635000e+01  1.39714024e+18]
 [-4.35019000e+01  1.39714024e+18]
 [-4.31403000e+01  1.41797966e+18]
 [-4.27788000e+01  1.41797966e+18]
 [-4.24172000e+01  1.43912991e+18]
 [-4.20556000e+01  1.43916305e+18]
 [-4.17664000e+01  1.48238155e+18]
 [-4.14049000e+01  1.48241568e+18]
 [-4.11156000e+01  1.50452705e+18]
 [-4.07540000e+01  1.50452705e+18]
 [-4.03925000e+01  1.48244981e+18]
 [-4.00309000e+01  1.48244981e+18]
 [-3.96693000e+01  1.48244981e+18]
 [-3.93078000e+01  1.46069654e+18]
 [-3.89462000e+01  1.48248395e+18]
 [-3.85846000e+01  1.50459634e+18]
 [-3.82954000e+01  1.50459634e+18]
 [-3.79338000e+01  1.52703855e+18]
 [-3.75723000e+01  1.52703855e+18]
 [-3.72107000e+01  1.52707371e+18]
 [-3.68491000e+01  1.54985119e+18]
 [-3.64876000e+01  1.54985119e+18]
 [-3.61260000e+01  1.54985119e+18]
 [-3.57645000e+01  1.57296841e+18]
 [-3.54029000e+01  1.59643044e+18]
 [-3.51137000e+01  1.62024243e+18]
 [-3.47521000e+01  1.64444745e+18]
 [-3.43905000e+01  1.66897565e+18]
 [-3.40290000e+01  1.66897565e+18]
 [-3.38121000e+01  1.71913507e+18]
 [-3.34505000e+01  1.71913507e+18]
 [-3.30889000e+01  1.71913507e+18]
 [-3.27274000e+01  1.71913507e+18]
 [-3.23658000e+01  1.74481747e+18]
 [-3.20042000e+01  1.74481747e+18]
 [-3.16427000e+01  1.74481747e+18]
 [-3.12811000e+01  1.74481747e+18]
 [-3.09195000e+01  1.74485764e+18]
 [-3.05580000e+01  1.77088353e+18]
 [-3.01964000e+01  1.79729762e+18]
 [-2.98349000e+01  1.79729762e+18]
 [-2.95456000e+01  1.77092431e+18]
 [-2.91840000e+01  1.74489782e+18]
 [-2.88225000e+01  1.74489782e+18]
 [-2.84609000e+01  1.79733901e+18]
 [-2.81717000e+01  1.85135626e+18]
 [-2.78101000e+01  1.87897067e+18]
 [-2.74486000e+01  1.87897067e+18]
 [-2.71593000e+01  1.90699696e+18]
 [-2.67977000e+01  1.90704087e+18]
 [-2.64362000e+01  1.90704087e+18]
 [-2.60746000e+01  1.90704087e+18]
 [-2.57130000e+01  1.90708478e+18]
 [-2.53515000e+01  1.93553041e+18]
 [-2.49899000e+01  1.93553041e+18]
 [-2.46284000e+01  1.96440034e+18]
 [-2.42668000e+01  2.02343846e+18]
 [-2.39053000e+01  2.02343846e+18]
 [-2.36160000e+01  2.08425091e+18]
 [-2.32545000e+01  2.11533911e+18]
 [-2.28929000e+01  2.14689102e+18]
 [-2.25314000e+01  2.14689102e+18]
 [-2.21698000e+01  2.14694046e+18]
 [-2.18082000e+01  2.14694046e+18]
 [-2.15190000e+01  2.17896372e+18]
 [-2.11574000e+01  2.21146464e+18]
 [-2.07959000e+01  2.21146464e+18]
 [-2.05066000e+01  2.27792804e+18]
 [-2.01451000e+01  2.27792804e+18]
 [-1.97835000e+01  2.27798049e+18]
 [-1.94943000e+01  2.34638892e+18]
 [-1.91327000e+01  2.34644295e+18]
 [-1.87711000e+01  2.38144195e+18]
 [-1.84096000e+01  2.38144195e+18]
 [-1.81203000e+01  2.41696299e+18]
 [-1.77588000e+01  2.41696299e+18]
 [-1.74695000e+01  2.52673677e+18]
 [-1.71080000e+01  2.56442499e+18]
 [-1.67464000e+01  2.60267536e+18]
 [-1.64572000e+01  2.68089621e+18]
 [-1.61680000e+01  2.80259279e+18]
 [-1.58788000e+01  2.88682196e+18]
 [-1.56618000e+01  3.01793582e+18]
 [-1.53003000e+01  3.06295065e+18]
 [-1.50111000e+01  3.15500462e+18]
 [-1.47218000e+01  3.29822288e+18]
 [-1.43603000e+01  3.34741841e+18]
 [-1.41434000e+01  3.55156690e+18]
 [-1.38542000e+01  3.65830575e+18]
 [-1.35649000e+01  3.82445892e+18]
 [-1.32757000e+01  3.99806638e+18]
 [-1.30588000e+01  4.24199351e+18]
 [-1.27696000e+01  4.36938185e+18]
 [-1.25527000e+01  4.56783071e+18]
 [-1.22635000e+01  4.77529274e+18]
 [-1.21189000e+01  5.06652278e+18]
 [-1.17573000e+01  5.14209386e+18]
 [-1.16851000e+01  5.45569396e+18]
 [-1.13959000e+01  5.70348101e+18]
 [-1.12513000e+01  6.05131834e+18]
 [-1.09621000e+01  6.32601183e+18]
 [-1.08175000e+01  6.61332704e+18]
 [-1.06006000e+01  7.01665301e+18]
 [-1.03837000e+01  7.33533580e+18]
 [-1.01668000e+01  7.66831598e+18]
 [-9.94990000e+00  8.01659604e+18]
 [-9.73300000e+00  8.50550296e+18]
 [-9.58840000e+00  9.02422677e+18]
 [-9.37150000e+00  9.29544103e+18]
 [-9.22690000e+00  1.00094451e+19]
 [-9.08230000e+00  1.04638137e+19]
 [-8.79310000e+00  1.07782934e+19]
 [-8.50380000e+00  1.09390599e+19]
 [-2.45500000e-01  9.14008006e+20]
 [-1.91300000e-01  9.55498479e+20]
 [-1.37100000e-01  1.02131568e+21]
 [-1.19100000e-01  1.08762705e+21]
 [-8.30000000e-02  1.14968800e+21]
 [ 4.35000000e-02  1.22888148e+21]
 [ 1.52000000e-01  1.27991167e+21]
 [ 2.96500000e-01  1.34796930e+21]
 [ 3.68800000e-01  1.42491842e+21]
 [ 5.13400000e-01  1.48408918e+21]
 [ 7.12300000e-01  1.47863166e+21]
 [ 8.38800000e-01  1.44082090e+21]
 [ 1.03770000e+00  1.35300686e+21]
 [ 1.18240000e+00  1.27523434e+21]
 [ 1.27290000e+00  1.20636853e+21]
 [ 1.38140000e+00  1.15398457e+21]
 [ 1.58030000e+00  1.04042313e+21]
 [ 1.77920000e+00  9.59091407e+20]
 [ 1.88780000e+00  8.33278161e+20]
 [ 2.05080000e+00  6.12942874e+20]
 [ 2.08680000e+00  6.97685987e+20]
 [ 2.19540000e+00  5.77710153e+20]
 [ 2.34010000e+00  5.52624328e+20]
 [ 2.41250000e+00  5.13203961e+20]
 [ 2.48480000e+00  4.83704358e+20]
 [ 2.62950000e+00  4.55900428e+20]
 [ 2.84650000e+00  4.36103930e+20]
 [ 2.91880000e+00  4.04995316e+20]
 [ 3.06350000e+00  3.87409263e+20]
 [ 3.20820000e+00  3.65140495e+20]
 [ 3.28060000e+00  3.39093918e+20]
 [ 3.35290000e+00  3.19602377e+20]
 [ 3.49760000e+00  2.96804171e+20]
 [ 3.57000000e+00  2.75632231e+20]
 [ 3.64230000e+00  2.59788546e+20]
 [ 3.71470000e+00  2.44855577e+20]
 [ 3.93170000e+00  2.30780973e+20]
 [ 4.00400000e+00  2.17515395e+20]
 [ 4.14870000e+00  2.05012339e+20]
 [ 4.22110000e+00  1.90388188e+20]
 [ 4.36580000e+00  1.79444437e+20]
 [ 4.51040000e+00  1.66644122e+20]
 [ 4.51050000e+00  1.57065210e+20]
 [ 4.58290000e+00  1.45861273e+20]
 [ 4.79980000e+00  1.37480151e+20]
 [ 4.87220000e+00  1.29577620e+20]
 [ 4.94460000e+00  1.20334456e+20]
 [ 5.01690000e+00  1.11750635e+20]
 [ 5.08930000e+00  1.03779124e+20]
 [ 5.30630000e+00  9.92727380e+19]
 [ 5.37870000e+00  9.21913129e+19]
 [ 5.45100000e+00  8.56150274e+19]
 [ 5.52340000e+00  7.95078482e+19]
 [ 5.59580000e+00  7.49376380e+19]
 [ 5.81270000e+00  7.06301291e+19]
 [ 5.95740000e+00  6.65702212e+19]
 [ 6.02980000e+00  6.18229892e+19]
 [ 6.10220000e+00  5.82693267e+19]
 [ 6.31910000e+00  5.57378227e+19]
 [ 6.46380000e+00  5.25339432e+19]
 [ 6.53620000e+00  4.87876613e+19]
 [ 6.53620000e+00  4.53074897e+19]
 [ 6.60860000e+00  4.20755692e+19]
 [ 6.68100000e+00  3.90741914e+19]
 [ 7.00650000e+00  3.49687413e+19]
 [ 7.11500000e+00  3.25949260e+19]
 [ 7.20540000e+00  3.06083557e+19]
 [ 7.33200000e+00  2.83197881e+19]
 [ 7.45870000e+00  2.62996519e+19]
 [ 7.54910000e+00  2.37115530e+19]]","[[0.1673 1.5597]
 [1.0313 1.6339]
 [1.8767 1.4162]
 [2.9166 1.412 ]
 [4.2681 1.3164]
 [4.9778 1.2555]
 [5.5578 1.3689]
 [6.2922 1.1773]
 [6.7643 1.2123]
 [8.3996 1.5218]
 [9.998  1.2084]]","[[-0.2999  8.0627]
 [ 0.7373  6.02  ]
 [ 2.8417  5.7459]
 [ 4.764   5.7985]
 [ 6.8745  5.7596]
 [ 8.3618  5.4288]
 [ 9.6208  4.9739]
 [ 9.6208  4.8388]
 [11.3258  4.4493]]","K. K. Jameson, D. M. Goebel, and R. M. Watkins,Hollow Cathode and Keeper-Region Plasma Measurements,41st JPC, 2005.","Fig 3 - Pressure measured inside the 1/4"" hollow cathode for various NSTAR throttle levels. The throttle levels TH4, TH8, TH15 are from: V. Rawlin, J. Sovey, J. Anderson, and J. Polk, ""NSTAR flight thruster qualification testing, 34th AIAA/ASME/SAE/ASEE JPC, 1998. TH12: W. G. Tighe, K. Chien, D. M. Goebel, and R. T. Longo, ""Hollow Cathode Ignition and Life Model,"" 41st JPC, 2005. Tw is calculated with Polk's fit"
4,NSTAR,12.0,0.21523488884681174,Xe,1.02,0.74,3.8,25.4,130.0,,1250.0383228905657,,6.5039,,,,,,"I. G. Mikellides, ""Effects of viscosity in a partially ionized channel flow with thermionic emission,"" Phys. Plasmas, vol. 16, no. 1, 2009.",Fig. 10 - Comparisons between measured and computed values of the cathode gas pressure. Tw is calculated with Polk's fit
5,NSTAR,12.0,0.23317112958404604,Xe,1.02,0.74,3.8,25.4,130.0,,1250.0383228905657,,7.0642,,,,,,"I. G. Mikellides, ""Effects of viscosity in a partially ionized channel flow with thermionic emission,"" Phys. Plasmas, vol. 16, no. 1, 2009.",Fig. 10 - Comparisons between measured and computed values of the cathode gas pressure. Tw is calculated with Polk's fit
6,NSTAR,12.0,0.25110737032128033,Xe,1.02,0.74,3.8,25.4,130.0,,1250.0383228905657,,7.5596,,,,,,"I. G. Mikellides, ""Effects of viscosity in a partially ionized channel flow with thermionic emission,"" Phys. Plasmas, vol. 16, no. 1, 2009.",Fig. 10 - Comparisons between measured and computed values of the cathode gas pressure. Tw is calculated with Polk's fit
7,NSTAR,12.0,0.26904361105851465,Xe,1.02,0.74,3.8,25.4,130.0,,1250.0383228905657,,7.4458,,,,,,"I. G. Mikellides, ""Effects of viscosity in a partially ionized channel flow with thermionic emission,"" Phys. Plasmas, vol. 16, no. 1, 2009.",Fig. 10 - Comparisons between measured and computed values of the cathode gas pressure. Tw is calculated with Polk's fit
8,NSTAR,12.0,0.286979851795749,Xe,1.02,0.74,3.8,25.4,130.0,,1250.0383228905657,,7.9005,,,,,,"I. G. Mikellides, ""Effects of viscosity in a partially ionized channel flow with thermionic emission,"" Phys. Plasmas, vol. 16, no. 1, 2009.",Fig. 10 - Comparisons between measured and computed values of the cathode gas pressure. Tw is calculated with Polk's fit
9,NSTAR,12.0,0.3049160925329833,Xe,1.02,0.74,3.8,25.4,130.0,,1250.0383228905657,,8.4528,,,,,,"I. G. Mikellides, ""Effects of viscosity in a partially ionized channel flow with thermionic emission,"" Phys. Plasmas, vol. 16, no. 1, 2009.",Fig. 10 - Comparisons between measured and computed values of the cathode gas pressure. Tw is calculated with Polk's fit
