# Tw (C), epsilon (g/cm2/s), Jd (A/cm2)
Tw,epsilon,Jd
965.085264262,2.02162208798e-10,1.0951
978.85749804,2.99274697156e-10,1.33013
986.849750724,3.49156394355e-10,1.48627
990.508497626,4.14390699853e-10,1.56305
997.469388193,4.91812995268e-10,1.71895
1003.8893353,5.83700412197e-10,1.87486
1006.87751457,6.92771479438e-10,1.95163
1012.63721341,8.22204785146e-10,2.10754
1018.03722794,9.59246006866e-10,2.26368
1025.57150183,1.13846582948e-09,2.49871
1030.22896286,1.35117001855e-09,2.65462
1036.8164107,1.57634037741e-09,2.88989
1042.93764346,1.87081136697e-09,3.12492
1048.66869346,2.18257913941e-09,3.36019
1055.79010283,2.59029960905e-09,3.67435
1060.77771779,3.02196896562e-09,3.90962
1068.55458952,3.52549416323e-09,4.30315
1074.32717022,4.11291751714e-09,4.61755
1081.0810215,4.79821826943e-09,5.01108
1087.38448605,5.50262605216e-09,5.40485
1093.2905649,6.41948221508e-09,5.79838
1099.93588069,7.36173194686e-09,6.27127
1106.15238037,8.44228482011e-09,6.74417
1111.99500487,9.68144092972e-09,7.21706
1118.40488253,1.09136494503e-08,7.76932
1124.42460407,1.23026877081e-08,8.32158
1130.88950216,1.38681969281e-08,8.95297
1136.22487669,1.53680937079e-08,9.50547
1141.99942301,1.70294256188e-08,10.1371
1148.13206386,1.85498328243e-08,10.8481
1153.92052233,2.02055185239e-08,11.5591
1158.80925496,2.16361508133e-08,12.1912
1164.04860173,2.35673092143e-08,12.9022
1166.85337875,2.39728683273e-08,13.2976
1171.18511717,2.65643993203e-08,13.9292
1175.86083936,2.84446110745e-08,14.6404
1180.34420453,2.94313375708e-08,15.3521
1185.11722645,3.04522930174e-08,16.143
1189.23821305,3.2053097161e-08,16.8544
1193.64370566,3.31649998752e-08,17.6452
1197.87979859,3.43154738276e-08,18.4361
1201.5586019,3.49027784077e-08,19.148
1205.50858474,3.55001346244e-08,19.9391
