x,20A,30A,40A,50A,60A,70A,80A,100A,90A
0.32717,20.05618,,,,,,,,
0.34884,20.03881,,,,,,,,
0.36248,20.03149,,,,,,,,
0.37773,20.02509,,,,,,,,
0.38416,20.04612,,,,,,,,
0.38898,20.058,,,,,,,,
0.39542,20.07994,,,,,,,,
0.39549,,20.25361,,,,,,,
0.40104,20.09273,,,,,,,,
0.41469,20.10187,,,,,,,,
0.42352,20.10187,,,,,,,,
0.4268,,20.27372,,,,,,,
0.44119,20.11375,,,,,,,,
0.4525,,20.2856,,,,,,,
0.46046,20.12015,,,,,,,,
0.46929,20.12472,,,,,,,,
0.46943,,,,20.46567,,,,,
0.47427,,,,,20.52783,,,,
0.47893,20.13934,,,,,,,,
0.48536,20.15031,,,,,,,,
0.48702,,20.2993,,,,,,,
0.48947,,,20.39894,,,,,,
0.49033,,,,,20.53696,,,,
0.50062,20.16676,,,,,,,,
0.51078,,,,20.4812,,,,,
0.51828,20.16036,,,,,,,,
0.51915,,20.32032,,,,,,,
0.52004,,,,,20.54702,,,,
0.52488,,,,,,20.60186,,,
0.52641,,,20.4099,,,,,,
0.52813,,,,,,,,20.7152,
0.52872,20.1823,,,,,,,,
0.53212,,,,,,,20.64208,,
0.5361,,,,,20.56072,,,,
0.53648,,,,20.49491,,,,,
0.54157,20.19692,,,,,,,,
0.54966,,20.35231,,,,,,,
0.55523,20.20697,,,,,,,,
0.56013,,,20.42818,,,,,,
0.56021,,,,,,20.61465,,,
0.56137,,,,20.50633,,,,,
0.56184,,,,,,,,,20.68412
0.57143,,,,,20.57626,,,,
0.57209,20.22068,,,,,,,,
0.57267,,,,,,,20.66173,,
0.57822,,,,20.48714,,,,,
0.58113,,,,,,,,20.728,
0.58259,,20.37151,,,,,,,
0.58815,20.23988,,,,,,,,
0.59225,,,20.44463,,,,,,
0.59714,,,,,,20.62562,,,
0.60181,20.25267,,,,,,,,
0.60753,,,,20.50816,,,,,
0.60903,20.25633,,,,,,,,
0.61158,,,,,20.59454,,,,
0.61281,,,,,,,20.67315,,
0.62036,,,20.46474,,,,,,
0.62319,,,,20.51912,,,,,
0.62604,,,,,,20.6311,,,
0.62669,20.24536,,,,,,,,
0.63077,,20.39435,,,,,,,
0.63572,,,,,,,,20.74079,
0.64356,20.25724,,,,,,,,
0.6517,,,,20.54563,,,,,
0.65454,,,,,20.61373,,,,
0.65649,,,20.47936,,,,,,
0.65655,,,,,,20.63475,,,
0.66179,,,,,,,20.6736,,
0.67413,,20.41446,,,,,,,
0.67743,,,,,,20.6512,,,
0.67969,20.28283,,,,,,,,
0.68342,,,,20.56071,,,,,
0.69423,,,20.49398,,,,,,
0.69674,,,,,,,,,20.74352
0.69836,,,,,,,,20.77734,
0.69897,20.29745,,,,,,,,
0.70153,,,,,,,20.69233,,
0.70229,,,,20.57487,,,,,
0.70271,,,,,20.63292,,,,
0.70303,,20.42816,,,,,,,
0.70474,,,,,,20.67314,,,
0.72072,,,20.5022,,,,,,
0.72386,20.31664,,,,,,,,
0.73364,,,,,,20.68776,,,
0.73446,,,,,,,20.72067,,
0.73561,,,,20.57807,,,,,
0.73836,,20.44553,,,,,,,
0.74768,,,,,20.64754,,,,
0.75036,20.3331,,,,,,,,
0.75043,,,20.51408,,,,,,
0.75487,,,,20.57624,,,,,
0.76255,,,,,,20.70055,,,
0.76537,,,,,,,20.73529,,
0.7753,,20.46563,,,,,,,
0.77766,20.35229,,,,,,,,
0.78185,,,,,,,,,20.77368
0.78338,,,,20.60229,,,,,
0.78503,,,,,,20.69507,,,
0.79144,,,,,20.66947,,,,
0.79219,,,20.53327,,,,,,
0.80113,,,,,,,,20.80841,
0.80175,20.36965,,,,,,,,
0.80265,,,,20.60731,,,,,
0.80662,,20.48026,,,,,,,
0.80832,,,,,,,20.72477,,
0.8143,,,,20.62194,,,,,
0.82035,,,,,,20.70466,,,
0.82752,,,20.54972,,,,,,
0.82825,20.38427,,,,,,,,
0.83597,,,,20.61051,,,,,
0.83633,,20.49488,,,,,,,
0.83881,,,,,20.68409,,,,
0.85488,,,,,,20.71608,,,
0.85524,,,,20.61873,,,,,
0.85555,20.39524,,,,,,,,
0.87376,,,,,,,20.74579,,
0.87567,,20.51955,,,,,,,
0.87649,,,20.56069,,,,,,
0.88136,,,,,20.69963,,,,
0.88526,20.41443,,,,,,,,
0.8986,,,,20.64021,,,,,
0.9039,,,,,,,,20.83582,
0.9094,,20.53143,,,,,,,
0.91658,20.43271,,,,,,,,
0.92316,,,,,,,,,20.81297
0.92547,,,20.57805,,,,,,
0.92834,,,,,,20.73755,,,
0.93355,,,,,20.70876,,,,
0.94276,,,,20.65209,,,,,
0.94321,,,,,,,20.76772,,
0.94392,,20.54697,,,,,,,
0.9471,20.45282,,,,,,,,
0.97209,,,,,20.71972,,,,
0.97525,,,20.59724,,,,,,
0.9768,20.46287,,,,,,,,
0.98086,,20.56342,,,,,,,
0.98371,,,,20.66853,,,,,
0.9914,,,,,,,,,20.82576
0.99382,,,,,,,,20.84678,
1.0082,,,,20.67402,,,,,
1.01053,20.48389,,,,,,,,
1.01304,,,,,20.73252,,,,
1.0186,,20.57895,,,,,,,
1.02263,,,20.6146,,,,,,
1.02711,,,,,,,20.79696,,
1.02871,,,,,,20.76634,,,
1.0355,,,,20.67858,,,,,
1.05148,20.50308,,,,,,,,
1.05318,,,,,20.73891,,,,
1.06758,,20.59997,,,,,,,
1.07241,,,20.63105,,,,,,
1.0749,,,,,,,,,20.83946
1.07885,,,,20.69503,,,,,
1.0828,20.52044,,,,,,,,
1.09819,,,,,,,,20.86688,
1.10178,,,,,,,20.81614,,
1.10457,,,,,20.75444,,,,
1.10532,,,20.63836,,,,,,
1.11181,,,,,,20.79192,,,
1.11334,,20.61733,,,,,,,
1.11498,,,,20.69686,,,,,
1.11733,20.53689,,,,,,,,
1.14788,,,20.64475,,,,,,
1.15108,,20.63287,,,,,,,
1.15185,20.54786,,,,,,,,
1.15352,,,,20.71148,,,,,
1.16558,,,,,20.75809,,,,
1.17847,,,,,,,,,20.8559
1.18008,,,,,,,,20.87418,
1.18156,20.55974,,,,,,,,
1.18962,,20.64749,,,,,,,
1.19371,,,,,,,20.83533,,
1.19447,,,,20.72244,,,,,
1.19605,,,20.65663,,,,,,
1.20573,,,,,20.77089,,,,
1.20895,,,,,,20.80745,,,
1.21615,,,,20.72518,,,,,
1.21689,20.5771,,,,,,,,
1.22816,,20.66028,,,,,,,
1.24346,,,,,20.78094,,,,
1.2482,20.58989,,,,,,,,
1.25466,,,20.67033,,,,,,
1.25629,,,,20.73432,,,,,
