x,Curve1
0.3034,15.0709
0.80131,12.9149
0.9011,12.2969
1.50092,9.0941
2.00687,8.8551
2.90375,8.4055
3.50484,8.6011

x,Curve2
0.30002,15.2123
0.70088,11.8091
0.79983,10.5865
1.39838,9.2019
2.00328,8.7137
2.80332,8.8178
3.50293,7.1162

x,Curve2-1
0.30065,14.2055
0.703,10.8012
0.80173,9.6062
1.40029,8.194
2.00391,7.7184
2.80459,7.8122
3.50462,6.1037

x,Curve2-2
0.30107,16.2053
0.70236,12.8044
0.80089,11.5864
1.40029,10.1868
2.00412,9.6814
2.80353,9.7912
3.50462,8.1

x,Curve3
0.49982,10.9088
0.89984,10.119
1.50071,8.6183
2.0037,8.1138
2.70374,7.9269

x,Curve4
0.30319,2.3337
0.80216,2.3808
0.90237,2.3925
1.5024,1.9802
2.00412,1.6538
2.90396,1.2686
3.50484,1.2286

x,Curve5
0.30044,2.4682
0.70342,2.245
0.80258,2.2498
1.40029,1.8478
2.00285,1.4768
2.80353,1.2189
3.5042,1.2056

x,Curve5-1
0.30044,1.9441
0.70279,1.7094
0.80089,1.7487
1.40134,1.357
2.00391,0.993
2.80311,0.7098
3.50547,0.6654

x,Curve5-2
0.30107,2.9451
0.70384,2.7139
0.8011,2.7635
1.40134,2.373
2.00349,1.9629
2.8048,1.7074
3.50462,1.6561

x,Curve6
0.50066,2.1836
0.90237,2.0983
1.50156,1.5802
2.00412,1.1814
2.70416,1.0969
