x,Te 5.5 sccm 10 A
-1.6886,4.686
-0.7479,4.0178
0.8702,4.0193
3.3161,3.458
5.3481,3.8119
7.5682,4.0251
9.9765,4.1681
12.1966,4.1701
14.6049,3.8201
16.6745,4.174
19.2709,3.6833
21.4534,4.2134
23.6736,4.3562
25.7056,3.9707
27.9633,3.198
29.619,1.791
31.0865,1.4754

x,phip 5.5 sccm 10 A
-1.9144,23.7351
-0.5974,23.7715
1.4346,23.2451
3.4666,22.6131
5.461,21.3824
7.6811,20.3633
10.0141,19.8019
12.3848,18.7477
14.793,18.785
17.0508,17.4138
19.4214,18.2609
21.6416,15.7629
23.8617,15.8353
26.0818,14.8161
27.9257,12.036
29.8071,9.9954
31.3123,5.5953
32.4036,4.9273

x,Te 10 sccm 25 A
-3.4572,3.2408
-2.6294,3.1007
-1.7639,2.6437
-0.1834,1.9761
1.4722,1.9423
3.2785,1.9439
5.5738,1.9107
7.794,1.9127
9.9765,1.7033
12.4224,1.9872
14.7554,1.5667
17.0132,1.4278
19.6096,1.3949

x,phip 10 sccm 25 A
-3.269,16.4804
-2.5917,15.9528
-1.6886,14.2987
-0.1834,10.3916
1.5099,10.3931
3.3161,10.3242
5.6115,10.0093
7.7187,10.0464
9.9389,10.0484
12.3848,10.4026
14.8307,10.7921
16.9755,10.301
19.6472,9.071
