x,Curve1
-3.4738,0.87035
-3.1544,0.96343
-2.8705,1.07048
-2.5865,1.19149
-2.3026,1.33577
-2.1251,1.4754
-1.9831,1.59176
-1.7702,1.75
-1.5927,1.88963
-1.4862,2.05253
-1.2378,2.25731
-1.0603,2.43883
-0.8119,2.62035
-0.6699,2.74136
-0.315,2.87633
0.0754,2.99269
0.3239,3.04388
0.8208,2.96476
1.1047,3.01596
1.6016,3.03923
1.992,2.99269
2.5954,2.95545
2.9503,2.8996
3.3762,2.86702
3.8021,2.81117
4.2635,2.75997
4.4765,2.69947
4.7604,2.62035
5.2573,2.53657
5.6122,2.45745
6.0382,2.35505
6.535,2.2387
6.8545,2.13165
7.3159,2.04787
7.7063,1.97806
8.0612,1.87566
8.2387,1.8012
8.5581,1.70346
9.0195,1.62899
9.4099,1.51729
9.8004,1.45678
10.1553,1.35439
10.5457,1.29388
10.8296,1.2008
11.2201,1.11702
11.362,1.04255
11.7524,0.99136
12.4978,0.86104
12.6752,0.79122
13.2076,0.73537
13.6335,0.68883
14.024,0.58178
14.6273,0.54455
15.3372,0.47473
15.9406,0.44681
16.5084,0.3863
17.1828,0.33045
17.7507,0.28856
18.567,0.23271
19.2059,0.20479
19.9157,0.17686
20.732,0.17221
21.4419,0.17221
22.4002,0.15359
23.11,0.14428
23.9973,0.13032
24.9556,0.13497
25.8784,0.12101
26.6593,0.13032
27.5111,0.13032
28.4339,0.13032
29.3567,0.12566
30.173,0.12566
30.9184,0.12101
31.8412,0.12566
32.7285,0.12566
33.5093,0.12101
34.4676,0.12101
