x,Curve1
-7.99475,11.95211
-7.96583,11.9714
-7.92967,11.97783
-7.90075,11.98426
-7.86459,11.98426
-7.82843,11.98427
-7.79228,11.97784
-7.75612,11.97784
-7.71996,11.97785
-7.68381,11.97785
-7.66211,11.95857
-7.62595,11.95857
-7.5898,11.97143
-7.56088,11.98429
-7.52472,11.98429
-7.49579,11.97144
-7.45963,11.96501
-7.43071,11.95859
-7.39455,11.96502
-7.36563,11.97788
-7.32947,11.98431
-7.30055,11.97788
-7.27162,11.96503
-7.23546,11.9586
-7.19931,11.96503
-7.17038,11.97146
-7.14146,11.97789
-7.1053,11.9779
-7.06915,11.9779
-7.03299,11.98433
-6.99683,11.98433
-6.96791,11.98433
-6.93175,11.99077
-6.8956,11.99077
-6.85944,11.99077
-6.82328,11.99077
-6.78713,11.98435
-6.75097,11.99078
-6.72205,11.99721
-6.69312,12.00364
-6.65697,12.00364
-6.62081,11.99722
-6.58465,11.99079
-6.54849,11.98437
-6.51234,11.98437
-6.47618,11.98437
-6.44002,11.98438
-6.40387,11.98438
-6.36771,11.98438
-6.33155,11.98439
-6.2954,11.98439
-6.25924,11.98439
-6.23031,11.97797
-6.19416,11.97797
-6.158,11.97797
-6.12185,11.99083
-6.08569,11.99083
-6.064,12.00369
-6.02784,12.00369
-5.99169,12.01012
-5.95553,12.01013
-5.91937,12.0037
-5.88321,12.00371
-5.85429,11.99085
-5.81813,11.99086
-5.78197,11.99086
-5.74582,11.99086
-5.71689,11.99086
-5.68074,11.99087
-5.64458,11.98444
-5.60842,11.98444
-5.57227,11.98445
-5.53611,11.98445
-5.50718,11.99088
-5.47103,11.99088
-5.43487,11.99089
-5.39871,11.98446
-5.36979,11.97161
-5.34086,11.97804
-5.30471,11.97804
-5.26855,11.97804
-5.23963,11.9909
-5.20347,11.99733
-5.17455,12.00376
-5.14562,12.01019
-5.10947,12.01662
-5.08054,12.00377
-5.04438,11.99734
-5.01546,11.99092
-4.9793,11.99092
-4.94314,11.99093
-4.90699,11.99093
-4.87806,12.01021
-4.84191,12.01022
-4.80575,12.01665
-4.7696,12.01665
-4.73344,12.01665
-4.69728,12.01023
-4.66112,12.01023
-4.6322,12.02309
-4.59605,12.02952
-4.56712,12.04238
-4.5382,12.05524
-4.50204,12.05524
-4.47312,12.04239
-4.43696,12.03596
-4.4008,12.03596
-4.37188,12.03597
-4.33572,12.03597
-4.29956,12.03597
-4.26341,12.03597
-4.22725,12.02955
-4.19109,12.02955
-4.15494,12.02956
-4.11878,12.03599
-4.08262,12.03599
-4.06093,12.04885
-4.02477,12.04242
-3.99585,12.036
-3.95969,12.04243
-3.93077,12.05528
-3.89461,12.06172
-3.85846,12.05529
-3.82953,12.05529
-3.8006,12.04244
-3.76445,12.04887
-3.73552,12.0553
-3.7066,12.06816
-3.67045,12.06816
-3.63429,12.06174
-3.59813,12.06174
-3.56197,12.06174
-3.53305,12.06817
-3.49689,12.06817
-3.46074,12.07461
-3.42458,12.08104
-3.41012,12.08747
-3.37397,12.0939
-3.34504,12.10675
-3.30889,12.10033
-3.27273,12.0939
-3.23657,12.08748
-3.20041,12.08748
-3.16426,12.08748
-3.13533,12.10034
-3.09918,12.10677
-3.06302,12.10678
-3.02687,12.10678
-2.99071,12.11321
-2.96179,12.12607
-2.92563,12.1325
-2.89671,12.1325
-2.86055,12.1325
-2.8244,12.14536
-2.79547,12.15179
-2.76655,12.16465
-2.73039,12.15823
-2.69423,12.14537
-2.67254,12.15823
-2.63639,12.16466
-2.60023,12.17109
-2.57131,12.18395
-2.53515,12.18395
-2.49899,12.19038
-2.46284,12.19681
-2.42668,12.19682
-2.39053,12.19682
-2.35437,12.20325
-2.31821,12.20325
-2.28929,12.21611
-2.25314,12.22254
-2.22421,12.22897
-2.18806,12.2354
-2.1519,12.2354
-2.12298,12.24826
-2.08682,12.25469
-2.0579,12.26755
-2.02174,12.26755
-1.98559,12.28041
-1.94943,12.28042
-1.92051,12.28685
-1.88435,12.29328
-1.8482,12.29971
-1.81927,12.31256
-1.79035,12.31899
-1.75419,12.319
-1.71804,12.32543
-1.68911,12.33829
-1.66019,12.35114
-1.62404,12.35757
-1.59511,12.37043
-1.56619,12.38972
-1.53004,12.39615
-1.50111,12.40258
-1.46496,12.41544
-1.4288,12.42187
-1.39988,12.43473
-1.37096,12.44758
-1.3348,12.46687
-1.30588,12.47973
-1.28419,12.49901
-1.25527,12.5183
-1.22635,12.53116
-1.19742,12.55044
-1.16127,12.5633
-1.13958,12.58259
-1.11066,12.60187
-1.08897,12.62758
-1.05281,12.63401
-1.03835,12.65973
-1.00943,12.67258
-0.98774,12.6983
-0.96605,12.72401
-0.94436,12.7433
-0.91544,12.76258
-0.90098,12.78829
-0.87206,12.80758
-0.84314,12.82044
0.04097,14.87338
0.05995,14.89587
0.07486,14.93525
0.08931,14.96096
0.11824,14.96096
0.14717,14.94811
0.16887,14.9224
0.19056,14.90312
0.21226,14.87741
0.22673,14.84527
0.2412,14.81956
0.2629,14.79385
0.27736,14.76814
0.2846,14.74886
0.29907,14.71672
0.31353,14.69101
0.33523,14.67173
0.34247,14.63959
0.36417,14.62031
0.3714,14.58817
0.38587,14.55603
0.40034,14.53032
0.42204,14.49819
0.42927,14.46605
0.44374,14.44677
0.45098,14.41463
0.46545,14.38249
0.47991,14.36321
0.49438,14.33107
0.50162,14.29893
0.50885,14.27322
0.53055,14.25394
0.54502,14.2218
0.56672,14.19609
0.57395,14.17038
0.58842,14.13824
0.59566,14.11253
0.6029,14.0804
0.61736,14.05469
0.63183,14.02898
0.6463,14.00327
0.66077,13.97756
0.66077,13.94542
0.66801,13.91328
0.68248,13.88757
0.68971,13.86186
0.70418,13.82972
0.72588,13.81687
0.73311,13.78473
0.74758,13.75902
0.75482,13.72688
0.78375,13.71403
0.79098,13.68189
0.79822,13.65618
0.81359,13.61761
0.83077,13.57101
0.85609,13.53807
0.86875,13.4987
0.88503,13.46175
x,Curve2
-7.99477,12.07424
-7.95861,12.07424
-7.92246,12.07425
-7.8863,12.07425
-7.85014,12.06782
-7.81399,12.06783
-7.77783,12.06783
-7.74167,12.06783
-7.71275,12.05498
-7.67659,12.05498
-7.64043,12.05499
