x,phip TH8,Te TH8,phip TH15,Te TH15
-0.2999,,,8.0627,
-0.0596,10.2362,,,
0.1673,,,,1.5597
0.7373,,,6.02,
0.9401,10.0883,,,
0.951,,1.5424,,
1.0313,,,,1.6339
1.4154,9.5439,,,
1.4324,,1.4597,,
1.8767,,,,1.4162
1.9492,9.7836,,,
2.5432,,1.5252,,
2.551,9.2348,,,
2.8225,9.4614,,,
2.8417,,,5.7459,
2.8456,,1.5775,,
2.9166,,,,1.412
4.0567,9.4746,,,
4.0675,,1.4209,,
4.1585,9.3832,,,
4.1693,,1.3295,,
4.2681,,,,1.3164
4.764,,,5.7985,
4.9114,9.1611,,,
4.913,,1.3078,,
4.9778,,,,1.2555
5.328,9.0436,,,
5.3295,,1.3122,,
5.5578,,,,1.3689
6.2922,,,,1.1773
6.3988,8.7781,,,
6.7643,,,,1.2123
6.8745,,,5.7596,
7.5096,8.3732,,,
7.5449,,1.4563,,
8.3618,,,5.4288,
8.3996,,,,1.5218
9.6208,,,4.9739,
9.6208,,,4.8388,
9.998,,,,1.2084
11.3258,,,4.4493,
