x,8.9A,15.6A,25.1A,31.3A
1.77636e-15,,,,20.48321
0.0501,,,20.29736,
0.1002,,20.26139,,
0.501,,,,20.67506
0.5511,,,20.4952,
0.8517,,20.53717,,
1.0521,,,20.69305,20.84293
1.8537,,20.71103,,
1.9038,,,,20.98681
1.9539,20.64508,,,
2.2044,,,20.8789,
2.9559,,,,21.04676
3.006,20.71703,,,
3.3066,,20.79496,,
3.3567,,,20.95683,
4.1082,,,,21.05875
4.3587,20.73501,,,
4.8597,,,20.96283,
5.1102,,20.80096,,
5.4609,20.73501,,,
6.012,,,,21.02278
6.513,20.73501,,,
6.7635,,,20.90887,
6.8136,,20.79496,,
7.5651,20.71103,,,
8.016,,,,20.94484
8.2164,,20.77098,,
8.4168,,,20.86091,
8.7174,20.65108,,,
9.7695,20.60312,,,
9.8196,,,20.81295,
9.9198,,,,20.88489
9.9699,,20.70504,,
10.8216,20.55516,,,
11.3727,,20.64508,,
11.523,,,20.76499,
11.6733,,,,20.81295
11.8737,20.48321,,,
12.7756,,20.59712,,
13.0261,,,20.70504,
13.477,20.36331,,,
13.978,,,,20.71703
14.2285,,20.53717,,
14.4289,,,20.60911,
14.98,20.2494,,,
15.3307,,,,20.6211
15.6313,,20.48921,,
15.7315,,,20.53717,
16.0822,20.15348,,,
16.8337,,20.42326,,
17.1844,,,,20.4952
17.8357,20.00959,,,
18.8377,,,,20.36331
19.3888,19.86571,,,
20.2906,,,,20.23141
20.8918,19.7518,,,
21.7435,,,,20.08153
22.0441,19.65588,,,
22.2946,,,19.95564,
23.2465,19.54197,,,
23.497,,,,19.93765
23.7976,,,19.78777,
24.3988,19.45204,,,
24.7495,,19.58393,,
25.1002,19.36211,,,
25.3507,,,,19.73981
25.8517,,,19.55396,
26.1022,,19.39209,,
26.1523,19.23022,,,
27.0541,,,,19.54197
27.2545,19.08034,19.21823,,
27.7555,,,19.36811,
28.2064,,19.06835,,
28.3567,18.88249,,,
28.7575,,,,19.34412
29.2084,,18.93645,,
29.3587,,,19.19424,
29.6593,18.68465,,,
30.1102,,18.80456,,
30.4108,,,,19.16427
30.4609,,,19.06835,
30.6112,18.53477,,,
31.3126,,18.64868,,
31.7134,18.36091,,18.90647,
32.1142,,,,18.96043
32.2144,,18.48082,,
32.7655,18.22302,,,
32.8657,,,18.72662,
33.517,,18.27698,,
33.8677,18.1271,,,
33.9679,,,,18.72062
34.3687,,,18.52278,
35.4208,,,,18.51079
35.7715,,,18.34892,
36.5731,17.91727,,,
36.8236,,,18.20504,
37.1242,,,,18.33094
38.477,,,18.11511,
38.8778,,,,18.16307
40.4309,,,18.03717,
40.7315,,,,18.09712
42.485,,,,18.06115
44.489,,,,18.06115
44.7896,,,17.96523,
