x,10.5sccm,13.1sccm,14.9sccm,19.8sccm
-0.0178,20.24176,,,
0.0342,,,20.38828,
0.0353,,,,20.49817
0.1342,,20.28449,,
0.6411,20.47375,,,
0.7448,,,,20.73626
0.7935,,20.55311,,
0.7942,,,20.62637,
1.2013,,,,20.92552
1.4006,20.6569,,,
1.5026,,20.76068,,
1.5541,,,20.85836,
2.1113,,,,21.01709
2.5133,20.81563,,,
2.5647,,20.9072,,
2.8684,,,20.96825,
3.1721,,,,21.04151
3.8775,20.87668,,,
4.0806,,,20.98046,
4.4337,,20.93773,,
4.4853,,,,21.04762
5.2924,,,20.94383,
5.6453,20.88278,,,
5.8981,,20.9072,,
5.9493,,,,20.98046
6.9082,,,,20.9072
7.7156,20.84615,,,
8.3217,,,,20.84615
8.4229,,,20.87057,
9.2805,,,,20.77289
9.8871,,,20.82173,
10.2901,,,,20.72405
11.2503,,20.779,,
11.3502,,,,20.66911
11.856,,,20.74847,
12.1577,,,,20.60806
12.563,20.73626,,,
13.1166,,,,20.5409
13.2186,,,20.64469,
14.2774,,,,20.46154
14.33,20.66911,,,
14.3798,,,20.60195,
14.9357,,20.63858,,
15.3891,,,20.51648,
15.539,,,,20.36386
15.7941,20.61416,,,
16.1469,,20.54701,,
16.4492,,,20.46764,
16.9045,20.5409,,,
17.1537,,,,20.21734
17.4086,,20.45543,,
17.7108,,,20.36996,
18.0149,20.47375,,,
18.3646,,,,20.09524
18.5188,,20.36386,,
18.6695,,,20.27839,
19.3776,20.38217,,,
19.8301,,,20.18071,
19.8815,,20.26618,,
20.0803,,,,19.94872
20.7392,,20.18071,,
20.7887,,,20.07692,
20.8914,20.24786,,,
21.1398,,,,19.83883
21.7985,,20.0525,,
21.8986,,,19.96093,
22.603,,,,19.69231
22.6069,20.08303,,,
22.8077,,19.96093,,
23.2105,,,19.83883,
23.6118,,,,19.57021
24.1207,19.94872,,,
24.22,,19.78388,,
24.5221,,,19.69231,
24.9233,,,,19.40537
25.6344,19.8022,,,
26.0362,,19.58852,,
26.1365,,,19.51526,
26.386,,,,19.21612
27.3999,19.59463,,,
27.4955,,,,19.05739
27.6001,,19.40537,,
27.8008,,,19.28327,
28.7564,,,,18.88645
28.8628,19.41758,,,
29.1126,,,19.14896,
29.2146,,19.24664,,
30.0674,,,,18.67277
30.1223,,19.10623,,
30.1748,19.30769,,,
30.525,,,18.97802,
31.234,19.16728,,,
31.3284,,,,18.50794
31.3833,,18.9475,,
31.5839,,,18.80708,
32.2933,19.03907,,,
32.4378,,,,18.3431
32.4928,,18.78266,,
32.5421,,,18.67277,
33.5001,,,18.51404,
33.5476,,,,18.2149
33.5517,,18.61783,,
33.7057,18.86813,,,
34.3549,,,,18.13553
34.5602,,18.4591,,
34.7107,,,18.36142,
34.7646,18.69719,,,
35.7203,,18.30647,,
35.7684,,,,18.07448
35.8235,18.52625,,,
35.9718,,,18.20879,
36.982,,18.2149,,
37.034,18.36752,,,
37.2831,,,,18.03175
37.89,,,18.11111,
38.3459,18.24542,,,
38.8495,,18.10501,,
39.101,,,,18.00122
40.0115,18.13553,,,
40.8179,,,,17.9768
41.7281,18.08059,,,
42.5352,,,,17.98291
43.1404,,,17.89744,
43.7471,,,,17.96459
44.5054,18.03785,,,
