############################
### DOCUMENT
# [1] M. Capacci, M. Minucci, and A. Severi, “Simple numerical model describing discharge parameters in orificed hollow cathode devices,” 33rd Jt. Propuls. Conf. Exhib., 1997.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Discharge voltage vs. discharge current 
### DATA
# Id (A), Vd (V) 
### NOTES
# The cathode is the A10000. Mass flow rate is 2 sccm
############################
Id,Vd
0.50181,12.8592
0.52204,12.6628
0.54006,12.5117
0.56036,12.368
0.58752,12.2394
0.60779,12.0732
0.63721,11.937
0.6734,11.7554
0.69146,11.6345
0.70952,11.5135
0.73676,11.4528
0.74567,11.3018
0.76377,11.211
0.78182,11.0901
0.79988,10.9691
0.83623,10.9083
0.85401,10.576
0.88117,10.455
0.89008,10.304
0.91733,10.2432
0.94453,10.1524
0.96255,10.0012
0.98975,9.9103
1.02614,9.8797
1.05334,9.7888
1.09888,9.7882
1.1441,9.5462
1.18041,9.4552
1.21684,9.4548
1.25315,9.3638
1.28028,9.2125
1.32577,9.1818
1.36216,9.1511
1.38937,9.0602
1.43482,8.9993
1.47117,8.9385
1.50748,8.8475
1.55298,8.8167
1.59848,8.786
1.64402,8.7854
1.68044,8.785
1.72602,8.8146
1.77152,8.7838
1.79876,8.7231
1.84426,8.6924
1.88979,8.6918
1.91696,8.5707
1.95327,8.4797
2.03516,8.4184
2.08073,8.448
2.12627,8.4474
2.17181,8.4468
2.21734,8.4463
2.26288,8.4457
2.30842,8.4451
2.35395,8.4446
2.39949,8.444
2.42669,8.3531
2.47223,8.3525
2.50858,8.2917
2.54497,8.2611
2.59051,8.2605
2.63604,8.26
2.68158,8.2594
2.72711,8.2588
2.77265,8.2583
2.81819,8.2577
2.86372,8.2571
2.90926,8.2566
2.9548,8.256
3.00033,8.2554
3.04587,8.2549
3.09141,8.2543
3.13694,8.2537
3.18248,8.2532
3.22802,8.2526
3.27355,8.252
3.31909,8.2515
3.36463,8.2509
3.41016,8.2503
3.4557,8.2497
3.50124,8.2492
3.54681,8.2788
3.59231,8.248
3.63785,8.2475
3.68338,8.2469
3.72892,8.2463
3.77446,8.2458
3.81999,8.2452
3.86557,8.2748
3.90204,8.3046
3.94761,8.3342
4.02063,8.454
4.06613,8.4232
4.11166,8.4227
4.1572,8.4221
4.20274,8.4215
4.24827,8.421
4.29381,8.4204
4.33939,8.45
4.37582,8.4496
4.42131,8.4188
4.45778,8.4486
4.49421,8.4481
4.53975,8.4475
4.58532,8.4771
4.63086,8.4766
4.66725,8.4459
4.71275,8.4152
4.75828,8.4146
4.80382,8.4141
4.84033,8.474
4.88587,8.4734
4.92237,8.5333
4.96791,8.5328
5.01345,8.5322
5.04996,8.5921
5.09549,8.5915
5.14103,8.591
5.18657,8.5904
5.2321,8.5898
5.27764,8.5893
5.32318,8.5887
5.36871,8.5881
5.40518,8.6179
5.44169,8.6778
5.48723,8.6772
5.52369,8.7069
5.5602,8.7668
5.60574,8.7663
5.65128,8.7657
5.69681,8.7651
5.74235,8.7646
5.78789,8.764
5.83342,8.7634
5.87896,8.7629
5.91547,8.8228
6.02487,8.912
6.07045,8.9416
6.11595,8.9108
6.15242,8.9406
6.19791,8.9098
6.24349,8.9394
6.28903,8.9389
6.33456,8.9383
6.3801,8.9377
6.40754,9.0279
6.45308,9.0274
6.49861,9.0268
6.53516,9.1169
6.5807,9.1163
6.62623,9.1158
6.67177,9.1152
6.71731,9.1146
6.76284,9.1141
6.80838,9.1135
6.85392,9.1129
6.89042,9.1728
6.936,9.2025
6.98154,9.2019
7.01801,9.2316
7.05447,9.2613
7.10001,9.2608
7.14555,9.2602
7.19108,9.2596
7.23662,9.2591
7.28216,9.2585
7.31859,9.2581
7.36412,9.2575
7.40067,9.3476
7.44625,9.3772
7.49178,9.3766
7.52829,9.4365
7.57387,9.4662
7.61941,9.4656
7.66494,9.465
7.71048,9.4645
7.75601,9.4639
7.80155,9.4633
7.84709,9.4628
7.89262,9.4622
7.92909,9.4919
8.02943,9.6114
8.07497,9.6108
8.12051,9.6103
8.16604,9.6097
8.21158,9.6091
8.25712,9.6086
8.30265,9.608
8.34819,9.6074
8.40303,9.7577
8.44857,9.7571
8.4941,9.7565
8.52154,9.8467
8.55805,9.9067
8.60351,9.8457
8.64002,9.9056
8.68555,9.9051
8.73109,9.9045
8.77663,9.9039
8.82216,9.9034
8.8677,9.9028
8.91324,9.9022
8.95877,9.9017
9.00431,9.9011
9.04985,9.9005
9.08636,9.9604
9.13189,9.9599
9.17743,9.9593
9.22297,9.9587
9.2685,9.9582
9.31404,9.9576
9.35957,9.957
9.40511,9.9565
9.45069,9.9861
9.4872,10.046
9.53273,10.0454
9.57835,10.1052
9.61482,10.135
9.66035,10.1344
9.70589,10.1338
9.75143,10.1333
9.79696,10.1327
9.8425,10.1321
9.88804,10.1316
9.93357,10.131
9.97919,10.1908
