############################
### DOCUMENT
# [1] M. Capacci, M. Minucci, and A. Severi, “Simple numerical model describing discharge parameters in orificed hollow cathode devices,” 33rd Jt. Propuls. Conf. Exhib., 1997.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Discharge voltage vs. discharge current 
### DATA
# Id (A), Vd (V) 
### NOTES
# The cathode is the A10000. Mass flow rate is 2 sccm. Experimental data.
############################
Id,Vd
0.6933,14.7247
1.0099,13.6117
2.0201,12.4596
2.5088,12.2173
3.0031,12.012
4.0154,12.0278
5.0109,12.2289
6.0125,12.6524
7.0254,13.0389
8.0331,13.7589
9.0347,14.1825
10.025,14.6802
