############################
### DOCUMENT
# [1] M. Capacci, M. Minucci, and A. Severi, “Simple numerical model describing discharge parameters in orificed hollow cathode devices,” 33rd Jt. Propuls. Conf. Exhib., 1997.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Plasma potential vs. discharge current 
### DATA
# Id (A), phip (V) 
### NOTES
# The cathode is the A300. Mass flow rate is 1 sccm
############################
Id,phip
0.19588,13.4823
0.20645,13.4065
0.21491,13.1768
0.22337,13.024
0.23183,12.8712
0.23607,12.6411
0.24664,12.5653
0.25299,12.3354
0.26356,12.2596
0.27203,11.9531
0.28049,11.8003
0.28895,11.5706
0.29741,11.4178
0.30588,11.1881
0.31645,11.1123
0.3249,10.9595
0.33547,10.8837
0.34393,10.8077
0.3545,10.655
0.36296,10.5022
0.37354,10.1959
0.38411,10.1201
0.39256,10.0441
0.40313,9.8915
0.41369,9.8925
0.42426,9.8167
0.43481,9.8945
0.44327,9.7417
0.44751,9.5884
0.45807,9.5894
0.46864,9.5136
0.4771,9.3608
0.48766,9.285
0.49823,9.1324
0.50669,9.0563
0.51725,9.0574
0.52782,8.9815
0.53838,8.9057
0.54894,8.9067
0.55951,8.8309
0.56796,8.7549
0.57853,8.6791
0.58699,8.5263
0.59967,8.4507
0.61024,8.3749
0.6208,8.3759
0.63135,8.4537
0.64191,8.4547
0.65247,8.4557
0.66303,8.4568
0.67149,8.3807
0.68206,8.3049
0.69262,8.3059
0.70319,8.1533
0.71375,8.1543
0.72431,8.1553
0.73487,8.1564
0.74543,8.1574
0.75388,8.1582
0.76233,8.159
0.7729,8.0064
0.78136,7.9303
0.79192,7.9314
0.80249,7.7787
0.81305,7.7797
0.82361,7.8576
0.83205,7.8584
0.84262,7.7826
0.85318,7.7836
0.86374,7.7846
0.86798,7.6314
0.87854,7.5556
0.8891,7.5566
0.89967,7.5576
0.91023,7.4818
0.92079,7.4828
0.93135,7.4838
0.94192,7.4848
0.95248,7.4858
0.96304,7.4868
0.9736,7.4879
0.98416,7.4889
0.99472,7.4899
