x,Te_8sccm,Te_10sccm,Te_12sccm
20.0085,,,1.73626
20.0275,2.26648,,
20.0786,,2.18956,
29.936,,2.15659,
30.0845,,,1.79121
30.1012,2.25549,,
39.993,,,1.68132
40.0102,,2.15934,
40.0118,2.2033,,
49.9739,,2.08516,
50.0074,,,1.51923
50.0861,2.20879,,
59.9365,,1.98077,
59.9713,,,1.45055
59.9981,2.1978,,
70.0107,,1.98626,
70.0542,,,1.6978
70.0712,2.17033,,
79.9745,,1.91484,
80.0713,,,1.60989
80.0888,2.09615,,
89.9825,,,1.57418
89.9948,,1.91758,
90.0027,2.13736,,
99.947,,,1.52473
100.011,,1.80495,
100.0176,1.98901,,
