x,20A,30A,40A,50A,90A,60A,70A,80A,100A
0.3607,,,20.5985,,,,,,
0.37601,,,,20.69183,,,,,
0.3889,,,,,,20.76417,,,
0.40741,,,20.61368,,,,,,
0.40942,,20.55127,,,,,,,
0.42193,,,,,,,20.84001,,
0.43882,,,,20.71752,,,,,
0.44365,,,20.62302,,,,,,
0.44448,,,,,,,,20.88026,
0.44968,,20.57753,,,,,,,
0.45732,20.42879,,,,,,,,
0.45896,,,,,,20.78752,,,
0.4678,,,20.63586,,,,,,
0.46783,,,,,,,,,20.91702
0.47668,,,,,,,20.85635,,
0.47787,,20.59212,,,,,,,
0.49038,,,,,20.95552,,,,
0.4944,,,,,,,,20.89661,
0.49919,20.45388,,,,,,,,
0.50084,,,,,,20.79803,,,
0.50565,,20.59854,,,,,,,
0.51049,,,20.66854,,,,,,
0.5121,,,,20.74437,,,,,
0.51534,,,,,,,,,20.92753
0.53222,,20.59797,,,,,,,
0.53664,20.47548,,,,,,,,
0.54271,,,,,,20.81671,,,
0.54833,,,20.68488,,,,,,
0.55158,,,,,,,,20.91237,
0.55802,,,,,20.96487,,,,
0.56043,,,,,,,20.87388,,
0.56201,,20.61781,,,,,,,
0.56686,,,,20.77005,,,,,
0.56849,,,,,,,,,20.93571
0.58495,20.50757,,,,,,,,
0.58819,,20.64465,,,,,,,
0.5894,,,20.70006,,,,,,
0.59666,,,,,,20.83072,,,
0.61074,,20.66099,,,,,,,
0.616,,,,,,,,20.92989,
0.61761,,,,,20.97189,,,,
0.62441,20.53383,,,,,,,,
0.62484,,,,20.79223,,,,,
0.63047,,,20.71057,,,,,,
0.63774,,,,,,,,,20.9474
0.64617,,20.6785,,,,,,,
0.65142,,,,,,20.85174,,,
0.65948,,,,,,,20.89491,,
0.6683,20.55951,,,,,,,,
0.66912,,,20.72692,,,,,,
0.67113,,20.68492,,,,,,,
0.68203,,,,,20.97891,,,,
0.68362,,,,20.80392,,,,,
0.68444,,,,,,,,20.94041,
0.69169,,,,,,,,,20.95091
0.69408,,20.68493,,,,,,,
0.6941,,,,,,20.85992,,,
0.70777,,,20.73743,,,,,,
0.71702,20.58927,,,,,,,,
0.7239,,,,,,,20.91009,,
0.73436,,,,20.82027,,,,,
0.74161,,,,,,,,20.94159,
0.74602,,20.71644,,,,,,,
0.74724,,,,,,20.87627,,,
0.74965,,,20.75611,,,,,,
0.76373,20.61262,,,,,,,,
0.77544,,,,,20.98594,,,,
0.78751,,,,,,,20.91828,,
0.79152,,,20.76428,,,,,,
0.79396,,,,,,,,,20.95328
0.80039,,,,,,20.88445,,,
0.80843,,20.74504,,,,,,,
0.81204,20.63655,,,,,,,,
0.81368,,,,,,,,20.94162,
0.82536,,,,,20.97895,,,,
0.84869,,,20.77947,,,,,,
0.8487,,,,20.8413,,,,,
0.84908,20.65581,,,,,,,,
0.86198,,20.76489,,,,,,,
0.86481,,,,,,20.89147,,,
0.87287,,,,,,,,,20.9533
0.87528,,,,,,,20.9288,,
0.88817,,,,,20.96497,,,,
0.89018,,,,,,,,20.94689,
0.89379,,20.77715,,,,,,,
0.89539,20.67915,,,,,,,,
0.90184,,,20.80048,,,,,,
0.90426,,,,20.85648,,,,,
0.92842,,,20.80982,,,,,,
0.93004,,,,,,20.89965,,,
0.94612,20.706,,,,,,,,
0.95259,,,,,20.96732,,,,
0.96305,,,,,,,,,20.93699
0.96668,,,,,,,,20.94283,
0.97029,,20.8075,,,,,,,
0.9727,,,20.81917,,,,,,
0.97272,,,,,,,20.92883,,
0.98801,,,,20.87634,,,,,
0.99041,20.72584,,,,,,,,
1.00009,,,,,,20.91367,,,
1.00573,,,,,20.94867,,,,
1.01458,,,20.82035,,,,,,
1.02504,,20.82152,,,,,,,
1.04638,20.74744,,,,,,,,
1.04679,,,20.83086,,,,,,
1.06129,,,,20.88102,,,,,
1.07176,,,,,,20.91486,,,
1.07337,,,,,20.94402,,,,
1.08061,,20.83437,,,,,,,
1.09147,20.76554,,,,,,,,
1.1096,,,20.83904,,,,,,
1.11685,,,,20.88687,,,,,
1.11846,,20.85654,,,,,,,
1.14423,,,,,20.92538,,,,
1.15187,20.78247,,,,,,,,
1.15791,,20.86239,,,,,,,
1.15872,,,,20.88689,,,,,
1.17643,,,20.85189,,,,,,
1.18207,,,,,,20.91372,,,
1.19335,,,,,,,,,20.91839
1.20864,,20.86473,,,,,,,
1.21992,,,,20.8904,,,,,
1.21992,,,,,20.89974,,,,
1.22796,20.79241,,,,,,,,
1.22797,,,,,,,,20.91724,
1.24407,,,20.85308,,,,,,
1.26501,,,,,,,,,20.90208
1.28916,20.79593,,,,,,,,
1.29078,,20.88576,,,,,,,
1.294,,,,,20.88343,,,,
1.30446,,,20.85543,,,,,,
1.33104,,,,,,,,,20.87877
1.35197,20.80178,,,,,,,,
1.35278,,20.89394,,,,,,,
1.36647,,,,,20.85778,,,,
1.36727,,,,,,,,20.87411,
1.36889,,,,,,,20.89278,,
1.3705,,,,20.89161,,,,,
1.38579,,,,,,,,,20.86012
1.41316,20.78896,,,,,,,,
1.41559,,20.89629,,,,,,,
1.418,,,,,20.8368,,,,
1.42847,,,,20.87763,,,,,
1.45181,20.78198,,,,,,,,
1.45746,,,,,,,,20.84381,
1.46148,,,,,20.79948,,,,
1.46793,,,,,,,20.86364,,
1.47275,,,,,,,,,20.82048
1.47276,,20.89164,,,,,,,
1.5106,,,,20.84616,,,,,
1.51784,,,,,20.7715,,,,
1.52267,20.768,,,,,,,,
1.52751,,,,,,,,,20.79366
1.5404,,20.87416,,,,,,,
1.55489,,,,,,,,20.80067,
1.5573,20.75168,,,,,,,,
1.56214,,,,,,20.83101,,,
1.56776,,,,,20.74351,,,,
1.57582,,,,,,,20.81701,,
1.58951,,,,,,,,,20.76802
1.59274,,20.84968,,,,,,,
1.59918,,,20.81585,,,,,,
1.60078,20.72952,,,,,,,,
1.61608,,,,,20.72253,,,,
1.6346,,,,,,,,,20.74003
1.64587,,,,,,,,20.73887,
1.6491,,20.82053,,,,,,,
1.65232,,,,20.7867,,,,,
1.65392,20.69921,,,,,,,,
1.65473,,,,,,,20.77504,,
1.66439,,,,,20.70154,,,,
1.6821,20.67238,,,,,,,,
1.69177,,,,,,,,,20.70155
1.70546,,20.79022,,,,,,,
1.71431,,,,,20.66889,,,,
1.71833,20.64439,,,,,,,,
1.7272,,,,,,,,20.69106,
1.73606,,,,20.75523,,,,,
1.75698,20.61057,,,,,,,,
1.75699,,,,,,,,,20.66191
1.75859,,,,,20.63624,,,,
1.75941,,,,,,,20.71324,,
1.77793,,20.72724,,,,,,,
1.78194,20.58608,,,,,,,,
1.7892,,,,20.71908,,,,,
1.79402,,,,,20.60009,,,,
1.80047,,,,,,,,20.64092,
1.81254,20.55926,,,,,,,,
1.81737,,,,,,,,,20.61876
1.82382,,,,,,,20.66426,,
1.83671,,,,20.70043,,,,,
1.84233,,,,,20.56044,,,,
1.84313,20.53827,,,,,,,,
1.86247,,20.66544,,,,,,,
1.86488,,,,,,,,,20.56744
1.86569,,,,,,20.64794,,,
1.87214,,,20.7016,,,,,,
1.88581,,,,,20.51612,,,,
1.89709,,,,,,,,20.56278,
1.90514,,,,,,,,,20.53945
1.90755,20.47529,,,,,,,,
1.90917,,20.59195,,,,,,,
1.90997,,,,,,,20.59779,,
1.92447,,,,20.65145,,,,,
1.93251,,,,,20.46713,,,,
1.93573,,,,,,,,,20.50213
1.95103,20.43914,,,,,,,,
1.9615,,20.5488,,,,,,,
1.96633,,,,,,,,20.51497,
1.97196,,,,,,,,,20.46831
1.97357,,,,,20.43215,,,,
1.9736,,,20.66897,,,,,,
1.99128,20.39715,,,,,,,,
1.9913,,,,,,,20.55231,,
2.00336,,,,,20.39832,,,,
2.00981,,,,,,,,,20.43216
2.01222,20.37033,,,,,,,,
2.01305,,,,20.61648,,,,,
2.02028,,,,,,,,20.48232,
2.0219,,,,,,20.57565,,,
2.02191,,,20.65265,,,,,,
2.0235,,20.46483,,,,,,,
2.0412,,,,,20.361,,,,
2.04764,20.32484,,,,,,,,
2.06217,,,20.64333,,,,,,
2.0686,,,,,,,20.515,,
2.0718,20.28518,,,,,,,,
2.07181,,20.41934,,,,,,,
2.07344,,,,20.5955,,,,,
2.07744,,,,,20.32252,,,,
2.08791,,,,,,,,,20.39252
2.08954,,,,,,20.54767,,,
2.09434,20.26302,,,,,,,,
2.09677,,,,,,,,20.43335,
2.11367,,20.35403,,,,,,,
2.1193,20.2397,,,,,,,,
2.12092,,,,,20.29103,,,,
2.12094,,,,20.57102,,,,,
2.12174,,,,,,,20.48352,,
2.12497,,,20.62468,,,,,,
2.14184,20.19071,,,,,,,,
2.15152,,20.30971,,,,,,,
2.16038,,,,,,,,,20.35404
2.16119,,,,,,,,20.3972,
2.16761,20.16155,,,,,,,,
2.17248,,,,20.55003,,,,,
2.18294,,,,,,20.50454,,,
2.18693,20.12073,,,,,,,,
2.18938,,,,,,,20.44738,,
2.19499,,,,,20.25139,,,,
2.20626,,20.21056,,,,,,,
2.20947,20.0904,,,,,,,,
2.21113,,,,20.53371,,,,,
2.21191,,,,,,,,20.37505,
2.21596,,,20.59204,,,,,,
2.22479,,,,,,,,,20.31906
2.23769,,,,,,20.47189,,,
2.24248,20.04025,,,,,,,,
2.2433,,20.14757,,,,,,,
2.25216,,,,,20.19541,,,,
2.26668,,,,20.50573,,,,,
2.26669,,,20.56523,,,,,,
2.26905,19.99009,,,,,,,,
2.26909,,,,,,,20.40657,,
2.27309,,20.10208,,,,,,,
2.29001,,,,,,,,,20.27358
2.29321,,20.06126,,,,,,,
2.29401,19.9551,,,,,,,,
2.29646,,,,,,,,20.32375,
2.30208,,,,,20.16276,,,,
2.31741,,,,,,20.42408,,,
2.31816,19.91544,,,,,,,,
2.33105,,19.99827,,,,,,,
2.33271,,,,20.47308,,,,,
2.33909,19.88978,,,,,,,,
2.33913,,,,,,,,,20.23743
2.34075,,,,,,,20.34942,,
2.34882,,,20.51975,,,,,,
2.35522,,,,,20.10911,,,,
2.35601,,19.96212,,,,,,,
2.36244,19.86179,,,,,,,,
2.36812,,,,,,,,20.2701,
2.37458,,,,20.4451,,,,,
2.38101,,,,,,20.37627,,,
2.38257,19.82213,,,,,,,,
2.38338,,19.91429,,,,,,,
2.39146,,,,,,,,,20.18961
2.39306,,,,,20.06129,,,,
2.39948,19.7918,,,,,,,,
2.4076,,,20.49177,,,,,,
2.41237,,19.86647,,,,,,,
2.41724,,,,,,,20.29228,,
2.42766,19.76848,,,,,,,,
2.42849,,,,,20.01113,,,,
2.42851,,,,,,,,20.22812,
2.4341,,19.82331,,,,,,,
2.43416,,,,20.39962,,,,,
2.44058,,,,,,,,,20.13946
2.4414,,,,,,20.31796,,,
2.45181,19.71949,,,,,,,,
2.45504,,19.79182,,,,,,,
2.48006,,,20.44046,,,,,,
2.48563,19.688,,,,,,,,
2.48649,,,,,,20.28997,,,
2.48887,,,,,19.92949,,,,
2.48966,,19.76617,,,,,,,
2.49213,,,,20.34714,,,,,
2.49534,,,,,,,,20.17098,
2.49856,,,,,,,20.21414,,
2.50257,,,,,,,,,20.07765
2.51058,19.63551,,,,,,,,
2.51703,,19.72534,,,,,,,
2.52917,,,,,,20.25732,,,
2.54119,,19.68802,,,,,,,
2.5412,,,,,19.84784,,,,
2.54526,,,,,,,,20.11966,
2.54601,19.60402,,,,,,,,
2.55816,,,,20.30399,,,,,
2.55817,,,20.37399,,,,,,
2.56373,,19.65653,,,,,,,
2.56533,19.5737,,,,,,,,
2.57582,,,,,19.77552,,,,
2.57586,,,,,,,20.1535,,
2.5807,,,,,,20.21417,,,
2.5919,19.54687,,,,,,,,
2.59272,,19.62737,,,,,,,
2.60967,,,,,,,,20.05202,
2.61525,19.52471,,,,,,,,
2.61533,,,,20.27251,,,,,
2.61687,,19.60054,,,,,,,
2.61936,,,20.33784,,,,,,
2.62413,,,,,19.69038,,,,
2.63301,,,,,,,,,19.9412
2.63383,,,,,,,20.10452,,
2.64183,,19.57955,,,,,,,
2.64665,19.49206,,,,,,,,
2.65156,,,,20.23052,,,,,
2.66123,,,20.31452,,,,,,
2.67001,,19.53056,,,,,,,
2.67006,,,,,,,,20.00421,
2.67082,,,,,19.62739,,,,
2.67242,19.45473,,,,,,,,
2.67811,,,,,,,20.05904,,
2.69021,,,,20.19087,,,,,
2.70067,,,,,,20.11971,,,
2.70462,19.41741,,,,,,,,
2.71107,,19.50374,,,,,,,
2.71269,,,,,19.54574,,,,
2.71276,,,20.27487,,,,,,
2.72159,,,,,,,,19.94939,
2.73931,,,,,,,20.00539,,
2.74005,19.38709,,,,,,,,
2.74093,,,,20.15822,,,,,
2.74731,,19.47809,,,,,,,
2.74892,,,,,19.50142,,,,
2.75141,,,20.23405,,,,,,
2.76662,19.3661,,,,,,,,
2.77307,,19.43493,,,,,,,
2.77388,,19.45943,,,,,,,
2.77954,,,,,,,,,19.77675
2.78273,,,,,19.4396,,,,
2.78278,,,,,,,,19.87241,
2.79811,,,20.19207,,,,,,
2.79883,19.33461,,,,,,,,
2.80447,,19.41161,,,,,,,
2.80454,,,,20.10924,,,,,
2.80774,,,,,,,19.94125,,
