x,Curve1
0.985075,21.8196
1.19776,25.1788
1.39925,28.0404
1.59701,31.0264
1.79478,33.6392
2,37.1229
2.4403,42.5972

x,Curve2
0.802239,23.1882
0.955224,27.916
1.17164,30.2799
1.38806,34.1369
1.6194,38.367
1.8097,42.0995
1.97761,45.3344
2.41045,51.804

x,Curve3
0.570896,22.3173
0.787313,27.1695
0.981343,30.5288
1.1791,34.1369
1.39179,38.9891
1.57836,43.0949
1.78358,46.9518
1.98881,51.3064
2.41791,57.6516

x,Curve4
0.58209,25.9253
0.764925,29.7823
0.970149,35.381
1.17164,39.1135
1.3694,43.717
1.58582,48.196
1.79478,52.5505
1.98881,56.7807
2.40299,63.0016

x,Curve5
0.58209,28.2893
0.779851,33.0171
1.00373,37.9938
1.1791,41.8507
1.39179,47.0762
1.58955,51.4308
1.79851,55.661
2.00746,61.1353
2.41045,67.4806

x,Curve6
1.39925,33.3904
1.60075,33.888
1.79478,37.1229
1.99627,40.2333
2.39925,46.0809

x,Curve7
0.988806,38.4914
1.19776,42.7216
1.41791,46.703
1.60821,50.6843
1.8097,54.5412
1.96642,61.0109
2.40672,64.619
2.82836,70.2177
3.22761,75.6921
