x,Curve1
0.19223,491.917
0.19949,493.944
0.21181,495.199
0.22384,497.387
0.22386,496.165
0.23281,498.063
0.24261,499.253
0.25691,500.123
0.27233,501.12
0.28913,502.987
0.29868,502.923
0.30788,506.204
0.30792,504.049
0.327,504.018
0.334,505.112
0.35222,506.142
0.37296,508.137
0.37322,509.167
0.38978,509.039
0.41161,512.192
0.42561,514.026
0.46063,517.405
0.4699,517.277
0.51167,520.045
0.51896,520.077
0.55685,520.079
0.59645,519.245
0.63461,519.858
0.65002,521.241
0.70138,521.212
0.72803,522.049
1.06456,522
1.14028,525.027
