x,Curve1
5.0132,0.58598
5.2502,0.61251
5.4768,0.63662
5.7138,0.66315
5.9405,0.68968
6.1775,0.71379
6.4145,0.74032
6.6412,0.76684
6.8782,0.79337
7.1049,0.81989
7.3316,0.84642
7.5686,0.87295
7.785,0.89706
8.0181,0.92419
8.2281,0.9477
8.4651,0.97182
8.6918,0.99834
8.9184,1.02246
9.1451,1.04898
9.3821,1.0731
9.6088,1.09962
9.8458,1.12615
10.0828,1.15268
10.3095,1.17679
10.5465,1.20332
10.7732,1.22984
11.0102,1.25396
11.2369,1.28048
11.4739,1.30701
11.6902,1.33112
11.915,1.3575
12.123,1.37694
12.3497,1.40347
12.5764,1.42999
12.8134,1.45411
13.0401,1.48063
13.2565,1.50505
13.4832,1.52886
13.7099,1.55539
13.9468,1.58191
14.1735,1.60603
14.4105,1.63255
14.6372,1.65908
14.8639,1.6832
14.9876,1.69691
