x,Curve1
5.0049,0.33006
5.3091,0.34523
5.6007,0.36949
5.9049,0.39072
6.1964,0.41801
6.488,0.44834
6.7795,0.47564
7.0711,0.50294
7.3627,0.53327
7.6542,0.5636
7.9331,0.59393
8.2358,0.62691
8.6176,0.66672
8.9092,0.70008
9.2008,0.73345
9.4797,0.76681
9.7585,0.80017
10.0374,0.83657
10.3163,0.87297
10.5952,0.90937
10.8741,0.94576
11.1403,0.98216
11.4065,1.01552
11.6601,1.05192
11.8803,1.08529
12.1291,1.11865
12.3954,1.16111
12.6616,1.19751
12.9532,1.24187
13.1766,1.27372
13.3335,1.29761
13.5997,1.33704
13.8659,1.37647
14.1321,1.4159
14.3984,1.45836
14.6646,1.49779
14.9181,1.53722
