x,5.5sccm-2.0mm,10sccm-2.0mm
-0.00600358,,7.2932
0.0063724,4.99596,
0.0141176,,7.06822
0.0343003,,6.89143
0.0491556,,6.53796
0.0623921,4.91541,
0.0743378,,6.28083
0.109806,,6.08791
0.114355,,5.65416
0.123473,4.80272,
0.159925,,5.38088
0.17937,4.62579,
0.230984,,5.09144
0.271083,4.52903,
0.271349,,4.73787
0.316714,4.30395,
0.322062,,4.4967
0.387917,4.12696,
0.398224,,4.20724
0.433733,4.04645,
0.484568,,3.90167
0.510058,3.8855,
0.535384,,3.74082
0.586096,,3.49965
0.59128,3.56389,
0.637137,3.51551,
0.646972,,3.22632
0.698197,3.38675,
0.712991,,2.98509
0.748357,,2.71185
0.754115,3.22589,
0.789009,,2.58318
0.815113,3.04894,
0.844947,,2.43837
0.855766,2.92026,
0.885579,,2.29363
0.901499,2.7755,
0.93121,,2.06855
0.9676,2.59852,
0.992168,,1.85947
1.02344,2.3734,
1.06337,,1.68248
1.09968,2.14819,
1.14984,,1.47329
1.1657,1.90697,
1.21651,1.74612,
1.22094,,1.21598
1.282,,1.08722
1.2928,1.55304,
1.36847,,0.878038
1.36908,1.35996,
1.44467,,0.620704
1.44541,1.19901,
1.52628,,0.604312
1.53192,1.02196,
1.593,0.909265,
1.60775,,0.475471
1.69485,0.764278,
1.7301,,0.394658
1.78136,0.587223,
1.81673,,0.313989
1.84752,0.458444,
1.90338,,0.249384
1.96987,0.377631,
1.98493,,0.184799
2.06666,0.264793,
2.09209,,0.200433
2.19411,0.183959,
2.26027,,0.0551796
2.3267,0.135234,
2.38787,,0.0867957
2.45936,0.134701,
2.52046,,0.0380705
2.59705,0.0859556,
2.64801,,0.0375582
2.71948,0.0693997,
