x,Te 5.5 sccm 10 A,phip 5.5 sccm 10 A,Te 10 sccm 25 A,phip 10 sccm 25 A
-3.4572,,,3.2408,
-3.2691,,,,16.4804
-2.6293,,,3.1007,
-2.5918,,,,15.9528
-1.9144,,23.7351,,
-1.7639,,,2.6437,
-1.6886,4.686,,,14.2987
-0.7479,4.0178,,,
-0.5974,,23.7715,,
-0.1835,,,1.9761,10.3915
0.8702,4.0193,,,
1.4346,,23.2451,,
1.4722,,,1.9423,
1.5099,,,,10.393
3.2785,,,1.9439,
3.3161,3.458,,,10.3242
3.4666,,22.6131,,
5.3481,3.8119,,,
5.461,,21.3825,,
5.5738,,,1.9107,
5.6115,,,,10.0094
7.5682,4.0252,,,
7.6811,,20.3633,,
7.7187,,,,10.0464
7.794,,,1.9127,
9.9389,,,,10.0483
9.9765,4.1681,,1.7033,
10.0141,,19.8019,,
12.1967,4.17,,,
12.3848,,18.7477,,10.4026
12.4224,,,1.9872,
14.605,3.8201,,,
14.7554,,,1.5667,
14.7931,,18.785,,
14.8307,,,,10.7921
16.6746,4.174,,,
16.9756,,,,10.301
17.0132,,,1.4278,
17.0508,,17.4138,,
19.271,3.6834,,,
19.4215,,18.261,,
19.6097,,,1.3949,
19.6473,,,,9.071
21.4535,4.2134,,,
21.6417,,15.7629,,
23.6736,4.3562,,,
23.8618,,15.8353,,
25.7056,3.9707,,,
26.0819,,14.8161,,
27.9258,,12.036,,
27.9634,3.198,,,
29.6191,1.791,,,
29.8073,,9.9954,,
31.0866,1.4754,,,
31.3124,,5.5953,,
32.4037,,4.9273,,
