x,Curve1
-0.3584,0.48679
-0.31661,0.5246
-0.26696,0.57957
-0.22775,0.63107
-0.17548,0.69974
-0.15451,0.76831
-0.13355,0.8266
-0.1204,0.89514
-0.11768,0.99302
-0.11498,1.03214
-0.1018,1.12465
-0.09125,1.20003
-0.05985,1.26521
-0.03889,1.33035
-0.03096,1.39887
-0.01764,1.58384
-0.00993,1.50853
-0.00186,1.66609
0.00864,1.71065
0.01654,1.76204
0.01926,1.83739
0.0299,1.97442
0.03762,1.90253
0.05085,2.02586
0.05875,2.07726
0.0745,2.1458
0.1085,2.20071
0.13472,2.29327
0.16349,2.33789
0.20532,2.39968
0.23667,2.43061
0.2758,2.43416
0.32536,2.42748
0.36186,2.41734
0.40356,2.38666
0.44526,2.3594
0.47392,2.33553
0.53643,2.2741
0.59374,2.21607
0.625,2.18878
0.77094,2.08997
0.83606,2.0217
0.88035,1.98418
0.9142,1.93977
0.94542,1.88851
0.96623,1.84749
1.00529,1.79968
1.04175,1.7587
1.10165,1.69042
1.13812,1.65287
1.15632,1.61184
1.17972,1.56055
1.21614,1.4956
1.26826,1.45469
1.30464,1.36234
1.34365,1.28029
1.3775,1.24273
1.427,1.19496
1.43997,1.14705
1.48418,1.05474
1.51021,1.01716
1.53362,0.97272
1.57529,0.92149
1.61699,0.89424
1.62734,0.8429
1.67163,0.79853
1.71846,0.7165
1.75498,0.7132
1.78625,0.69276
1.81222,0.61751
1.84607,0.5731
1.92945,0.50832
1.9659,0.45707
2.0024,0.44008
2.05449,0.38546
2.14053,0.35836
2.16137,0.33446
2.23177,0.31415
2.30475,0.26988
2.35948,0.23582
2.42207,0.22234
2.48985,0.18832
