############################
### DOCUMENT
# [1] M. Hayashi, “Determination of electron-xenon total excitation 100 eV , from experimental sections , from threshold to values of Townsend’s alpha,” J. Phys. D. Appl. Phys., vol. 16, pp. 581–589, 1983.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Total collision cross-sections in xenon
### DATA
# Electron Energy (eV), Cross Section (Angstrom^2)
### NOTES
# The plotted data is taken from M. S. Dababneh, W. E. Kauppila, J. P. Downing, F. Laperriere, V. Pol, J. H. Smart, and T. S. Stein, “Measurements of total scattering cross sections for low-energy positrons and electrons colliding with krypton and xenon,” Phys. Rev. A, vol. 22, no. 5, pp. 1872–1877, 1980.
# This is a log-log plot, the digitized data is log10 of the actual values.
############################
eEnergy,xsec
0.44774,1.20635
0.56659,1.4053
0.67254,1.52882
0.75625,1.58624
0.82916,1.60762
0.886,1.61296
0.94347,1.6063
0.99287,1.58495
1.06769,1.56493
1.16924,1.54559
1.25074,1.52758
1.29483,1.51824
1.35025,1.49488
1.39756,1.43615
1.43813,1.36072
1.47207,1.30398
1.54003,1.21988
1.59805,1.1715
1.65549,1.15215
1.69282,1.11644
