############################
### DOCUMENT
# [1] M. Hayashi, “Determination of electron-xenon total excitation 100 eV , from experimental sections , from threshold to values of Townsend’s alpha,” J. Phys. D. Appl. Phys., vol. 16, pp. 581–589, 1983.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Total collision cross-sections in xenon
### DATA
# Electron Energy (eV), Cross Section (Angstrom^2)
### NOTES
# These are ``recommended values'' based on 3 sets of experimental data.
# This is a log-log plot, the digitized data is log10 of the actual values.
############################
eEnergy,xsec
0.01831,0.3498
0.02369,0.36048
0.04252,0.40321
0.05057,0.41389
0.06135,0.44327
0.06672,0.45395
0.09092,0.50469
0.09897,0.51537
0.10168,0.52872
0.10706,0.5394
0.11244,0.55276
0.11782,0.56344
0.12587,0.57412
0.12857,0.5848
0.13395,0.59815
0.142,0.60884
0.14471,0.62219
0.15276,0.63287
0.15813,0.64088
0.16084,0.65423
0.16889,0.66491
0.17427,0.6756
0.18234,0.69696
0.18772,0.70764
0.19577,0.71832
0.19847,0.72901
0.20385,0.73969
0.2119,0.75037
0.21728,0.76105
0.22266,0.7744
0.22803,0.78508
0.23342,0.79844
0.23879,0.80912
0.24416,0.81713
0.24955,0.83048
0.25492,0.84116
0.2818,0.8919
0.28717,0.90258
0.29255,0.91327
0.30061,0.92929
0.30599,0.93997
0.31405,0.95332
0.31942,0.96401
0.3248,0.97469
0.33285,0.98537
0.33822,0.99605
0.34361,1.0094
0.34898,1.02008
0.35703,1.03077
0.35974,1.04145
0.36779,1.0548
0.37316,1.06281
0.38122,1.07617
0.3866,1.08685
0.39198,1.1002
0.39736,1.11088
0.40541,1.12156
0.41078,1.13224
0.41616,1.14293
0.42154,1.15628
0.42692,1.16696
0.42963,1.18031
0.43234,1.19366
0.46454,1.23639
0.46991,1.24707
0.4753,1.26043
0.48335,1.27111
0.48872,1.28179
0.49677,1.29247
0.50215,1.30315
0.50752,1.31384
0.51557,1.32452
0.52095,1.3352
0.529,1.34588
0.53438,1.35656
0.53975,1.36725
0.5478,1.37793
0.58538,1.43134
0.59343,1.44202
0.60147,1.45003
0.60953,1.46339
0.61757,1.4714
0.62562,1.48208
0.63099,1.49009
0.63904,1.50077
0.64708,1.50879
0.65246,1.51947
0.69264,1.54618
0.70335,1.55152
0.71406,1.55953
0.72478,1.56754
0.73282,1.57289
0.77564,1.58891
0.78635,1.59426
0.79972,1.59693
0.85056,1.60762
0.86393,1.61029
0.90404,1.6103
0.91741,1.6103
0.96283,1.59963
1.01359,1.58094
1.02694,1.57561
1.03763,1.57294
1.05098,1.5676
1.08574,1.56493
1.09374,1.55692
1.10709,1.55159
1.12046,1.55159
1.13382,1.54892
1.14718,1.54625
1.18728,1.54092
1.20064,1.53825
1.214,1.53558
1.22469,1.53291
1.27313,1.52591
1.3152,1.51157
1.32722,1.5069
1.37158,1.47152
1.37957,1.46084
1.41419,1.40745
1.41951,1.39677
1.4521,1.33602
1.4914,1.28196
1.4994,1.27395
1.50739,1.26327
1.51538,1.25259
1.52606,1.24458
1.56338,1.20453
1.57405,1.19652
1.62843,1.15748
1.6718,1.12945
1.71552,1.10576
1.7262,1.10042
1.73955,1.09241
1.75023,1.08707
1.76359,1.08174
1.77428,1.07907
1.78763,1.07373
1.80099,1.07106
1.81435,1.06572
1.82503,1.06038
1.83839,1.05772
1.85175,1.05505
1.86243,1.04704
1.87579,1.04704
1.88916,1.04437
1.89984,1.03904
1.9132,1.03637
1.92656,1.0337
1.93992,1.03103
1.95061,1.02836
1.96397,1.02569
1.97733,1.02303
2.01475,1.01502
2.02544,1.01502
2.03613,1.01236
2.0495,1.01236
2.06286,1.00969
2.07622,1.00702
2.08959,1.00702
2.10028,1.00436
2.11365,1.00436
2.12702,1.00436
2.14038,1.00169
2.15375,1.00169
2.16711,0.99903
2.20353,0.99369
2.22056,0.99069
2.26432,0.98102
2.27568,0.97868
2.32644,0.96334
2.34447,0.95533
2.35883,0.95166
2.37819,0.94365
2.41225,0.93131
2.42493,0.9253
2.44096,0.9173
2.45498,0.91129
2.49971,0.89161
2.51674,0.8846
2.55312,0.86691
2.56647,0.86091
2.57883,0.85557
2.62356,0.83555
2.63858,0.82721
2.6566,0.81887
2.67196,0.81253
2.68931,0.80252
2.72837,0.7855
2.74773,0.77616
2.76308,0.76648
2.7831,0.7558
2.81347,0.73912
2.83117,0.73211
2.84585,0.72444
2.88824,0.70008
2.89892,0.69474
2.91227,0.6894
2.92294,0.6814
2.93362,0.67339
2.9443,0.66805
2.95498,0.66271
2.96298,0.6547
2.97366,0.64936
2.98702,0.64402
3.0137,0.62267
3.02706,0.62
3.03506,0.61199
3.04841,0.60665
3.05909,0.59864
3.07244,0.5933
3.08044,0.58529
3.09112,0.57728
3.1018,0.57462
3.11248,0.56661
3.12315,0.5586
3.13383,0.55326
3.14451,0.54792
3.15787,0.54258
3.16854,0.53457
3.1819,0.52924
3.19258,0.5239
3.20058,0.51856
3.21126,0.51055
3.22461,0.50254
3.23529,0.4972
3.24596,0.48919
3.25664,0.48385
3.26732,0.47852
3.278,0.47318
3.286,0.46517
3.29668,0.45983
3.31003,0.45182
3.31802,0.44114
3.32872,0.44114
3.33939,0.43313
3.35275,0.4278
3.36343,0.42246
3.37143,0.41445
3.38478,0.40911
3.39278,0.4011
3.40346,0.39576
3.41414,0.38775
3.42482,0.38241
3.43817,0.37708
3.44885,0.36907
3.45953,0.36373
3.4702,0.35572
3.48088,0.35038
3.49155,0.3397
3.50491,0.33703
3.51559,0.32902
3.52627,0.32369
3.53695,0.31835
3.54763,0.31301
3.5583,0.305
3.56899,0.30233
3.57966,0.29432
