############################
### DOCUMENT
# [1] K. K. Jameson, D. M. Goebel, and R. M. Watkins, "Hollow Cathode and Thruster Discharge Chamber Plasma Measurements Using High-Speed Scanning Probes," 29th Int. Electr. Propuls. Conf., 2005. 
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Cathode density profiles plotted on a linear scale for the NEXIS cathode
### DATA
# Id (A), mdot (sccm), x (cm), ne (x 10^{-20} m^-3) 
### NOTES
# Fig. 8 
# The plot indicates 5 sccm, but the actual flow rate *may* be 5.5 sccm
# Multiply density by 10^20 to get the actual number
############################
Id,mdot,x,ne
25.0,5.0,-0.343397,0.482416
25.0,5.0,-0.291074,0.545681
25.0,5.0,-0.243118,0.608934
25.0,5.0,-0.195155,0.666448
25.0,5.0,-0.155911,0.712463
25.0,5.0,-0.138515,0.76989
25.0,5.0,-0.129853,0.827291
25.0,5.0,-0.121299,0.970759
25.0,5.0,-0.121234,0.919119
25.0,5.0,-0.112701,1.0798
25.0,5.0,-0.112637,1.02816
25.0,5.0,-0.104017,1.11999
25.0,5.0,-0.0909672,1.16019
25.0,5.0,-0.0735716,1.21762
25.0,5.0,-0.0605571,1.28651
25.0,5.0,-0.0387875,1.33821
25.0,5.0,-0.021621,1.57924
25.0,5.0,-0.0215351,1.51039
25.0,5.0,-0.0214635,1.45301
25.0,5.0,-0.0213848,1.3899
25.0,5.0,-0.00859937,1.64239
25.0,5.0,0.00879623,1.69982
25.0,5.0,0.0172936,1.88919
25.0,5.0,0.0174654,1.75148
25.0,5.0,0.021732,1.83182
25.0,5.0,0.0303582,1.91791
25.0,5.0,0.043344,2.00976
25.0,5.0,0.052006,2.06716
25.0,5.0,0.0737541,2.13607
25.0,5.0,0.0955094,2.19925
25.0,5.0,0.117272,2.25669
25.0,5.0,0.160868,2.31419
25.0,5.0,0.187004,2.36591
25.0,5.0,0.217536,2.39468
25.0,5.0,0.248061,2.4292
25.0,5.0,0.296103,2.4236
25.0,5.0,0.348526,2.40653
25.0,5.0,0.409682,2.38949
25.0,5.0,0.475242,2.34378
25.0,5.0,0.523327,2.30376
25.0,5.0,0.562692,2.25223
25.0,5.0,0.610784,2.20647
25.0,5.0,0.763772,2.08641
25.0,5.0,0.829339,2.03496
25.0,5.0,0.873071,1.98345
25.0,5.0,0.925551,1.92048
25.0,5.0,0.956183,1.86893
25.0,5.0,1.0043,1.80595
25.0,5.0,1.05239,1.76019
25.0,5.0,1.06117,1.72579
25.0,5.0,1.10928,1.66281
25.0,5.0,1.1399,1.62274
25.0,5.0,1.17928,1.55974
25.0,5.0,1.20116,1.51963
25.0,5.0,1.24052,1.47385
25.0,5.0,1.29304,1.37646
25.0,5.0,1.31495,1.31914
25.0,5.0,1.3412,1.27905
25.0,5.0,1.36744,1.2447
25.0,5.0,1.40679,1.21039
25.0,5.0,1.42868,1.16455
25.0,5.0,1.48994,1.06145
25.0,5.0,1.51184,1.00987
25.0,5.0,1.54248,0.952581
25.0,5.0,1.57307,0.935456
25.0,5.0,1.62557,0.855278
25.0,5.0,1.6693,0.809502
25.0,5.0,1.69557,0.7522
