x,Curve1
-0.343397,0.482416
-0.291074,0.545681
-0.243118,0.608934
-0.195155,0.666448
-0.155911,0.712463
-0.138515,0.76989
-0.129853,0.827291
-0.121299,0.970759
-0.121234,0.919119
-0.112701,1.0798
-0.112637,1.02816
-0.104017,1.11999
-0.0909672,1.16019
-0.0735716,1.21762
-0.0605571,1.28651
-0.0387875,1.33821
-0.021621,1.57924
-0.0215351,1.51039
-0.0214635,1.45301
-0.0213848,1.3899
-0.00859937,1.64239
0.00879623,1.69982
0.0172936,1.88919
0.0174654,1.75148
0.021732,1.83182
0.0303582,1.91791
0.043344,2.00976
0.052006,2.06716
0.0737541,2.13607
0.0955094,2.19925
0.117272,2.25669
0.160868,2.31419
0.187004,2.36591
0.217536,2.39468
0.248061,2.4292
0.296103,2.4236
0.348526,2.40653
0.409682,2.38949
0.475242,2.34378
0.523327,2.30376
0.562692,2.25223
0.610784,2.20647
0.763772,2.08641
0.829339,2.03496
0.873071,1.98345
0.925551,1.92048
0.956183,1.86893
1.0043,1.80595
1.05239,1.76019
1.06117,1.72579
1.10928,1.66281
1.1399,1.62274
1.17928,1.55974
1.20116,1.51963
1.24052,1.47385
1.29304,1.37646
1.31495,1.31914
1.3412,1.27905
1.36744,1.2447
1.40679,1.21039
1.42868,1.16455
1.48994,1.06145
1.51184,1.00987
1.54248,0.952581
1.57307,0.935456
1.62557,0.855278
1.6693,0.809502
1.69557,0.7522
1.75673,0.729425
1.79172,0.689361
1.80486,0.654973
1.8311,0.620622
1.87044,0.592046
1.91419,0.529057
1.96665,0.483306
2.00164,0.431767
2.04536,0.397466
2.09343,0.363178
2.16335,0.328952
2.21579,0.294676
2.28569,0.266188
2.34687,0.237675
2.42112,0.220675
2.48665,0.20365
2.52596,0.192288
x,Curve2
-0.343876,0.866841
-0.317769,0.941506
-0.287301,1.02192
-0.265567,1.10231
-0.248172,1.15974
-0.243884,1.22287
-0.22225,1.38358
-0.222143,1.29752
-0.204876,1.45822
-0.187588,1.60172
-0.187516,1.54434
-0.170214,1.67636
-0.166026,1.81981
-0.165947,1.7567
-0.153019,1.89444
-0.144435,2.01495
-0.12719,2.19287
-0.122687,2.08387
-0.11429,2.35357
-0.114154,2.24455
-0.0970521,2.53722
-0.0969089,2.42247
-0.0796851,2.6176
-0.0623038,2.6865
-0.0492965,2.76113
-0.0362748,2.82428
-0.0188936,2.89318
0.00722848,2.95637
0.0377316,3.0081
0.0858093,2.97381
0.142506,3.03135
0.203691,2.99136
0.269243,2.95139
0.317343,2.89989
0.369844,2.81971
0.42231,2.76822
0.461726,2.67653
0.488006,2.61349
0.536155,2.52183
0.566794,2.46454
0.606238,2.34989
0.632532,2.27538
0.6632,2.19514
0.698213,2.13213
0.715745,2.08054
0.759534,1.98312
0.798914,1.92012
0.829597,1.8284
0.847178,1.73665
0.873436,1.69083
0.912809,1.63356
0.934779,1.52461
0.974166,1.45587
1.00484,1.36989
1.04859,1.3069
1.09676,1.19802
1.13179,1.1178
1.15809,1.04328
1.19747,0.974542
1.23688,0.888589
1.28069,0.779699
1.33755,0.705272
1.3988,0.607906
1.45999,0.567918
1.5343,0.505016
1.56494,0.447727
1.6436,0.407789
1.70918,0.344862
1.77472,0.310624
1.84465,0.259185
1.93641,0.213547
2.01505,0.185084
2.1155,0.173897
2.2072,0.179898
2.2902,0.157185
2.36881,0.151673
2.44742,0.140423
2.52604,0.129173
2.61338,0.129424
2.69198,0.129649
2.77931,0.1299
2.86229,0.1244
2.9278,0.11885
2.9933,0.119038
3.0588,0.119226
3.13304,0.119439
3.20728,0.113914
3.26842,0.11409
3.34699,0.137266
3.39939,0.137416
3.46489,0.137604
