x,TH8,TH15
-79.9477,,18.07424
-79.9475,17.95211,
-79.6583,17.9714,
-79.5861,,18.07424
-79.2967,17.97783,
-79.2246,,18.07425
-79.0075,17.98426,
-78.863,,18.07425
-78.6459,17.98426,
-78.5014,,18.06782
-78.2843,17.98427,
-78.1399,,18.06783
-77.9228,17.97784,
-77.7783,,18.06783
-77.5612,17.97784,
-77.4167,,18.06783
-77.1996,17.97785,
-77.1275,,18.05498
-76.8381,17.97785,
-76.7659,,18.05498
-76.6211,17.95857,
-76.4043,,18.05499
-76.2595,17.95857,
-76.1151,,18.06784
-75.898,17.97143,
-75.7535,,18.07427
-75.6087,17.98429,
-75.392,,18.07428
-75.2472,17.98429,
-75.0304,,18.06785
-74.9579,17.97144,
-74.6688,,18.06786
-74.5963,17.96501,
-74.3073,,18.06786
-74.3071,17.95859,
-73.9457,,18.06786
-73.9455,17.96502,
-73.6564,,18.06144
-73.6563,17.97788,
-73.2948,,18.05501
-73.2947,17.98431,
-73.0054,17.97788,
-72.9333,,18.04859
-72.7162,17.96503,
-72.5717,,18.04859
-72.3546,17.9586,
-72.2101,,18.04859
-71.993,17.96503,
-71.9209,,18.06788
-71.7038,17.97146,
-71.5593,,18.06788
-71.4146,17.97789,
-71.1978,,18.07431
-71.053,17.9779,
-70.8362,,18.08074
-70.6914,17.9779,
-70.4747,,18.08075
-70.3299,17.98433,
-70.1854,,18.08718
-69.9683,17.98433,
-69.8239,,18.08718
-69.679,17.98433,
-69.4623,,18.08718
-69.3175,17.99077,
-69.1007,,18.08076
-68.9559,17.99077,
-68.7391,,18.08076
-68.5944,17.99077,
-68.3776,,18.07433
-68.2328,17.99077,
-68.016,,18.07434
-67.8712,17.98435,
-67.6544,,18.06791
-67.5097,17.99078,
-67.3652,,18.06149
-67.2204,17.99721,
-67.0036,,18.06792
-66.9312,18.00364,
-66.642,,18.06792
-66.5696,18.00364,
-66.2805,,18.07435
-66.208,17.99722,
-65.9189,,18.08078
-65.8464,17.99079,
-65.6297,,18.08721
-65.4849,17.98437,
-65.2681,,18.08721
-65.1233,17.98437,
-64.9065,,18.08722
-64.7617,17.98437,
-64.545,,18.08722
-64.4002,17.98438,
-64.1834,,18.08722
-64.0386,17.98438,
-63.8218,,18.08723
-63.677,17.98438,
-63.4603,,18.08723
-63.3155,17.98439,
-63.0987,,18.09366
-62.9539,17.98439,
-62.7372,,18.10009
-62.5923,17.98439,
-62.3756,,18.09367
-62.3031,17.97797,
-62.0863,,18.1001
-61.9415,17.97797,
-61.7248,,18.09367
-61.5799,17.97797,
-61.3632,,18.08725
-61.2184,17.99083,
-61.0016,,18.08725
-60.8568,17.99083,
-60.6401,,18.08725
-60.6399,18.00369,
-60.2785,,18.08725
-60.2783,18.00369,
-59.9169,,18.09369
-59.9168,18.01012,
-59.5554,,18.09369
-59.5552,18.01013,
-59.2661,,18.10655
-59.1936,18.0037,
-58.9046,,18.10655
-58.8321,18.00371,
