############################
### DOCUMENT
# [1] M. J. Mandell and I. Katz, “Theory of Hollow Cathode Operation in Spot and Plume Modes,” 30th AIAA/ASME/SAE/ASEE Jt. Propuls. Conf., 1994.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Electron temperature vs. discharge current for various mass flow rates 
### DATA
# Id (A), Te (eV) at mdot = 1 sccm,  Te (eV) at mdot = 6 sccm, Te (eV) at mdot = 10 sccm,
### NOTES
# Lo = 0.076 cm, ro = 0.0368 cm, rc = 0.6 cm
############################
Id,Te_mdot1,Te_mdot6,Te_mdot10
0.9656,2.52634,1.84795,1.71793
0.9834,2.52567,1.84832,1.71846
0.9868,2.52555,1.84839,1.71856
1.0475,2.52449,1.8497,1.72014
1.0652,2.52498,1.85013,1.72035
1.0686,2.52512,1.85021,1.72037
1.1129,2.52813,1.85134,1.72023
1.147,2.53045,1.85194,1.72031
1.1505,2.53064,1.85197,1.72035
1.1783,2.53177,1.85208,1.72102
1.2289,2.53277,1.85192,1.72217
1.2323,2.53284,1.85191,1.72216
1.2602,2.53358,1.8519,1.72146
1.2979,2.53568,1.85192,1.72032
1.3108,2.53648,1.8519,1.72038
1.3256,2.53722,1.85186,1.72067
1.3797,2.53862,1.85178,1.72213
1.3927,2.53882,1.85188,1.72232
1.4074,2.53903,1.85212,1.72242
1.4582,2.54018,1.85369,1.72214
1.4616,2.54032,1.8538,1.72211
1.4729,2.54084,1.85414,1.72201
1.54,2.54415,1.8555,1.72204
1.5435,2.54425,1.85554,1.72209
1.5547,2.54448,1.85562,1.72229
1.6219,2.54414,1.85548,1.72385
1.6254,2.54418,1.85546,1.7239
1.6366,2.54446,1.85538,1.72402
1.702,2.54993,1.85544,1.7239
1.7038,2.55002,1.85546,1.7239
1.7073,2.55019,1.85552,1.72388
1.7838,2.55173,1.85726,1.72386
1.7857,2.5518,1.85727,1.72386
1.7892,2.55193,1.8573,1.72386
1.8492,2.55537,1.85712,1.72385
1.8675,2.55587,1.85725,1.72385
1.871,2.55593,1.85731,1.72384
1.9311,2.55718,1.85888,1.72384
1.9494,2.55821,1.85906,1.72383
1.9529,2.55845,1.85904,1.72383
1.9965,2.56082,1.8576,1.72379
2.015,2.56088,1.85722,1.72379
2.0348,2.56066,1.8574,1.72381
2.0784,2.5608,1.85859,1.7239
2.0968,2.56197,1.85903,1.72389
2.1167,2.56397,1.85928,1.72379
2.1438,2.56627,1.85928,1.72352
2.1787,2.56727,1.85901,1.72342
2.1986,2.56751,1.85887,1.72377
2.2256,2.56808,1.8588,1.72487
2.2606,2.57026,1.85899,1.72665
2.2804,2.57141,1.85929,1.72741
2.291,2.57172,1.8595,1.72764
2.3424,2.57145,1.8608,1.72758
2.3623,2.57144,1.86134,1.72739
2.3729,2.5717,1.86162,1.72732
2.4219,2.57717,1.86258,1.72732
2.4243,2.57733,1.86261,1.72732
2.4442,2.57808,1.86275,1.72737
2.5038,2.57898,1.8626,1.72737
2.5062,2.57905,1.86259,1.72737
2.5261,2.57974,1.86249,1.72735
2.5855,2.58262,1.86254,1.72733
2.5881,2.58272,1.86257,1.72733
2.608,2.58339,1.86295,1.72733
2.651,2.58443,1.8643,1.72732
2.6535,2.58451,1.86439,1.72732
2.6899,2.58584,1.8654,1.72731
2.7328,2.58807,1.86617,1.7273
2.7354,2.58823,1.86619,1.7273
2.7718,2.59074,1.86632,1.72729
2.7982,2.59171,1.86624,1.72729
2.8173,2.59179,1.86618,1.72729
2.8537,2.59154,1.86615,1.72728
2.8801,2.59169,1.86616,1.72726
2.8992,2.59279,1.86616,1.72725
2.9292,2.59533,1.86609,1.72725
2.9356,2.5956,1.86608,1.72726
2.981,2.59653,1.86614,1.72729
3.011,2.59714,1.86645,1.72725
3.0174,2.59735,1.86655,1.72724
3.0629,2.59988,1.86795,1.72708
3.0764,2.60078,1.8687,1.72708
3.0993,2.60212,1.87019,1.72722
3.1283,2.60367,1.87159,1.72784
3.1418,2.60442,1.87185,1.72828
3.1648,2.60578,1.87192,1.72903
3.2073,2.60806,1.87159,1.73013
3.2102,2.60818,1.87157,1.73019
3.2466,2.60923,1.87144,1.73084
3.2727,2.60987,1.87148,1.73113
3.2921,2.61046,1.87155,1.7312
3.3285,2.61196,1.87167,1.73082
3.3545,2.61351,1.87165,1.73012
3.374,2.6151,1.87153,1.72955
