############################
### DOCUMENT
# [1] M. J. Mandell and I. Katz, “Theory of Hollow Cathode Operation in Spot and Plume Modes,” 30th AIAA/ASME/SAE/ASEE Jt. Propuls. Conf., 1994.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Electron density vs. discharge current for various mass flow rates 
### DATA
# Id (A), ne (1/m3) at mdot = 1 sccm,  ne (1/m3) at mdot = 6 sccm, ne (1/m3) at mdot = 10 sccm,
### NOTES
# Lo = 0.076 cm, ro = 0.0368 cm, rc = 0.6 cm
############################
Id,ne_mdot1,ne_mdot6,ne_mdot10
0.9556,0.07081,0.29346,0.40635
0.9877,0.07758,0.30368,0.41341
0.9888,0.07781,0.30403,0.41365
1.0188,0.0841,0.31355,0.42003
1.0509,0.09123,0.32421,0.42668
1.0521,0.0915,0.32461,0.42693
1.082,0.09827,0.33499,0.43372
1.1141,0.10368,0.34474,0.44246
1.1311,0.10518,0.34868,0.44823
1.1452,0.1056,0.35153,0.45425
1.1768,0.10497,0.35828,0.48163
1.1774,0.10495,0.35843,0.48256
1.2083,0.10501,0.36745,0.509
1.2103,0.10518,0.36811,0.50961
1.2406,0.11362,0.37896,0.51546
1.2577,0.11887,0.38574,0.51781
1.2874,0.12296,0.39918,0.52269
1.288,0.12302,0.39949,0.52283
1.3347,0.12562,0.41985,0.54322
1.3353,0.12565,0.42002,0.54354
1.3368,0.12571,0.42043,0.5443
1.3821,0.12815,0.42997,0.56375
1.3986,0.1298,0.43371,0.5709
1.4159,0.13255,0.43946,0.57855
1.4453,0.14016,0.45388,0.59113
1.446,0.14035,0.45424,0.5914
1.4791,0.14624,0.47044,0.60461
1.4927,0.14641,0.47601,0.61166
1.5091,0.14577,0.48161,0.62512
1.5242,0.14505,0.48545,0.63903
1.5583,0.14623,0.49198,0.66065
1.5715,0.14946,0.49506,0.66641
1.5724,0.14973,0.4953,0.66674
1.6198,0.16648,0.51583,0.68204
1.6215,0.16676,0.51654,0.68257
1.6347,0.16795,0.52153,0.68694
1.6821,0.16647,0.53611,0.70747
1.683,0.16645,0.53636,0.70784
1.7006,0.16676,0.54153,0.71504
1.7295,0.17241,0.55064,0.728
1.7462,0.17708,0.55689,0.73784
