x,Curve1
0.050348,23.5156
0.053009,22.5981
0.055201,10.8051
0.058891,10.4423
0.076593,9.1665
0.081527,8.1115
0.084364,7.5071
0.099239,6.4402
0.129784,6.8552
0.157013,7.3802
0.165841,7.6651
0.286028,10.5663
0.517352,15.0623
0.663307,18.0163
0.719193,20.8679
0.767759,22.0284
0.8124,23.1013
0.880098,24.6776
0.95566,25.8358
1.012065,27.5668
1.127334,30.853

x,Curve2
0.146227,31.8456
0.183391,12.5851
0.192462,12.9579
0.200801,13.1769
0.206686,13.4181
0.211343,13.6374
0.217477,13.7248
0.224342,14.0099
0.237828,14.4921
0.247391,14.8428
0.265783,15.4345
0.274118,15.8513
0.285157,16.0262
0.302567,16.6619
0.311642,16.9028
0.330032,17.5824
0.354068,18.2176
0.372701,18.985
0.390114,19.4889
0.398956,19.2025
0.435003,20.4519
0.466906,20.5152
0.477441,21.2833
0.537551,22.0473
0.546866,22.5079
0.690534,28.604
0.760691,30.0043
1.024987,41.0558
