############################
### DOCUMENT
[1] S. W. Patterson, D. G. Fearn, "The generation of high energy ions in hollow cathode discharges", IEPC, 1999
[2] D. G. Fearn, S. W. Patterson, "Characterisation of the high current hollow cathode for the T6 thruster", 34th JPC, 1998
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Measured pressure as mdot is varied 
### DATA
# mdot (mg/s), Id (A), do (mm), species (n/a), P (Torr)
### Notes
# Extracted from Fig. 15. Gas is xenon. Mass flow rate error: 1 to 2%. The orifice diameter is probably 1 mm as Ref. [1] refers to Ref. [2], which uses 1 mm in Figs 6 and 12 
############################
mdot,Id,do,species,P
0.050348,5,1.0,Xe,23.5156
0.053009,5,1.0,Xe,22.5981
0.055201,5,1.0,Xe,10.8051
0.058891,5,1.0,Xe,10.4423
0.076593,5,1.0,Xe,9.1665
0.081527,5,1.0,Xe,8.1115
0.084364,5,1.0,Xe,7.5071
0.099239,5,1.0,Xe,6.4402
0.129784,5,1.0,Xe,6.8552
0.157013,5,1.0,Xe,7.3802
0.165841,5,1.0,Xe,7.6651
0.286028,5,1.0,Xe,10.5663
0.517352,5,1.0,Xe,15.0623
0.663307,5,1.0,Xe,18.0163
0.719193,5,1.0,Xe,20.8679
0.767759,5,1.0,Xe,22.0284
0.8124,5,1.0,Xe,23.1013
0.880098,5,1.0,Xe,24.6776
0.95566,5,1.0,Xe,25.8358
1.012065,5,1.0,Xe,27.5668
1.127334,5,1.0,Xe,30.853
0.146227,15,1.0,Xe,31.8456
0.183391,15,1.0,Xe,12.5851
0.192462,15,1.0,Xe,12.9579
0.200801,15,1.0,Xe,13.1769
0.206686,15,1.0,Xe,13.4181
0.211343,15,1.0,Xe,13.6374
0.217477,15,1.0,Xe,13.7248
0.224342,15,1.0,Xe,14.0099
0.237828,15,1.0,Xe,14.4921
0.247391,15,1.0,Xe,14.8428
0.265783,15,1.0,Xe,15.4345
0.274118,15,1.0,Xe,15.8513
0.285157,15,1.0,Xe,16.0262
0.302567,15,1.0,Xe,16.6619
0.311642,15,1.0,Xe,16.9028
0.330032,15,1.0,Xe,17.5824
0.354068,15,1.0,Xe,18.2176
0.372701,15,1.0,Xe,18.985
0.390114,15,1.0,Xe,19.4889
0.398956,15,1.0,Xe,19.2025
0.435003,15,1.0,Xe,20.4519
0.466906,15,1.0,Xe,20.5152
0.477441,15,1.0,Xe,21.2833
0.537551,15,1.0,Xe,22.0473
0.546866,15,1.0,Xe,22.5079
0.690534,15,1.0,Xe,28.604
0.760691,15,1.0,Xe,30.0043
1.024987,15,1.0,Xe,41.0558
