############################
### DOCUMENT
# [1] A. Salhi, "Theoretical and experimental studies of orificed, hollow cathode operation," The Ohio State University, 1993.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Various
### DATA
# Id (A), mdot (A), do (mm), species (n/a), P (Torr)
### Notes
# Extracted from multiple plots (Figs 5.56 to Figs 5.61 pp110-112)
############################
Id,mdot,do,species,P
2.0,0.50,0.76,Ar,8.0473
3.0,0.50,0.76,Ar,8.5451
4.0,0.50,0.76,Ar,9.07
5.0,0.50,0.76,Ar,9.6758
6.0,0.50,0.76,Ar,10.2952
7.0,0.50,0.76,Ar,10.6715
8.0,0.50,0.76,Ar,10.6971
9.0,0.50,0.76,Ar,11.0735
10.0,0.50,0.76,Ar,11.5579
1.0,0.70,0.76,Ar,9.4523
3.0,0.70,0.76,Ar,11.4939
4.0,0.70,0.76,Ar,12.1403
5.0,0.70,0.76,Ar,12.6584
6.0,0.70,0.76,Ar,13.1698
7.0,0.70,0.76,Ar,13.6136
8.0,0.70,0.76,Ar,14.179
9.0,0.70,0.76,Ar,14.6769
10.0,0.70,0.76,Ar,15.1882
11.0,0.70,0.76,Ar,15.6591
12.0,0.70,0.76,Ar,16.3054
13.0,0.70,0.76,Ar,16.8303
14.0,0.70,0.76,Ar,17.5171
2.0,0.93,0.76,Ar,13.4861
3.0,0.93,0.76,Ar,14.409
4.0,0.93,0.76,Ar,15.44
5.0,0.93,0.76,Ar,16.0323
6.0,0.93,0.76,Ar,16.9486
7.0,0.93,0.76,Ar,17.4059
8.0,0.93,0.76,Ar,18.2412
9.0,0.93,0.76,Ar,19.0765
10.0,0.93,0.76,Ar,19.8308
11.0,0.93,0.76,Ar,20.6795
12.0,0.93,0.76,Ar,21.2719
13.0,0.93,0.76,Ar,21.8642
14.0,0.93,0.76,Ar,22.6995
2.0,0.93,1.21,Ar,7.9276
3.0,0.93,1.21,Ar,8.0091
4.0,0.93,1.21,Ar,8.0369
5.0,0.93,1.21,Ar,8.1722
6.0,0.93,1.21,Ar,8.3344
7.0,0.93,1.21,Ar,8.4697
8.0,0.93,1.21,Ar,8.5244
9.0,0.93,1.21,Ar,8.6597
10.0,0.93,1.21,Ar,8.6874
11.0,0.93,1.21,Ar,8.8227
12.0,0.93,1.21,Ar,8.8236
13.0,0.93,1.21,Ar,9.0665
15.0,0.93,1.21,Ar,9.1757
1.0,0.5,1.21,Ar,4.8445
2.0,0.5,1.21,Ar,4.9536
3.0,0.5,1.21,Ar,5.2136
4.0,0.5,1.21,Ar,5.3591
5.0,0.5,1.21,Ar,5.4629
7.0,0.5,1.21,Ar,5.7071
9.0,0.5,1.21,Ar,5.8731
12.0,0.5,1.21,Ar,6.0442
14.0,0.5,1.21,Ar,6.179
15.0,0.5,1.21,Ar,6.2516
20.0,0.5,1.21,Ar,6.8803
1.0,0.5,1.21,Xe,6.4821
4.0,0.5,1.21,Xe,7.4156
7.0,0.5,1.21,Xe,7.9451
10.0,0.5,1.21,Xe,8.506
13.0,0.5,1.21,Xe,9.0565
15.0,0.5,1.21,Xe,9.5774
20.0,0.5,1.21,Xe,10.6381
2.0,0.93,1.21,Xe,10.6098
3.0,0.93,1.21,Xe,11.0662
5.0,0.93,1.21,Xe,11.4436
7.0,0.93,1.21,Xe,12.0352
8.0,0.93,1.21,Xe,12.5317
9.0,0.93,1.21,Xe,13.0015
10.0,0.93,1.21,Xe,13.1768
13.0,0.93,1.21,Xe,14.6665
