x,Curve1
1.9996,8.0473
2.9995,8.5451
4.0028,9.07
5.0095,9.6758
5.9957,10.2952
7.0059,10.6715
7.9921,10.6971
8.9955,11.0735
9.9885,11.5579

x,Curve2
0.9858,9.4523
3.0077,11.4939
4.0008,12.1403
4.9921,12.6584
5.9954,13.1698
7.0056,13.6136
7.9918,14.179
8.9814,14.6769
9.9848,15.1882
10.9778,15.6591
11.9845,16.3054
12.9879,16.8303
13.9912,17.5171

x,Curve3
2.0008,13.4861
3.0083,14.409
4.0022,15.44
4.9986,16.0323
5.9917,16.9486
7.0053,17.4059
8.0017,18.2412
8.9913,19.0765
9.9877,19.8308
10.9842,20.6795
11.9841,21.2719
12.9977,21.8642
13.9907,22.6995
