############################
### DOCUMENT
# [1] D. Siegfried and P. Wilbur, “A model for mercury orificed hollow cathodes-Theory and experiment,” AIAA J., vol. 22, no. 10, pp. 1405–1412, 1984.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Cathode wall temperature vs. discharge current 
### DATA
# Id (A), Tc (degC)
### NOTES
# mdot = 100 mA, do = 0.96 mm
############################
Id,Tc
1.12702,942.995
1.15068,943.566
1.18027,945.309
1.20394,946.468
1.22762,948.215
1.25129,949.962
1.27497,951.71
1.30455,952.864
1.32157,953.955
1.35189,955.66
1.37556,956.93
1.39923,958.089
1.42291,959.836
1.44658,960.995
1.47617,962.738
1.49984,963.897
1.52351,965.644
1.55309,966.799
1.57677,968.546
1.60635,969.701
1.63002,970.86
1.6596,972.015
1.68328,973.762
1.71286,974.917
1.73653,976.076
1.76611,977.231
1.78979,978.978
1.81937,980.133
1.84303,981.292
1.87262,982.447
1.89628,983.606
1.92586,984.76
1.94954,986.508
1.97911,987.074
2.00278,988.233
2.03236,989.388
2.05604,991.135
2.08561,991.702
2.10927,992.273
2.12704,994.024
2.15661,994.591
2.18028,995.75
2.20986,996.905
2.23944,998.059
2.41693,1004.988
2.44059,1006.147
2.47017,1007.301
2.49975,1007.868
2.52342,1009.027
2.553,1010.182
2.58257,1010.748
2.60624,1011.907
2.63582,1013.062
2.66539,1013.628
2.69497,1014.783
2.71863,1015.354
2.74821,1016.509
2.77188,1017.668
2.80145,1018.234
2.83103,1019.389
2.86061,1020.544
2.88427,1021.115
2.91385,1022.269
2.94343,1022.836
2.97301,1023.99
2.99667,1024.561
3.02625,1025.716
3.05582,1026.282
3.07949,1027.442
3.10906,1028.008
3.13273,1029.167
3.1623,1029.734
3.18597,1030.893
3.21554,1031.459
3.44032,1037.764
3.46398,1038.335
3.49356,1039.49
3.52313,1040.057
3.5468,1041.216
3.57638,1041.782
3.60595,1042.349
3.63552,1042.915
3.6651,1044.07
3.68876,1044.641
3.71834,1045.795
3.74791,1045.774
3.77749,1046.928
3.80115,1047.499
3.83072,1048.066
3.86029,1048.632
3.88987,1049.787
3.91943,1049.765
3.94309,1050.336
3.97268,1051.491
4.00225,1052.057
4.03182,1052.624
4.06139,1053.19
4.08505,1053.761
4.11462,1054.327
4.1442,1054.894
4.16786,1055.465
4.19743,1056.031
4.22701,1057.186
4.25066,1057.169
4.28023,1057.735
4.45767,1061.134
4.48725,1062.289
4.5109,1062.271
4.54047,1062.838
4.57005,1063.993
