############################
### DOCUMENT
# [1] D. Siegfried and P. Wilbur, “A model for mercury orificed hollow cathodes-Theory and experiment,” AIAA J., vol. 22, no. 10, pp. 1405–1412, 1984.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Electron density vs. discharge current 
### DATA
# Id (A), ne*10-20 (1/m3)
### NOTES
# mdot = 100 mA, do = 0.96 mm
############################
Id,ne
1.14362,0.83904
1.1823,0.85295
1.21214,0.87277
1.2405,0.88927
1.26518,0.90468
1.29354,0.91898
1.31712,0.93071
1.34659,0.94832
1.37017,0.96005
1.39963,0.97766
1.42321,0.98939
1.44679,1.00112
1.47626,1.01285
1.49983,1.03046
1.5234,1.04808
1.54698,1.05981
1.56465,1.07744
1.59412,1.09505
1.61769,1.11267
1.64127,1.13029
1.66484,1.14791
1.68841,1.15964
1.71199,1.17726
1.73556,1.18899
1.75913,1.20661
1.7886,1.22421
1.81218,1.23595
1.83575,1.25356
1.85932,1.27118
1.88289,1.2888
1.90647,1.30642
1.93004,1.31815
1.95951,1.33576
1.98308,1.35338
2.00665,1.371
2.03023,1.38273
2.0538,1.40623
2.07737,1.42385
2.10094,1.44147
2.12451,1.45909
2.14219,1.47672
2.16576,1.49434
2.18933,1.51195
2.21291,1.52957
2.23648,1.5413
2.26005,1.55892
2.28363,1.57654
2.30719,1.60005
2.33077,1.61766
2.35434,1.63528
2.37791,1.6529
2.40148,1.67052
2.42505,1.68814
2.44862,1.70576
2.4663,1.72339
2.48987,1.741
2.51344,1.75862
2.53702,1.77624
2.56059,1.79386
2.57826,1.81149
2.60183,1.83499
2.6254,1.85261
2.64898,1.87023
2.66665,1.88786
2.69022,1.91136
2.70789,1.92899
2.73147,1.94661
2.75504,1.96423
2.77861,1.98185
2.79629,1.99948
2.81985,2.02298
2.83753,2.04061
2.86111,2.05234
2.88468,2.06996
2.90824,2.09347
2.93182,2.11108
2.94949,2.12871
2.97306,2.15222
2.99074,2.16985
3.0143,2.19335
3.03787,2.21686
3.05555,2.23449
3.07911,2.25799
3.09679,2.27562
3.12036,2.29324
3.14393,2.31674
3.1675,2.33436
3.18518,2.35199
3.20874,2.3755
3.22642,2.39312
3.24999,2.41074
3.27356,2.43425
3.29124,2.45188
3.3148,2.47538
3.33248,2.49301
3.35605,2.51063
3.37372,2.53415
3.39729,2.55176
3.41497,2.56939
3.43854,2.5929
3.45621,2.61641
3.47978,2.63403
3.49745,2.65755
3.52102,2.67517
3.53869,2.69868
3.55637,2.71631
3.57994,2.73393
3.59761,2.75744
3.62119,2.77506
3.64475,2.79857
3.66243,2.8162
3.6801,2.83971
3.70367,2.85733
3.72134,2.88085
3.74491,2.90435
3.76259,2.92198
3.78026,2.93961
3.80383,2.96311
3.8215,2.98663
3.84507,3.01013
3.86274,3.02776
3.88631,3.05127
3.90399,3.0689
3.92756,3.08651
3.94523,3.11003
3.9688,3.12765
3.98647,3.15116
4.01005,3.16878
4.02772,3.1923
4.04539,3.20993
4.06896,3.23343
4.08664,3.25106
4.1102,3.27457
4.12788,3.2922
4.14555,3.31571
4.16912,3.33333
4.18679,3.35684
4.20447,3.37447
4.22804,3.39798
4.25161,3.42148
4.26928,3.43911
4.29285,3.45673
4.31053,3.47436
4.3341,3.49786
4.35177,3.51549
