Id,Tc
1.1773,946.48
1.2334,950.6
1.2894,953.49
1.3414,956.79
1.3935,958.87
1.4375,961.34
1.4895,964.23
1.5336,967.53
1.5976,972.05
1.6617,974.14
1.7017,977.43
1.7657,979.51
1.8258,983.22
1.8898,985.31
1.9659,988.62
2.0139,991.51
2.0859,994.01
2.162,996.51
2.214,999.8
2.4181,1007.7
2.4822,1011
2.5502,1013.5
2.6222,1016.4
2.7303,1020.6
2.8023,1022.6
2.8863,1024.3
2.9624,1026.8
3.0544,1030.6
3.1304,1032.7
3.2025,1034.3
3.4386,1042.3
3.5426,1045.6
3.6307,1048.5
3.6786,1047.7
3.7507,1049.8
3.8347,1051.9
3.9067,1054.8
3.9987,1055.3
4.0908,1057.8
4.1988,1059.9
4.3109,1063.3
4.3989,1064.9
4.5269,1066.7
