Id,ne
1.199,0.88632
1.2576,0.91808
1.3297,0.95893
1.3928,0.99068
1.4649,1.0361
1.5415,1.0815
1.6002,1.1315
1.6769,1.1769
1.7354,1.2087
1.8121,1.2586
1.8617,1.2996
1.9294,1.345
1.9926,1.395
2.0648,1.4496
2.1504,1.5041
2.2227,1.5632
2.2904,1.6223
2.3715,1.6677
2.4482,1.7222
2.516,1.795
2.5838,1.8587
2.6605,1.9178
2.7327,1.9724
2.8096,2.0543
2.8907,2.0951
2.9541,2.1771
3.0219,2.2499
3.1031,2.3136
3.1844,2.3864
3.2387,2.4501
3.32,2.5183
3.4148,2.5956
3.5007,2.6821
3.5685,2.7549
3.6409,2.8323
3.7267,2.9142
3.8081,3.0052
3.8714,3.0689
3.9392,3.1372
4.0025,3.2009
4.0749,3.292
4.1426,3.3466
4.1969,3.4103
4.2421,3.4558
4.3009,3.515
