Id,phip
1.2687,8.1349
1.3392,8.028
1.3921,7.9387
1.467,7.8318
1.5198,7.7426
1.5595,7.6712
1.6388,7.6183
1.7093,7.5474
1.7885,7.4585
1.8678,7.4237
1.9339,7.3526
1.9956,7.3535
2.0749,7.3006
2.1542,7.2478
2.2291,7.2309
2.2952,7.2138
2.3656,7.1789
2.4361,7.1259
2.5022,7.1088
2.5815,7.11
2.6872,7.0755
2.7885,7.041
2.9031,7.0426
3.0044,7.0441
3.1145,7.0457
3.2159,7.0471
3.3172,7.0126
3.4097,7.0319
3.511,7.0334
3.5991,7.0346
3.6828,7.0178
3.793,7.0374
3.9295,7.0394
4.0661,7.0594
4.1586,7.0967
4.2643,7.1162
4.3436,7.1173
4.4537,7.1189
