############################
### DOCUMENT
# [1] D. Siegfried and P. Wilbur, “A model for mercury orificed hollow cathodes-Theory and experiment,” AIAA J., vol. 22, no. 10, pp. 1405–1412, 1984.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Plasma potential vs. discharge current 
### DATA
# Id (A), phip (V)
### NOTES
# mdot = 100 mA, do = 0.96 mm
############################
Id,phip
1.24765,8.1201
1.27697,8.0967
1.30041,8.0499
1.32972,8.0031
1.35315,7.9563
1.38246,7.9095
1.41176,7.8628
1.43522,7.8394
1.46453,7.7926
1.49385,7.7692
1.51729,7.7224
1.54661,7.6991
1.57592,7.6523
1.60524,7.6289
1.6287,7.6056
1.658,7.5588
1.68733,7.5354
1.71665,7.5121
1.74011,7.4887
1.76943,7.4653
1.79875,7.442
1.82808,7.4186
1.85153,7.3953
1.88086,7.3719
1.91018,7.3485
1.93951,7.3252
1.96885,7.3253
1.99231,7.3019
2.02163,7.2785
2.05095,7.2552
2.0803,7.2552
2.10962,7.2319
2.13896,7.232
2.16242,7.2086
2.19174,7.1852
2.22109,7.1853
2.25041,7.1619
2.27975,7.162
2.30321,7.1386
2.33255,7.1387
2.37948,7.1154
2.40882,7.1155
2.43815,7.0921
2.46749,7.0922
2.49681,7.0688
2.52616,7.0689
2.5555,7.0689
2.58484,7.069
2.6083,7.0456
2.63764,7.0457
2.66698,7.0458
2.69044,7.0224
2.71978,7.0225
2.74911,6.9991
2.77845,6.9992
2.80781,7.0227
2.83714,6.9993
2.86648,6.9994
2.89582,6.9995
2.92516,6.9995
2.95451,6.9996
2.98385,6.9997
3.01319,6.9997
3.04252,6.9764
3.06599,6.9764
3.09533,6.9765
3.12468,6.9766
3.15402,6.9766
3.18336,6.9767
3.2127,6.9768
3.24205,6.9768
3.27139,6.9769
3.30073,6.977
3.33008,6.9771
3.35942,6.9771
3.38876,6.9772
3.4181,6.9773
3.44745,6.9773
3.47679,6.9774
3.50613,6.9775
3.53547,6.9775
3.56482,6.9776
3.58831,7.0011
3.61765,7.0012
3.647,7.0012
3.67634,7.0013
3.70568,7.0014
3.73502,7.0014
3.76437,7.0015
3.79371,7.0016
3.82305,7.0016
3.8524,7.0017
3.88174,7.0018
3.91108,7.0018
3.94042,7.0019
3.96977,7.002
3.99911,7.002
4.02847,7.0255
4.05781,7.0256
4.08716,7.0257
4.1165,7.0257
4.14586,7.0492
4.1752,7.0493
4.20455,7.0494
4.23389,7.0494
4.26325,7.0729
4.28671,7.0496
4.31607,7.0731
4.34541,7.0731
4.37475,7.0732
4.4041,7.0733
4.43344,7.0733
4.46278,7.0734
4.49212,7.0735
