Tc,qth
700.34,0.56177
711.11,0.58236
723.93,0.60291
734.7,0.6235
745.97,0.63886
756.74,0.65946
765.97,0.67488
778.79,0.69542
788.53,0.71082
800.32,0.73661
812.63,0.75717
822.88,0.77778
833.65,0.79315
843.9,0.81376
855.19,0.83956
865.96,0.86016
876.72,0.88076
889.54,0.90652
898.27,0.93239
910.57,0.95816
921.35,0.98919
934.17,1.0097
945.45,1.0355
957.25,1.0718
966.99,1.0924
979.82,1.1234
991.62,1.1544
1003.9,1.1854
1011.6,1.2008
1022.4,1.2319
1032.7,1.2577
1045.5,1.2939
1057.3,1.3249
1069.1,1.3663
1077.8,1.387
1091.7,1.4336
1100.4,1.4647
1113.2,1.5009
1124,1.5319
1136.3,1.5734
