############################
### DOCUMENT
# [1] D. SIEGFRIED and P. WILBUR, “An investigation of mercury hollow cathode phenomena,” 13th Int. Electr. Propuls. Conf., 1978.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Electron temperature in spot mode 
### DATA
# d (mm), Te (eV)
############################
d,TeV
0.2011,0.75093
0.2055,0.7508
0.2098,0.75066
0.2142,0.75053
0.2185,0.7504
0.2228,0.75027
0.2272,0.75013
0.2315,0.75
0.2359,0.74986
0.2402,0.74973
0.2446,0.74959
0.2489,0.74946
0.2533,0.74932
0.2576,0.74918
0.262,0.74904
0.2663,0.7489
0.2707,0.74876
0.275,0.74862
0.2794,0.74848
0.2837,0.74833
0.2881,0.74819
0.2924,0.74804
0.2968,0.74789
0.3011,0.74774
0.3055,0.74759
0.3098,0.74744
0.3141,0.74728
0.3185,0.74712
0.3228,0.74696
0.3272,0.7468
0.3315,0.74663
0.3359,0.74646
0.3402,0.74629
0.3446,0.74611
0.3489,0.74593
0.3533,0.74575
0.3576,0.74556
0.362,0.74536
0.3663,0.74517
0.3707,0.74496
0.375,0.74475
0.3794,0.74453
0.3837,0.7443
0.3881,0.74407
0.3924,0.74382
0.3968,0.74356
0.4011,0.74329
0.4055,0.743
0.4098,0.7427
0.4141,0.74237
0.4185,0.74201
0.4228,0.74161
0.4272,0.74118
0.4315,0.74071
0.4359,0.74021
0.4402,0.7397
0.4446,0.73919
0.4489,0.73871
0.4533,0.73826
0.4576,0.73785
0.462,0.73747
0.4663,0.73714
0.4707,0.73683
0.475,0.73655
0.4794,0.7363
0.4837,0.73607
0.4881,0.73586
0.4924,0.73566
0.4968,0.73548
0.5011,0.73532
0.5055,0.73516
0.5098,0.73502
0.5141,0.73488
0.5185,0.73476
0.5228,0.73464
0.5272,0.73453
0.5315,0.73442
0.5359,0.73433
0.5402,0.73423
0.5446,0.73415
0.5489,0.73407
0.5533,0.73399
0.5576,0.73392
0.562,0.73385
0.5663,0.73378
0.5707,0.73372
0.575,0.73366
0.5794,0.73361
0.5837,0.73355
0.5881,0.7335
0.5924,0.73346
0.5968,0.73341
0.6011,0.73337
0.6055,0.73333
0.6098,0.7333
0.6141,0.73326
0.6185,0.73323
0.6228,0.7332
0.6272,0.73317
0.6315,0.73314
0.6359,0.73311
0.6402,0.73309
0.6446,0.73307
0.6489,0.73305
0.6533,0.73303
0.6576,0.73301
0.662,0.73299
0.6663,0.73297
0.6707,0.73296
0.675,0.73294
0.6794,0.73293
0.6837,0.73292
0.6881,0.73291
0.6924,0.7329
0.6968,0.73289
0.7011,0.73288
0.7055,0.73287
0.7098,0.73286
0.7141,0.73285
0.7185,0.73285
0.7228,0.73284
0.7272,0.73284
0.7315,0.73283
0.7359,0.73283
0.7402,0.73283
0.7446,0.73282
0.7489,0.73282
0.7533,0.73282
0.7576,0.73282
0.762,0.73281
0.7663,0.73281
0.7707,0.73281
0.775,0.73281
0.7794,0.73281
0.7837,0.73281
0.7881,0.73282
0.7924,0.73282
0.7968,0.73282
0.8011,0.73282
0.8055,0.73282
0.8098,0.73282
0.8141,0.73283
0.8185,0.73283
0.8228,0.73283
0.8272,0.73284
0.8315,0.73284
0.8359,0.73284
0.8402,0.73285
0.8446,0.73285
0.8489,0.73286
0.8533,0.73286
0.8576,0.73287
0.862,0.73287
0.8663,0.73288
0.8707,0.73288
0.875,0.73289
0.8794,0.73289
0.8837,0.7329
0.8881,0.7329
0.8924,0.73291
0.8968,0.73291
0.9011,0.73292
0.9054,0.73293
0.9098,0.73293
0.9141,0.73294
0.9185,0.73295
0.9228,0.73295
0.9272,0.73296
0.9315,0.73296
0.9359,0.73297
0.9402,0.73298
0.9446,0.73298
0.9489,0.73299
0.9533,0.733
0.9576,0.733
0.962,0.73301
0.9663,0.73302
0.9707,0.73302
0.975,0.73303
0.9794,0.73304
0.9837,0.73304
0.9881,0.73305
0.9924,0.73306
0.9968,0.73306
1.0011,0.73307
1.0054,0.73308
1.0098,0.73308
1.0141,0.73309
1.0185,0.73309
1.0228,0.7331
1.0272,0.73311
1.0315,0.73311
1.0359,0.73312
1.0402,0.73312
1.0446,0.73313
1.0489,0.73313
1.0533,0.73314
1.0576,0.73315
1.062,0.73315
1.0663,0.73316
1.0707,0.73316
1.075,0.73317
1.0794,0.73317
1.0837,0.73317
1.0881,0.73318
1.0924,0.73318
1.0968,0.73319
1.1011,0.73319
1.1054,0.73319
1.1098,0.7332
1.1141,0.7332
1.1185,0.7332
1.1228,0.73321
1.1272,0.73321
1.1315,0.73321
1.1359,0.73321
1.1402,0.73321
1.1446,0.73322
1.1489,0.73322
1.1533,0.73322
1.1576,0.73322
1.162,0.73322
1.1663,0.73322
1.1707,0.73322
1.175,0.73322
1.1794,0.73322
1.1837,0.73322
1.1881,0.73321
1.1924,0.73321
1.1968,0.73321
1.2011,0.73321
1.2054,0.7332
1.2098,0.7332
1.2141,0.7332
1.2185,0.73319
1.2228,0.73319
1.2272,0.73318
1.2315,0.73317
1.2359,0.73317
1.2402,0.73316
1.2446,0.73315
1.2489,0.73315
1.2533,0.73314
1.2576,0.73313
1.262,0.73312
1.2663,0.73311
1.2707,0.73309
1.275,0.73308
1.2794,0.73307
1.2837,0.73306
1.2881,0.73304
1.2924,0.73303
1.2968,0.73301
1.3011,0.73299
1.3054,0.73298
1.3098,0.73296
1.3141,0.73294
1.3185,0.73292
1.3228,0.73289
1.3272,0.73287
1.3315,0.73285
1.3359,0.73282
1.3402,0.73279
1.3446,0.73277
1.3489,0.73274
1.3533,0.7327
1.3576,0.73267
1.362,0.73264
1.3663,0.7326
1.3707,0.73256
1.375,0.73252
1.3794,0.73248
1.3837,0.73243
1.3881,0.73238
1.3924,0.73234
1.3967,0.73228
1.4011,0.73223
1.4054,0.73217
1.4098,0.73211
1.4141,0.73205
1.4185,0.73198
1.4228,0.73191
1.4272,0.73184
1.4315,0.73176
1.4359,0.73168
1.4402,0.73159
1.4446,0.7315
1.4489,0.73141
1.4533,0.73131
1.4576,0.73121
1.462,0.7311
1.4663,0.73099
1.4707,0.73087
1.475,0.73074
1.4794,0.73061
1.4837,0.73047
1.4881,0.73032
1.4924,0.73017
1.4967,0.73
1.5011,0.72983
1.5054,0.72964
1.5098,0.72944
1.5141,0.72923
1.5185,0.72901
1.5228,0.72877
1.5272,0.72851
1.5315,0.72824
1.5359,0.72795
1.5402,0.72763
1.5446,0.72729
1.5489,0.72692
1.5533,0.72654
1.5576,0.72613
1.562,0.72571
1.5663,0.7253
1.5707,0.7249
1.575,0.72454
1.5794,0.72423
1.5837,0.72397
1.5881,0.72376
1.5924,0.7236
1.5967,0.72347
1.6011,0.72338
1.6054,0.7233
1.6098,0.72325
1.6141,0.72321
1.6185,0.72319
1.6228,0.72317
1.6272,0.72317
1.6315,0.72317
1.6359,0.72318
1.6402,0.72319
1.6446,0.72321
1.6489,0.72323
1.6533,0.72326
1.6576,0.72329
1.662,0.72332
1.6663,0.72335
1.6707,0.72339
1.675,0.72342
1.6794,0.72346
1.6837,0.7235
1.6881,0.72353
1.6924,0.72357
1.6967,0.7236
1.7011,0.72364
1.7054,0.72367
1.7098,0.7237
1.7141,0.72373
1.7185,0.72376
1.7228,0.72378
1.7272,0.72381
1.7315,0.72383
1.7359,0.72384
1.7402,0.72386
1.7446,0.72387
1.7489,0.72387
1.7533,0.72388
1.7576,0.72388
1.762,0.72387
1.7663,0.72386
1.7707,0.72385
1.775,0.72383
1.7794,0.7238
1.7837,0.72377
1.7881,0.72373
1.7924,0.72369
1.7967,0.72363
1.8011,0.72357
1.8054,0.72351
1.8098,0.72343
1.8141,0.72335
