############################
### DOCUMENT
# [1] D. SIEGFRIED and P. WILBUR, “An investigation of mercury hollow cathode phenomena,” 13th Int. Electr. Propuls. Conf., 1978.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Ionization fraction profiles in plume mode 
### DATA
# d,log10(alpha at Tgas = 0.1 eV), log10(alpha at Tgas = Te)
############################
d,alpha_0.1eV,alpha_Te
0.037,-0.04571,-0.0631
0.1088,-0.06888,-0.06739
0.168,-0.09002,-0.07173
0.2309,-0.11507,-0.07705
0.2366,-0.1172,-0.07756
0.2834,-0.13432,-0.08154
0.3145,-0.15543,-0.08399
0.331,-0.16344,-0.0852
0.4017,-0.19468,-0.08991
0.4546,-0.22184,-0.09328
0.4562,-0.22261,-0.09338
0.5294,-0.25405,-0.09819
0.5814,-0.27647,-0.10156
0.6042,-0.28625,-0.10299
0.679,-0.31846,-0.10777
0.7066,-0.33146,-0.10974
0.7538,-0.35066,-0.11362
0.8068,-0.36725,-0.11789
0.8474,-0.38088,-0.12054
0.8753,-0.40199,-0.12226
0.932,-0.4233,-0.12607
0.9408,-0.42616,-0.12674
1.0094,-0.45133,-0.13204
1.0572,-0.47552,-0.13425
1.0716,-0.48251,-0.13449
1.1807,-0.53182,-0.13435
1.1825,-0.5327,-0.1344
1.2305,-0.55798,-0.13875
1.2576,-0.56945,-0.14252
1.2648,-0.57207,-0.14334
1.3178,-0.59321,-0.1479
1.3578,-0.61297,-0.15067
1.3769,-0.62238,-0.15197
1.4486,-0.65258,-0.15674
1.483,-0.66602,-0.15885
1.5421,-0.68882,-0.16214
1.5925,-0.70889,-0.165
1.6013,-0.71298,-0.1656
1.6543,-0.73913,-0.17024
1.6645,-0.7432,-0.17111
1.7135,-0.76128,-0.17504
1.7852,-0.79248,-0.18027
1.8335,-0.80565,-0.18336
1.8632,-0.81466,-0.18497
1.9567,-0.85592,-0.19128
1.9588,-0.85694,-0.19154
2.0065,-0.87805,-0.19941
2.0588,-0.89235,-0.20771
2.0752,-0.89721,-0.20944
2.1563,-0.92942,-0.21447
2.184,-0.94621,-0.21589
2.2091,-0.96059,-0.21741
2.2903,-0.98277,-0.22293
2.3092,-0.98829,-0.22407
2.4344,-1.0296,-0.23225
2.4494,-1.03515,-0.23453
2.5094,-1.06095,-0.2484
2.5242,-1.06735,-0.25106
2.5991,-1.09153,-0.26102
2.6345,-1.10262,-0.26461
2.674,-1.11571,-0.26792
2.7597,-1.14381,-0.27279
2.7738,-1.14794,-0.27338
2.8487,-1.17212,-0.27728
2.885,-1.19438,-0.28097
2.9234,-1.21235,-0.28737
2.985,-1.22273,-0.29715
3.0235,-1.22853,-0.29766
3.0852,-1.25493,-0.29727
3.0982,-1.26074,-0.29812
3.1981,-1.29297,-0.31162
3.2104,-1.29695,-0.31348
3.273,-1.31715,-0.32205
3.3355,-1.33195,-0.32968
3.3729,-1.34135,-0.3342
3.4259,-1.363,-0.3411
3.4606,-1.37715,-0.34589
3.4789,-1.38363,-0.34848
3.5553,-1.40881,-0.35943
3.6365,-1.4335,-0.37116
3.6857,-1.4474,-0.37828
3.7161,-1.45668,-0.38262
3.7878,-1.48336,-0.39211
3.8108,-1.49128,-0.39449
3.911,-1.52379,-0.40264
3.9266,-1.52869,-0.40428
4.0062,-1.55137,-0.41441
4.0361,-1.55835,-0.41884
4.0781,-1.56851,-0.42573
4.1362,-1.58548,-0.43502
4.1499,-1.59018,-0.43695
4.2076,-1.61032,-0.44443
4.2613,-1.62284,-0.45123
4.2904,-1.62999,-0.4552
4.3613,-1.65128,-0.46741
4.3855,-1.65871,-0.47237
4.4573,-1.67886,-0.48671
4.4863,-1.68914,-0.49165
4.5072,-1.69699,-0.49474
4.5759,-1.71915,-0.50328
4.6114,-1.73049,-0.50785
4.6617,-1.74585,-0.51641
4.7115,-1.75873,-0.52403
4.7288,-1.764,-0.5261
4.8617,-1.80661,-0.54027
4.8958,-1.81689,-0.54544
4.9617,-1.83316,-0.55645
4.9957,-1.84109,-0.56053
5.0956,-1.87333,-0.57089
5.1119,-1.87889,-0.57269
5.1705,-1.8975,-0.58096
5.2119,-1.91002,-0.58886
5.2703,-1.92974,-0.60039
5.3201,-1.95389,-0.60998
5.3369,-1.95909,-0.6131
5.4201,-1.97809,-0.62687
5.437,-1.98146,-0.62928
5.52,-2.0023,-0.64196
5.537,-2.0097,-0.64546
5.5948,-2.0345,-0.6602
5.637,-2.0418,-0.66966
5.6949,-2.05068,-0.67818
5.7621,-2.07963,-0.68587
5.7696,-2.08289,-0.68678
5.8621,-2.11286,-0.70205
5.8695,-2.11512,-0.70372
5.9444,-2.1393,-0.72216
5.9621,-2.14387,-0.72626
6.0443,-2.16351,-0.74283
6.0871,-2.17631,-0.75049
6.1192,-2.18768,-0.75596
6.1871,-2.21065,-0.76667
6.219,-2.21992,-0.77149
6.2872,-2.23606,-0.78285
6.319,-2.24412,-0.78889
6.4001,-2.27182,-0.80481
6.4122,-2.2757,-0.80709
6.4594,-2.28845,-0.81537
6.5122,-2.30365,-0.82326
6.539,-2.31113,-0.82679
6.6123,-2.33049,-0.83944
6.6233,-2.33381,-0.84164
6.6919,-2.35748,-0.85575
6.7747,-2.37966,-0.87267
6.8123,-2.39162,-0.87983
6.9123,-2.42721,-0.89601
6.9182,-2.42951,-0.89736
6.993,-2.46171,-0.91703
7.0622,-2.48426,-0.93633
7.0928,-2.49395,-0.94462
7.1621,-2.51666,-0.96054
7.1677,-2.51812,-0.96157
7.2622,-2.54075,-0.97671
7.2676,-2.54233,-0.97751
