############################
### DOCUMENT
# [1] D. SIEGFRIED and P. WILBUR, “An investigation of mercury hollow cathode phenomena,” 13th Int. Electr. Propuls. Conf., 1978.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Ionization fraction profiles in spot mode 
### DATA
# d,log10(alpha at Tgas = 0.1 eV), log10(alpha at Tgas = Te)
############################
d,alpha_01eV,alpha_Te
0.0431,0.00858,-0.03191
0.0677,0.00858,-0.03208
0.1703,0.00841,-0.03242
0.1949,0.00828,-0.03225
0.2976,0.00824,-0.03168
0.3222,0.00859,-0.03242
0.3993,0.00811,-0.03763
0.4492,0.00182,-0.04071
0.4755,-0.00012,-0.04143
0.5764,0.00011,-0.04088
0.6027,-0.00029,-0.04082
0.7037,-0.00851,-0.04104
0.7043,-0.00855,-0.04104
0.8309,-0.00872,-0.04121
0.8316,-0.00871,-0.04124
0.9579,-0.00888,-0.0495
0.9588,-0.00888,-0.04953
1.0852,-0.00973,-0.04967
1.1878,-0.00918,-0.05733
1.2122,-0.00847,-0.05796
1.2897,-0.00119,-0.05122
1.3142,0.00117,-0.04997
1.4171,0.00676,-0.05659
1.4412,0.00714,-0.05827
1.5443,0.00659,-0.05904
1.5684,0.00675,-0.05843
1.6461,0.00646,-0.05737
1.6957,0.00363,-0.0586
1.7732,-0.00183,-0.06395
1.8227,-0.00462,-0.0669
1.9002,-0.01013,-0.06686
1.9499,-0.01596,-0.06706
2.0271,-0.02654,-0.06976
2.1286,-0.04293,-0.07487
2.1295,-0.04317,-0.07492
2.2233,-0.07656,-0.07882
2.2328,-0.0798,-0.07912
2.307,-0.10257,-0.08165
2.3559,-0.12447,-0.08381
2.3567,-0.12488,-0.08385
2.4315,-0.15707,-0.08831
2.4838,-0.17451,-0.09214
2.5073,-0.18154,-0.09404
2.5854,-0.20607,-0.1004
2.6084,-0.21417,-0.10209
2.7094,-0.25493,-0.10852
2.7124,-0.25624,-0.10869
2.785,-0.28753,-0.11284
2.8395,-0.31134,-0.11699
2.8607,-0.32013,-0.11906
2.9618,-0.35276,-0.12539
2.9665,-0.35369,-0.12528
3.0632,-0.36914,-0.11783
3.0939,-0.38047,-0.11732
3.1389,-0.40174,-0.12344
3.1954,-0.41988,-0.1337
3.2147,-0.42621,-0.13498
3.2903,-0.45881,-0.13418
3.3226,-0.47028,-0.13387
3.3914,-0.49144,-0.13702
3.4496,-0.50959,-0.14216
3.4673,-0.51592,-0.14378
3.5429,-0.54852,-0.14984
3.5512,-0.55262,-0.15042
3.6186,-0.58111,-0.15485
3.6783,-0.59533,-0.15872
3.7198,-0.60562,-0.16149
3.7955,-0.63822,-0.16641
3.8053,-0.64329,-0.16701
3.8711,-0.67082,-0.17084
3.9324,-0.6906,-0.1753
3.9975,-0.71161,-0.18276
4.0593,-0.73718,-0.19172
4.0732,-0.74421,-0.1938
4.1488,-0.7768,-0.20497
4.2369,-0.79821,-0.21632
4.2501,-0.80131,-0.21768
4.3259,-0.82579,-0.22283
4.3639,-0.84178,-0.22462
4.4016,-0.85838,-0.22694
4.4772,-0.89098,-0.23209
4.491,-0.89634,-0.23291
4.553,-0.91546,-0.23611
4.618,-0.93038,-0.2412
4.6543,-0.93996,-0.24671
4.7195,-0.96686,-0.25758
4.73,-0.97256,-0.25878
4.8056,-1.00516,-0.26404
4.8465,-1.01346,-0.26588
4.9323,-1.0297,-0.27065
4.9736,-1.04464,-0.27417
5.008,-1.0623,-0.2779
5.0836,-1.0949,-0.28803
5.1005,-1.10349,-0.29059
5.1593,-1.1275,-0.30016
5.2019,-1.13338,-0.30697
5.2607,-1.14388,-0.31534
5.3288,-1.18203,-0.32339
5.3456,-1.19172,-0.32496
5.4304,-1.22298,-0.33164
5.4371,-1.22536,-0.33232
5.5128,-1.25796,-0.34191
5.5573,-1.27301,-0.34806
5.5886,-1.28243,-0.35235
5.6897,-1.31506,-0.36539
5.7603,-1.33724,-0.3727
5.8161,-1.35585,-0.37515
5.8619,-1.37455,-0.38096
5.8917,-1.38845,-0.38859
5.9674,-1.42105,-0.41011
6.0138,-1.44097,-0.42179
6.043,-1.45365,-0.42744
6.1189,-1.47812,-0.43617
6.1406,-1.48111,-0.4382
6.2203,-1.4945,-0.45029
6.2421,-1.50374,-0.45458
6.2958,-1.53522,-0.46499
6.3435,-1.55137,-0.47097
6.3716,-1.5597,-0.4727
6.4473,-1.5923,-0.4767
6.4706,-1.60054,-0.47926
6.5484,-1.62493,-0.49743
6.5718,-1.63315,-0.50377
6.6242,-1.6494,-0.51376
6.6733,-1.65825,-0.52015
6.7254,-1.67391,-0.52653
6.8002,-1.71129,-0.53657
6.8513,-1.73907,-0.54505
6.9016,-1.75742,-0.55295
6.9271,-1.76355,-0.5562
7.0282,-1.79618,-0.56933
7.0285,-1.79627,-0.56937
7.1039,-1.82878,-0.58623
7.1297,-1.83947,-0.59387
7.2301,-1.87769,-0.61827
7.231,-1.87801,-0.61838
7.3059,-1.90216,-0.62295
7.3581,-1.92428,-0.62667
7.3816,-1.93476,-0.63038
7.4572,-1.96736,-0.65058
7.4593,-1.96831,-0.65118
7.5581,-2.00812,-0.67513
7.5606,-2.00879,-0.67569
7.6594,-2.03262,-0.69956
7.6619,-2.03353,-0.7002
7.7631,-2.07807,-0.7247
7.8107,-2.09782,-0.73338
7.912,-2.12233,-0.74884
7.9153,-2.12326,-0.74928
7.9876,-2.15493,-0.75905
8.0167,-2.16765,-0.76566
8.0633,-2.18752,-0.78118
8.1178,-2.21277,-0.79829
8.1389,-2.22012,-0.8027
8.2193,-2.23861,-0.81468
8.2402,-2.24463,-0.81944
8.3205,-2.2753,-0.83918
8.3664,-2.29354,-0.84568
8.4474,-2.31961,-0.8556
8.4675,-2.32618,-0.85927
8.5432,-2.35877,-0.87863
8.5487,-2.36138,-0.88011
8.6188,-2.39137,-0.89712
8.65,-2.40347,-0.90462
8.745,-2.44029,-0.9279
8.7512,-2.44278,-0.92912
8.8207,-2.47288,-0.94013
8.8527,-2.48668,-0.94551
