############################
### DOCUMENT
# [1] D. SIEGFRIED and P. WILBUR, “An investigation of mercury hollow cathode phenomena,” 13th Int. Electr. Propuls. Conf., 1978.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Electron density in plume mode 
### DATA
# d (mm),log10(ne at Tgas = 0.1 eV), log10(ne at Tgas = Te)
### NOTES
# ne in 1/cm3
############################
d,ne_01eV,ne_Te
0.0374,15.09378,14.80185
0.0397,15.09362,14.80179
0.2423,15.08112,14.79657
0.2869,15.07909,14.79554
0.5385,15.06858,14.79036
0.5987,15.06563,14.7892
0.7878,15.04986,14.78552
0.9105,15.03323,14.78286
1.037,15.0125,14.77961
1.1599,14.98791,14.77655
1.1615,14.98762,14.77651
1.3485,14.96271,14.77279
1.4717,14.95114,14.77021
1.5354,14.94401,14.76871
1.66,14.91913,14.7658
1.7835,14.89869,14.76388
1.8468,14.88801,14.76374
1.9714,14.86313,14.76422
2.033,14.85487,14.76377
2.1583,14.83822,14.75994
2.314,14.80401,14.75272
2.3447,14.79467,14.75123
2.4229,14.77137,14.74746
2.5629,14.73872,14.74066
2.6718,14.70764,14.73523
2.8435,14.66339,14.72619
2.9053,14.65167,14.72266
2.9366,14.66873,14.7208
3.0922,14.62676,14.7111
3.1552,14.60952,14.70744
3.2167,14.59567,14.70468
3.3412,14.57078,14.69872
3.4046,14.55649,14.69492
3.528,14.52725,14.6867
3.6525,14.49616,14.67778
3.777,14.46507,14.66824
3.9016,14.44019,14.65762
3.9033,14.43961,14.65746
4.0259,14.38426,14.64159
4.0902,14.36359,14.63255
4.1504,14.35317,14.62609
4.3373,14.32826,14.60798
4.4618,14.30338,14.5954
4.4641,14.30291,14.59515
4.651,14.26468,14.57024
4.7109,14.25051,14.56469
4.8976,14.19766,14.55169
4.9003,14.19707,14.55152
5.1467,14.1479,14.53308
5.1497,14.14703,14.53279
5.3366,14.0729,14.50788
5.3488,14.06866,14.50569
5.4611,14.0355,14.483
5.6481,13.98733,14.45809
5.6755,13.98006,14.45602
5.8974,13.91605,14.43936
5.9556,13.89924,14.42741
6.0219,13.88235,14.40827
6.0801,13.86815,14.39856
6.1422,13.84329,14.39094
6.2088,13.82735,14.38336
6.2667,13.8122,14.37615
6.3957,13.77516,14.35845
6.5779,13.71895,14.33417
6.5826,13.71735,14.33354
6.64,13.6941,14.326
6.7645,13.663,14.30932
6.7696,13.66148,14.30863
6.92,13.60862,14.28824
6.9565,13.59665,14.28372
7.06,13.56511,14.27136
7.1434,13.53706,14.25881
7.1844,13.52315,14.25212
7.34,13.47808,14.2259
7.5171,13.43062,14.19658
7.5734,13.41435,14.18871
7.6356,13.38949,14.18153
7.704,13.37234,14.17167
7.7601,13.3584,14.16269
7.8222,13.32734,14.15238
7.9465,13.26521,14.13118
8.071,13.24032,14.10937
8.1331,13.20926,14.09825
8.14,13.20651,14.09699
8.2576,13.17817,14.07356
8.2646,13.17701,14.07211
8.3822,13.15328,14.0489
8.3891,13.15032,14.04723
8.4442,13.1098,14.03205
8.5064,13.08494,14.01743
8.5136,13.08305,14.01614
8.6309,13.05385,14.00047
8.7006,13.03688,13.99123
8.7554,13.02276,13.98049
8.8175,12.99169,13.96757
8.8251,12.98718,13.96634
8.9418,12.96684,13.95148
8.942,12.96681,13.95145
9.012,12.93209,13.94143
9.0663,12.89847,13.92968
9.1284,12.86741,13.9124
9.1365,12.86526,13.91034
9.2529,12.83632,13.88723
9.2611,12.83436,13.88546
9.3151,12.81146,13.87207
9.3856,12.78023,13.85437
9.5016,12.74309,13.83153
9.502,12.74309,13.83145
9.5101,12.76821,13.82948
9.5638,12.71203,13.81438
9.6346,12.68889,13.79839
9.6883,12.68094,13.79299
9.7504,12.64987,13.78647
9.8126,12.62501,13.7755
9.8215,12.62298,13.77348
9.9371,12.59392,13.74092
9.9991,12.55044,13.72109
10.0612,12.51937,13.70155
10.0704,12.51674,13.69888
10.1857,12.48828,13.67627
10.195,12.48591,13.674
10.3102,12.45719,13.64064
10.3724,12.43233,13.62142
10.4342,12.35781,13.60234
10.4439,12.36014,13.5994
10.4969,12.40124,13.58412
10.5587,12.32672,13.57012
10.5684,12.31581,13.56831
10.6209,12.30186,13.55834
10.6929,12.28588,13.54343
10.7454,12.27077,13.53104
10.8075,12.23971,13.51498
10.8174,12.23422,13.51234
10.9318,12.18378,13.48344
10.9419,12.18055,13.48124
11.0563,12.15269,13.45866
11.0664,12.14968,13.45636
11.1185,12.12784,13.44304
11.1806,12.09677,13.42749
11.1909,12.08988,13.42527
11.3047,12.02222,13.40352
11.3051,12.02221,13.40343
11.3155,12.04714,13.40039
11.3669,11.99116,13.37322
11.3776,11.98503,13.36932
11.4914,11.96007,13.34185
11.5021,11.95764,13.33823
11.5535,11.929,13.30967
11.5642,11.91843,13.30716
11.6157,11.90414,13.29954
11.7512,11.89113,13.28226
11.8026,11.87923,13.2567
11.8133,11.87475,13.25119
11.8644,11.81092,13.23834
11.9266,11.77985,13.22807
11.9378,11.77707,13.22631
12.0511,11.74876,13.19907
12.0623,11.74584,13.19521
12.1132,11.7177,13.17683
12.175,11.64938,13.15368
12.2489,11.62893,13.12685
12.2995,11.61829,13.11347
12.3616,11.58723,13.09888
12.3734,11.58558,13.09576
12.4861,11.55614,13.06365
12.6101,11.53117,13.02618
12.6107,11.53125,13.026
12.6845,11.47715,13.00251
12.7347,11.43187,12.9842
12.7467,11.42199,12.97144
12.7968,11.40081,12.9439
12.8088,11.39892,12.94038
12.8589,11.36974,12.92986
12.9207,11.33863,12.91849
12.921,11.33868,12.91843
12.9333,11.32288,12.9155
12.9829,11.27657,12.89344
12.9955,11.27056,12.88443
13.0576,11.25461,12.85336
13.1074,11.24548,12.8389
13.1696,11.21442,12.82476
13.1821,11.21166,12.82227
13.2941,11.18953,12.80079
13.3066,11.18287,12.79739
13.356,11.12743,12.77396
13.3688,11.11637,12.76632
13.4181,11.09636,12.74208
13.4309,11.09354,12.73526
13.4802,11.0653,12.70846
13.493,11.05078,12.70419
13.542,10.99077,12.69175
13.5424,10.99073,12.69167
13.6042,10.96592,12.67698
13.6175,10.95173,12.6731
13.6663,10.93485,12.65176
13.6797,10.93404,12.64824
13.7908,10.90376,12.62358
13.8042,10.89167,12.61715
13.8525,10.87269,12.58185
13.853,10.87269,12.58149
13.9146,10.78576,12.54113
13.9283,10.77124,12.5364
13.9768,10.7609,12.5288
14.1013,10.72981,12.52086
14.1153,10.72273,12.5177
14.2254,10.64905,12.44896
14.2394,10.6402,12.43694
14.2876,10.61799,12.41061
14.3015,10.6113,12.40588
14.3497,10.58692,12.38264
14.3636,10.58092,12.37481
14.4118,10.55586,12.34964
14.4258,10.54219,12.34375
14.4737,10.49841,12.32596
14.5657,10.44362,12.29713
14.5824,10.43007,12.29235
14.5975,10.36954,12.28807
14.737,10.2624,12.249
14.7373,10.26225,12.24891
14.768,10.32532,12.23962
14.8612,10.25761,12.20078
