############################
### DOCUMENT
# [1] D. SIEGFRIED and P. WILBUR, “An investigation of mercury hollow cathode phenomena,” 13th Int. Electr. Propuls. Conf., 1978.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Electron density in spot mode 
### DATA
# d,log10(ne at Tgas = 0.1 eV), log10(ne at Tgas = Te)
### NOTES
# ne in 1/cm3
############################
d,ne_01eV,ne_Te
0.0249,15.0323,14.78551
0.2233,15.03734,14.78465
0.3422,15.04048,14.78545
0.4773,15.04358,14.78806
0.6597,15.04704,14.79168
0.7948,15.04981,14.79229
0.977,15.0541,14.79161
1.1123,15.05604,14.79146
1.2943,15.05587,14.79154
1.4296,15.05598,14.79136
1.6116,15.06039,14.79148
1.6836,15.06222,14.79183
1.9289,15.06329,14.79141
2.0009,15.06215,14.78941
2.1825,15.05723,14.78506
2.318,15.05579,14.78757
2.5,15.05994,14.79129
2.6355,15.06202,14.79
2.8171,15.04986,14.78493
2.8887,15.04308,14.78314
3.1342,15.02315,14.77856
3.2685,15.01151,14.77597
3.3878,14.99681,14.77221
3.4581,14.98629,14.76936
3.6476,14.96106,14.7615
3.7047,14.94626,14.75955
3.7735,14.92955,14.75789
3.9633,14.91062,14.75456
4.0218,14.89823,14.75319
4.1521,14.86021,14.74957
4.278,14.8287,14.74556
4.4039,14.79719,14.74111
4.53,14.77197,14.7361
4.6081,14.75411,14.7326
4.6718,14.73889,14.72938
4.7977,14.70738,14.72157
4.8919,14.67745,14.71438
5.0513,14.64859,14.70103
5.097,14.63962,14.69718
5.2229,14.60811,14.68667
5.3962,14.56872,14.67257
5.6685,14.49226,14.6521
5.9219,14.4209,14.63945
6.1667,14.35447,14.61507
6.175,14.35236,14.61421
6.3647,14.31435,14.59528
6.3876,14.31507,14.59265
6.4977,14.28514,14.57833
6.5543,14.26743,14.57005
6.6702,14.22371,14.55294
6.7439,14.18577,14.54483
6.7952,14.19852,14.54065
6.7964,14.19849,14.54056
6.9847,14.13549,14.527
6.9971,14.13148,14.52588
7.1106,14.10398,14.51207
7.1733,14.07878,14.50263
7.1867,14.07468,14.50066
7.2992,14.04727,14.48548
7.3763,14.02673,14.47543
7.5193,13.98268,14.456
7.5658,13.96283,14.4502
7.6131,13.94016,14.44491
7.739,13.90865,14.43276
7.7556,13.9044,14.43127
7.865,13.87714,14.41959
7.9452,13.86424,14.40605
7.9911,13.85192,14.39644
8.0529,13.80154,14.38244
8.1154,13.77004,14.36785
8.1778,13.73854,14.35355
8.1972,13.72797,14.34932
8.2405,13.71334,14.34064
8.3664,13.68183,14.32528
8.3868,13.67233,14.3241
8.4915,13.62514,14.3192
8.556,13.65661,14.31482
8.6177,13.59992,14.30829
8.64,13.58188,14.30515
8.6801,13.56843,14.29835
8.806,13.53692,14.27
8.9236,13.51335,14.24055
8.9322,13.5117,14.23847
9.0581,13.48019,14.20986
9.1203,13.4424,14.19666
9.2072,13.42013,14.1791
9.2462,13.41089,14.17154
9.3089,13.38569,14.15937
9.3333,13.3786,14.15389
9.4348,13.35418,14.12808
9.4592,13.34791,14.12238
9.4973,13.32268,14.11444
9.5587,13.2597,14.10266
9.5853,13.26081,14.09716
9.6226,13.27228,14.08849
9.6849,13.23449,14.07254
9.7112,13.22556,14.06565
9.8108,13.20298,14.04437
9.8373,13.19202,14.04044
9.8732,13.17148,14.0358
9.9992,13.13997,14.01974
10.0269,13.13594,14.01521
10.1253,13.11476,13.99107
10.1528,13.09494,13.9837
10.1869,13.05807,13.97617
10.2494,13.02658,13.96432
10.279,13.01283,13.95849
10.312,13.00138,13.9511
10.4049,12.97866,13.92698
10.438,12.96987,13.91809
10.5004,12.93837,13.90214
10.5308,12.92313,13.89547
10.6257,12.88797,13.87775
10.6569,12.88067,13.87025
10.7519,12.86276,13.84564
10.8143,12.83126,13.82905
10.877,12.80606,13.81246
10.9394,12.77456,13.79629
10.9716,12.76773,13.78833
11.0654,12.74305,13.77009
11.0977,12.71693,13.76312
11.1268,12.68007,13.75513
11.1895,12.65487,13.73633
11.2519,12.62338,13.71697
11.2863,12.6022,13.70641
11.3144,12.59188,13.69805
11.4122,12.57066,13.6749
11.4403,12.56037,13.66998
11.5383,12.51599,13.64968
11.6008,12.49007,13.61819
11.6283,12.48477,13.6092
11.6301,12.48497,13.6087
11.6907,12.45327,13.5941
11.7267,12.43103,13.58668
11.7534,12.42807,13.58143
11.8528,12.40425,13.56146
11.8793,12.39656,13.55535
11.9418,12.36507,13.53966
11.9787,12.34049,13.52995
12.0661,12.28318,13.50748
12.1047,12.26033,13.49844
12.1286,12.25168,13.49331
12.2308,12.22384,13.47323
12.2545,12.22017,13.46844
12.3567,12.2063,13.44172
12.3806,12.19496,13.42889
12.4192,12.16848,13.41022
12.5047,12.10678,13.39377
12.5065,12.10688,13.39344
12.5453,12.10445,13.38501
12.5672,12.07528,13.3765
12.6077,12.04857,13.35351
12.6296,12.04379,13.34642
12.6923,12.01859,13.33145
12.7336,12.00783,13.322
12.8182,11.98708,13.30021
12.8596,11.96747,13.29049
12.8807,11.95558,13.28681
12.9857,11.91604,13.26528
13.0061,11.9099,13.2597
13.1317,11.86895,13.22346
13.1936,11.81699,13.20644
13.2373,11.80089,13.19596
13.256,11.78549,13.19241
13.3167,11.75387,13.18505
13.3185,11.75399,13.18477
13.3634,11.72872,13.17075
13.4426,11.66581,13.12846
13.5051,11.63432,13.09328
13.5506,11.61541,13.06996
13.5677,11.60912,13.06249
13.6765,11.58081,13.03845
13.6936,11.57761,13.03587
13.8026,11.55784,13.01324
13.8197,11.55239,13.0095
13.9132,11.49728,12.98693
13.9286,11.48786,12.98173
13.991,11.4544,12.95023
14.0224,11.43901,12.94141
14.1169,11.39027,12.91872
14.1316,11.38074,12.9138
14.1775,11.32878,12.89415
14.1796,11.32529,12.89352
14.3055,11.2359,12.86201
14.368,11.21425,12.83051
14.6034,11.15314,12.75176
14.8547,11.10128,12.67142
