d,alpha
14.9,-5.8091
14.593,-5.6263
14.311,-5.4601
14.081,-5.3271
13.825,-5.1858
13.466,-4.9946
13.107,-4.7868
12.697,-4.5955
12.312,-4.396
12.03,-4.2629
11.774,-4.1382
11.491,-4.0465
11.209,-3.9135
10.9,-3.8052
10.644,-3.6639
10.45,-3.5848
10.157,-3.475
9.9023,-3.3926
9.5957,-3.2955
9.3545,-3.211
9.0936,-3.1265
8.8914,-3.061
8.6045,-2.9575
8.3566,-2.8836
8.0959,-2.7885
7.9328,-2.7378
7.5413,-2.6153
7.2545,-2.5118
6.9935,-2.4336
6.8174,-2.3787
6.4911,-2.2815
6.3019,-2.2223
5.9757,-2.123
5.7756,-2.0633
5.4973,-1.976
5.3235,-1.914
4.9665,-1.8209
4.7926,-1.7646
4.5055,-1.6745
4.314,-1.6265
4.0268,-1.542
3.8444,-1.4744
3.592,-1.3983
3.427,-1.3364
3.1487,-1.2435
2.8878,-1.159
2.5836,-1.0492
2.3488,-0.9731
2.0881,-0.87459
1.9144,-0.80985
1.6189,-0.70006
1.5148,-0.65225
1.2631,-0.54254
1.098,-0.48062
0.92463,-0.39065
0.82046,-0.34564
0.59497,-0.23598
0.35176,-0.1403
0.10863,-0.039009
