d,alpha
0.21716,-0.008596
0.70629,-0.008596
1.1681,-0.017192
1.6844,-0.017192
1.8203,-0.017192
2.0916,-0.051576
2.2811,-0.10315
2.4435,-0.14613
2.7407,-0.27507
2.93,-0.34384
3.2004,-0.4384
3.6601,-0.61032
4.1198,-0.77364
4.5526,-0.91977
5.0126,-1.0659
5.3909,-1.2206
5.9862,-1.4097
6.5271,-1.5989
7.0409,-1.7794
7.4463,-1.9427
7.9872,-2.1318
8.4197,-2.3037
9.0689,-2.5186
9.5011,-2.7077
9.9611,-2.8539
10.475,-3.043
10.907,-3.2493
11.474,-3.4814
11.907,-3.6447
12.339,-3.851
12.825,-4.0401
13.203,-4.2292
13.744,-4.4097
14.122,-4.6418
14.473,-4.8052
14.851,-4.9857
