############################
### DOCUMENT
# [1] D. E. Siegfried, “A Phenomenological Model for Orificed Hollow Cathodes,” Colorado State University, 1982.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Internal Pressure - Flow Rate Correlation 
### DATA
# Id (A), do (mm), corr (Torr - mm^2 / mA), corr_low, corr_high
### Notes
# Propellant is mercury
# The boundaries for the mass flow rates are 90 mA and 450 mA
############################
Id,do,corr,corr_low,corr_high
0.0,0.51,0.0101366,0.008482,0.0115865
0.30,0.51,0.0150234,,
0.50,0.51,0.017746,,
0.70,0.51,0.019584,,
1.00,0.51,0.0212269,,
1.30,0.51,0.0262451,0.0243775,0.0287598
2.30,0.51,0.0355983,0.0325921,0.0388995
3.30,0.51,0.0421341,0.0398652,0.0448619
0.0,0.76,0.0116282,0.0100595,0.0139258
0.30,0.76,0.0193319,,
0.50,0.76,0.0200886,,
0.70,0.76,0.0218611,,
1.00,0.76,0.0247655,,
1.30,0.76,0.0212152,0.0199291,0.0231647
2.30,0.76,0.029569,0.0272345,0.032092
3.30,0.76,0.0362851,0.0344175,0.0392995
0.0,1.00,0.0138719,0.0115865,0.0160631
1.28,1.00,0.0235902,0.0214769,0.0269651
2.34,1.00,0.0303563,0.0280668,0.0332233
3.35,1.00,0.0372525,0.0333944,0.0407911
