############################
### DOCUMENT
#  [1] P. J. Wilbur, “Advanced Ion Thruster Research,”  NASA CR-168340, 1984.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Effect of propellant and insert surface work function on plasma density profile
### DATA
# x(mm), ne (m^-3 x10^-19), Id (A), P (Torr), do (mm), dc (mm)
### NOTES
# The plot is for a work function of 2.5 eV for argon
############################
x,ne,Id,P,do,dc
0.0386,4.0425,2.3,4.0,0.76,4.0
0.1318,4.0732,2.3,4.0,0.76,4.0
0.225,4.1184,2.3,4.0,0.76,4.0
0.3182,4.1914,2.3,4.0,0.76,4.0
0.4115,4.2901,2.3,4.0,0.76,4.0
0.5047,4.407,2.3,4.0,0.76,4.0
0.5979,4.5295,2.3,4.0,0.76,4.0
0.6911,4.6548,2.3,4.0,0.76,4.0
0.7843,4.7889,2.3,4.0,0.76,4.0
0.8775,4.936,2.3,4.0,0.76,4.0
0.9708,5.0969,2.3,4.0,0.76,4.0
1.064,5.2621,2.3,4.0,0.76,4.0
1.1572,5.4232,2.3,4.0,0.76,4.0
1.2504,5.5821,2.3,4.0,0.76,4.0
1.3436,5.7636,2.3,4.0,0.76,4.0
1.4368,5.9535,2.3,4.0,0.76,4.0
1.5301,6.1399,2.3,4.0,0.76,4.0
1.6233,6.3279,2.3,4.0,0.76,4.0
1.7165,6.5095,2.3,4.0,0.76,4.0
1.8097,6.7064,2.3,4.0,0.76,4.0
1.9029,6.9233,2.3,4.0,0.76,4.0
1.9962,7.094,2.3,4.0,0.76,4.0
2.0894,7.2513,2.3,4.0,0.76,4.0
2.1826,7.4165,2.3,4.0,0.76,4.0
2.2758,7.5618,2.3,4.0,0.76,4.0
2.369,7.7004,2.3,4.0,0.76,4.0
2.4622,7.8436,2.3,4.0,0.76,4.0
2.5555,7.9651,2.3,4.0,0.76,4.0
2.6487,8.0639,2.3,4.0,0.76,4.0
2.7419,8.1497,2.3,4.0,0.76,4.0
2.8351,8.2319,2.3,4.0,0.76,4.0
2.9283,8.3173,2.3,4.0,0.76,4.0
3.0215,8.3967,2.3,4.0,0.76,4.0
3.1148,8.4626,2.3,4.0,0.76,4.0
3.208,8.508,2.3,4.0,0.76,4.0
3.3012,8.531,2.3,4.0,0.76,4.0
3.3944,8.5557,2.3,4.0,0.76,4.0
3.4876,8.5688,2.3,4.0,0.76,4.0
3.5809,8.5583,2.3,4.0,0.76,4.0
3.6741,8.532,2.3,4.0,0.76,4.0
3.7673,8.4991,2.3,4.0,0.76,4.0
3.8605,8.4439,2.3,4.0,0.76,4.0
3.9537,8.3616,2.3,4.0,0.76,4.0
4.0469,8.2773,2.3,4.0,0.76,4.0
4.1402,8.1974,2.3,4.0,0.76,4.0
