x,Curve1 - argon 2.5 eV
0.0386,4.0425
0.225,4.1184
0.3926,4.2684
0.5416,4.4555
0.7092,4.68
0.8582,4.9042
0.9885,5.1283
1.1374,5.3897
1.2678,5.6139
1.398,5.8751
1.5283,6.1364
1.6586,6.3977
1.7889,6.6589
1.9192,6.9574
2.0495,7.1815
2.1984,7.4429
2.3474,7.6672
2.4963,7.8914
2.664,8.0787
2.8317,8.2288
2.9993,8.3789
3.167,8.4918
3.2975,8.53
3.4839,8.5688
3.6704,8.5331
3.8382,8.4602
4.0061,8.3129
4.174,8.1657
4.342,7.9812
4.5099,7.7968
4.6592,7.6122
4.8086,7.3904
4.9579,7.1687
5.0326,7.0206
5.1633,6.7615
5.2941,6.5024
5.4247,6.2805
5.5555,6.0214
5.7048,5.7625
5.8356,5.5034
5.9849,5.2444
6.1156,5.0225
6.265,4.7636
6.3956,4.5788
6.545,4.3199
6.6943,4.0981
6.8437,3.8764
6.993,3.6918
7.1423,3.47
7.2916,3.2854
7.4595,3.101
7.7394,2.8431
7.9073,2.6958
8.0753,2.5486
8.2618,2.4386
8.4297,2.2914
8.5976,2.1441
8.7841,2.0341
8.952,1.924
9.1199,1.8139
9.3064,1.704
9.4743,1.5939
9.6608,1.4839
9.8287,1.411
9.9966,1.3381

x,Curve2 Xe - 2.5 eV
0.1809,12.2952
0.2365,12.6674
0.2735,13.0022
0.3291,13.3744
0.3848,13.7093
0.4217,14.0814
0.4774,14.4535
0.5143,14.8255
0.5514,15.1603
0.607,15.5325
0.644,15.9045
0.6809,16.2765
0.7179,16.6485
0.7549,17.0205
0.8105,17.3555
0.8475,17.7275
0.8845,18.0995
0.9401,18.4345
0.9958,18.8066
1.0514,19.1416
1.107,19.5138
1.1813,19.8489
1.2556,20.1841
1.3486,20.5194
1.4602,20.8177
1.5905,21.0789
1.7395,21.266
1.8513,21.3041
2.0377,21.3429
2.2056,21.2699
2.3735,21.1226
2.5414,20.901
2.6721,20.6791
2.8029,20.42
2.915,20.1236
3.0271,19.8272
3.1206,19.4935
3.2141,19.1597
3.3075,18.8631
3.3824,18.5292
3.4759,18.1955
3.5507,17.8616
3.6256,17.5277
3.7004,17.231
3.7753,16.8971
3.8501,16.5632
3.9436,16.2294
4.0185,15.8955
4.0933,15.5617
4.1682,15.2278
4.2617,14.894
4.3365,14.5601
4.4488,14.0035
4.5237,13.6696
4.6733,13.1133
4.7482,12.7794
4.8417,12.4457
4.9165,12.1118
5.01,11.7781
5.0849,11.4442
5.1784,11.1104
5.2532,10.7765
5.3281,10.4426
5.4216,10.1089
5.4964,9.775
5.5899,9.4413
5.6834,9.1447
5.7582,8.8108
5.8705,8.3657
5.964,8.032
6.0574,7.7354
6.1509,7.4016
6.2258,7.0677
6.3193,6.734
6.4127,6.4374
6.5249,6.1039
6.6183,5.8073
6.7118,5.4735
6.8239,5.1771
6.9174,4.8806
7.0295,4.547
7.123,4.2504
7.2351,3.9168
7.3473,3.6204
7.4594,3.324
7.7396,2.6201
7.8703,2.361
8.0197,2.1393
8.169,1.9175
8.3369,1.733
8.4862,1.5484
8.6542,1.4012
8.8407,1.2912
9.0086,1.144
9.1951,1.034
9.363,0.9239
9.5495,0.8511
9.7174,0.741
9.8853,0.6681

x,Curve3 Xe 1.9 eV
0.0401,24.597
0.1704,24.8583
0.5056,25.3071
0.6733,25.4201
0.8597,25.4959
1.1581,25.4241
1.326,25.2768
1.5876,24.4985
1.6625,24.1646
1.7192,23.1615
1.7568,22.7901
1.7758,22.4186
1.7857,21.7124
1.8236,21.0112
1.8708,20.3007
1.9084,19.9293
1.946,19.558
1.9464,19.0004
1.984,18.6291
2.0216,18.2577
2.0407,17.7746
2.0783,17.4033
2.1158,17.0691
2.1349,16.586
2.1725,16.2146
2.2287,15.8806
2.2665,15.249
2.3041,14.8776
2.3981,13.9864
2.4543,13.6151
2.5483,12.7239
2.6231,12.39
2.7357,11.4617
2.792,11.1276
2.9045,10.3109
2.9793,9.977
3.0542,9.6431
3.1737,8.8821
3.2159,8.5944
3.2931,8.2419
3.4102,7.5646
3.485,7.2307
3.5785,6.8969
3.6535,6.3772
3.7284,6.0433
3.8032,5.7094
3.8969,5.1526
3.9718,4.8187
4.0652,4.485
4.1777,3.7797
4.2712,3.446
4.3647,3.1494
4.5329,2.5561
4.6451,2.2597
4.7758,2.0006
4.9812,1.5563
5.1119,1.3344
5.2799,1.1128
5.5598,0.7806
5.7277,0.6333
5.9143,0.5234

x,Curve4 Hg 1.9 eV
0.6813,15.8676
0.7375,15.4964
0.7938,15.0509
0.8687,14.717
0.9249,14.3457
0.9438,14.0857
1.0186,13.7518
1.0749,13.2691
1.1312,12.935
1.2062,12.4153
1.281,12.0814
1.3561,11.5245
1.4123,11.1904
1.4791,10.659
1.5446,10.3599
1.6371,9.8914
1.7119,9.5575
1.8056,9.0007
1.8805,8.6669
1.9741,8.1101
2.049,7.7762
2.1987,7.1084
2.2736,6.7745
2.3297,6.5148
2.4046,6.1809
2.498,5.8472
2.5356,5.5873
2.629,5.2907
2.7413,4.8085
2.8347,4.5119
2.9282,4.1781
3.003,3.9186
3.1151,3.6222
3.2273,3.2142
3.3394,2.9178
3.5076,2.4732
3.6383,2.2513
3.825,1.8812
3.9744,1.6594
4.1611,1.3636
4.329,1.1792
4.5343,0.9207
4.7022,0.8106
4.9634,0.5526
5.1313,0.4797
