############################
### DOCUMENT
#  [1] P. J. Wilbur, “Advanced Ion Thruster Research,”  NASA CR-168340, 1984.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Effect of propellant and insert surface work function on plasma density profile
### DATA
# x(mm), ne (m^-3 x10^-19), phi_wf (eV), Id (A), P (Torr), do (mm), dc (mm)
### NOTES
# The plot is for a work function of 1.9 eV  and 2.5 eV for xenon 
# p.84
############################
x,ne,phi_wf,Id,P,do,dc
0.0386,24.5926,1.9,2.3,4.0,0.76,4.0
0.1318,24.7958,1.9,2.3,4.0,0.76,4.0
0.225,24.9406,1.9,2.3,4.0,0.76,4.0
0.3182,25.0723,1.9,2.3,4.0,0.76,4.0
0.4115,25.1952,1.9,2.3,4.0,0.76,4.0
0.5047,25.3061,1.9,2.3,4.0,0.76,4.0
0.5979,25.3869,1.9,2.3,4.0,0.76,4.0
0.6911,25.4309,1.9,2.3,4.0,0.76,4.0
0.7843,25.4841,1.9,2.3,4.0,0.76,4.0
0.8775,25.4948,1.9,2.3,4.0,0.76,4.0
0.9708,25.4751,1.9,2.3,4.0,0.76,4.0
1.064,25.4467,1.9,2.3,4.0,0.76,4.0
1.1572,25.4242,1.9,2.3,4.0,0.76,4.0
1.2504,25.4123,1.9,2.3,4.0,0.76,4.0
1.3436,25.2303,1.9,2.3,4.0,0.76,4.0
1.4368,24.957,1.9,2.3,4.0,0.76,4.0
1.5301,24.6697,1.9,2.3,4.0,0.76,4.0
1.6233,24.4052,1.9,2.3,4.0,0.76,4.0
1.7165,23.2031,1.9,2.3,4.0,0.76,4.0
1.8097,21.2243,1.9,2.3,4.0,0.76,4.0
1.9029,19.9681,1.9,2.3,4.0,0.76,4.0
1.9962,18.5406,1.9,2.3,4.0,0.76,4.0
2.0894,17.3245,1.9,2.3,4.0,0.76,4.0
2.1826,16.1652,1.9,2.3,4.0,0.76,4.0
2.2758,15.1249,1.9,2.3,4.0,0.76,4.0
2.369,14.2469,1.9,2.3,4.0,0.76,4.0
2.4622,13.5418,1.9,2.3,4.0,0.76,4.0
2.5555,12.6762,1.9,2.3,4.0,0.76,4.0
2.6487,12.2039,1.9,2.3,4.0,0.76,4.0
2.7419,11.4139,1.9,2.3,4.0,0.76,4.0
2.8351,10.8133,1.9,2.3,4.0,0.76,4.0
2.9283,10.1701,1.9,2.3,4.0,0.76,4.0
