x,Curve1
0.35155,1059.71
0.37841,1060.262
0.40526,1060.813
0.42676,1061.363
0.45361,1061.915
0.48047,1062.467
0.50731,1062.478
0.6416,1065.237
0.66846,1065.788
0.6953,1065.799
0.72215,1066.351
0.74364,1066.901
0.7705,1067.453
0.79734,1067.463
0.82422,1068.556
0.85106,1068.567
0.89003,1070.07
0.94773,1070.229
0.97459,1070.781
1.00145,1071.333
1.02829,1071.343
1.04978,1071.893
1.07664,1072.445
1.10349,1072.997
1.13035,1073.548
1.15719,1073.559
1.19079,1075.06
1.2324,1075.213
1.25923,1075.223
1.28609,1075.775
1.31295,1076.327
1.33444,1076.877
1.3613,1077.429
1.38816,1077.98
1.41499,1077.991
1.49424,1080.052
1.56002,1080.755
1.58686,1080.765
1.61374,1081.858
1.64057,1081.869
1.66204,1081.878
1.6889,1082.43
1.71576,1082.981
1.74262,1083.533
1.80038,1085.179
1.86079,1085.745
1.88762,1085.756
1.91448,1086.307
1.93597,1086.857
1.96281,1086.868
1.98967,1087.42
2.0165,1087.431
2.038,1087.98
2.08234,1089.621
2.11322,1090.039
2.1669,1090.196
2.19374,1090.207
2.22059,1090.759
2.24206,1090.768
2.26894,1091.86
2.28511,1093.49
2.31199,1094.582
2.33352,1096.214
2.35503,1097.304
2.38469,1100.832
2.42771,1102.878
2.50023,1104.395
2.52709,1104.947
2.5486,1106.037
2.57546,1106.589
2.60229,1106.6
2.62915,1107.152
2.65599,1107.163
2.68285,1107.714
2.76342,1109.37
2.79026,1109.381
2.81712,1109.933
2.84398,1110.484
2.87081,1110.495
2.8923,1111.045
2.91914,1111.056
2.946,1111.608
2.97286,1112.159
3.04806,1113.677
3.11115,1114.244
3.18634,1115.491
3.23891,1121.598
3.24046,1122.087
3.25003,1131.474
3.28123,1140.006
3.28809,1143.93
3.30034,1148.398
3.32195,1151.922
3.35035,1157.749
3.36117,1159.917
3.37201,1162.626
3.3882,1164.796
3.39904,1167.505
3.41523,1169.675
3.45291,1172.395
3.47444,1174.026
3.49063,1176.196
3.50681,1178.367
3.52298,1179.996
3.54451,1181.627
3.58232,1187.593
3.5985,1189.763
3.61467,1191.392
3.6362,1193.023
3.6631,1194.657
3.67927,1196.286
3.7008,1197.918
3.72234,1199.549
3.75454,1199.562
3.77605,1200.653
3.79758,1202.284
3.81912,1203.916
3.84602,1205.549
3.86755,1207.181
3.93217,1212.616
3.94836,1214.786
3.97524,1215.879
3.99675,1216.97
4.02365,1218.603
4.10697,1221.882
4.15545,1226.229
4.19307,1227.597
4.22797,1227.882
4.29525,1232.507
4.32481,1233.6
4.35974,1234.696
4.39736,1236.064
4.46465,1240.959
4.4915,1241.511
4.51304,1243.143
4.5399,1243.694
4.56141,1244.785
4.58292,1245.875
4.63662,1246.438
4.65811,1246.988
4.68499,1248.08
4.7065,1249.171
4.73338,1250.264
4.75487,1250.813
4.78175,1251.906
4.83022,1256.253
4.85708,1256.805
4.87861,1258.436
4.90547,1258.988
4.92699,1260.079
4.95384,1260.63
