x,Curve1
0.58183,13.9368
0.60959,13.9374
0.64405,13.7705
0.67158,13.6035
0.69217,13.4363
0.72672,13.3253
0.75425,13.1583
0.78177,12.9912
0.81632,12.8802
0.84392,12.7691
0.87145,12.6021
0.90599,12.491
0.9336,12.3799
0.96814,12.2689
0.99575,12.1577
1.03029,12.0467
1.05789,11.9356
1.09244,11.8246
1.12004,11.7134
1.15451,11.5465
1.18211,11.4354
1.30686,11.3263
1.32043,11.271
1.35498,10.9921
1.38959,10.9369
1.4172,10.8258
1.45182,10.7706
1.48643,10.7155
1.52105,10.6604
1.54866,10.5492
1.58327,10.4941
1.61782,10.3831
1.65251,10.3838
1.68705,10.2728
1.71473,10.2175
1.74935,10.1623
1.78397,10.1072
1.81859,10.0521
1.8532,9.9969
1.88088,9.9416
1.9155,9.8865
1.95012,9.8314
1.98474,9.7762
2.01249,9.7768
2.04704,9.6658
2.08173,9.6665
2.11635,9.6114
2.14403,9.5561
2.17171,9.5008
2.31697,9.1687
2.33748,9.0635
2.36509,8.8345
2.39963,8.7235
2.43425,8.6683
2.46886,8.6132
2.49654,8.5579
2.53124,8.5586
2.56585,8.5035
2.60055,8.5042
2.63524,8.5049
2.66292,8.4496
2.69761,8.4504
2.73223,8.3952
2.76692,8.396
2.80162,8.3967
2.83631,8.3974
2.871,8.3981
2.9057,8.3989
2.94031,8.3437
2.97501,8.3444
3.00276,8.345
3.03052,8.3456
3.06528,8.4022
3.09998,8.4029
3.13467,8.4037
3.16235,8.3484
3.19712,8.405
3.23181,8.4057
3.2665,8.4064
3.28717,8.2951
3.30776,8.128
3.33521,7.9051
3.36282,7.7939
3.4043,7.6831
3.43899,7.6838
3.47361,7.6286
3.5083,7.6294
3.57068,7.5748
3.59843,7.5754
3.63305,7.5202
3.66774,7.521
3.70236,7.4658
3.73698,7.4107
3.77175,7.4673
3.80644,7.468
3.84106,7.4129
3.86881,7.4135
3.91731,7.3586
3.95208,7.4152
3.97983,7.4158
4.01452,7.4165
4.0422,7.3612
4.0769,7.3619
4.11159,7.3627
4.14628,7.3634
4.18098,7.3641
4.21567,7.3649
4.25029,7.3097
4.28505,7.3663
4.31975,7.367
4.35444,7.3678
4.38913,7.3685
4.42383,7.3692
4.45852,7.3699
4.49321,7.3707
4.52791,7.3714
4.5626,7.3721
4.60423,7.373
4.63892,7.3737
4.67362,7.3744
4.70831,7.3752
4.74308,7.4318
4.81246,7.4332
4.84716,7.4339
4.88185,7.4347
4.91654,7.4354
4.95124,7.4361
