x,Curve1
0.46237,0.40067
0.49369,0.40061
0.52504,0.40683
0.55635,0.40678
0.5877,0.413
0.61279,0.41923
0.64411,0.41917
0.67546,0.42539
0.70678,0.42534
0.73812,0.43155
0.76947,0.43777
0.80079,0.43772
0.82588,0.44395
0.8572,0.4439
0.88855,0.45011
0.91986,0.45006
0.95121,0.45628
0.98253,0.45622
1.01388,0.46244
1.0452,0.46239
1.07028,0.46862
1.1016,0.46856
1.13295,0.47478
1.16427,0.47473
1.19562,0.48095
1.22694,0.48089
1.25829,0.48711
1.28961,0.48706
1.31469,0.49329
1.34604,0.49951
1.37736,0.49945
1.40871,0.50567
1.44003,0.50562
1.47138,0.51184
1.50269,0.51178
1.52778,0.51801
1.55913,0.52423
1.59048,0.53045
1.6218,0.5304
1.65312,0.53034
1.68446,0.53656
1.71581,0.54278
1.74713,0.54273
1.77222,0.54896
1.80354,0.5489
1.83489,0.55512
1.86623,0.56134
1.89755,0.56128
1.92264,0.56751
1.95396,0.56746
1.98531,0.57368
2.01036,0.57364
2.04171,0.57985
2.07303,0.5798
2.10438,0.58602
2.1357,0.58597
2.16078,0.5922
2.1921,0.59214
2.25009,0.60145
2.29864,0.6045
2.32999,0.61072
2.36134,0.61694
2.38643,0.62317
2.41781,0.63566
2.44919,0.64815
2.47431,0.66066
2.50566,0.66687
2.53701,0.67309
2.56832,0.67304
2.59967,0.67926
2.62473,0.67922
2.64981,0.68544
2.68113,0.68539
2.71245,0.68534
2.74377,0.68528
2.77509,0.68523
2.8064,0.68517
2.83775,0.69139
2.86907,0.69134
2.90039,0.69129
2.93171,0.69123
2.96303,0.69118
2.99438,0.6974
3.02569,0.69734
3.05075,0.6973
3.0821,0.70352
3.11345,0.70974
3.13853,0.71597
3.16991,0.72846
3.19506,0.74723
3.23286,0.79108
3.25801,0.80985
3.27692,0.83491
3.29584,0.85997
3.35259,0.93515
3.37776,0.9602
3.39665,0.97898
3.4218,0.99776
3.44081,1.04163
3.46595,1.06041
3.48487,1.08547
3.51005,1.11052
3.55417,1.1669
3.57932,1.18567
3.59824,1.21073
3.62338,1.2295
3.66751,1.28588
3.69266,1.30466
3.71157,1.32972
3.73049,1.35478
3.78085,1.40487
3.80599,1.42365
3.82491,1.44871
3.85009,1.47376
3.88792,1.52387
3.91304,1.53638
3.93195,1.56143
3.9571,1.58021
3.98225,1.59899
3.99493,1.63033
4.02005,1.64283
4.04523,1.66788
4.06411,1.68666
4.08929,1.71171
4.12709,1.75556
4.15224,1.77433
4.17115,1.79939
4.19633,1.82444
4.22781,1.85575
4.25295,1.87452
4.27813,1.89957
4.29702,1.91836
4.32216,1.93713
4.34741,1.97473
4.37252,1.98723
4.39144,2.01229
4.41662,2.03734
4.4355,2.05612
4.46701,2.09371
4.49212,2.10621
4.51104,2.13127
4.53619,2.15004
4.5551,2.1751
4.59913,2.21266
4.62428,2.23144
4.6432,2.2565
4.66838,2.28154
4.71244,2.32538
4.73759,2.34415
4.75647,2.36294
4.78165,2.38799
4.8068,2.40676
4.83833,2.45062
4.86345,2.46312
4.88237,2.48818
4.90751,2.50696
4.93266,2.52573
4.97046,2.56958
4.99561,2.58835
5.01449,2.60714
5.03967,2.63218
