x,Curve1
8.3427,0.02212
8.4432,0.03245
8.5433,0.04789
8.6435,0.06332
8.7437,0.07875
8.8438,0.09419
8.9185,0.11469
9.0439,0.13016
9.1446,0.13539
9.2705,0.14065
9.3967,0.14081
9.5229,0.14097
9.6488,0.14624
9.7492,0.15657
9.8749,0.16693
9.9753,0.17726
10.1007,0.19273
10.2011,0.20306
10.301,0.2236
10.3759,0.239
10.4759,0.25954
10.5505,0.28004
10.6252,0.30054
10.6746,0.32101
10.7493,0.34152
10.824,0.36202
10.8732,0.38759
10.9479,0.4081
10.997,0.43367
11.0465,0.45414
11.1212,0.47464
11.1703,0.50022
11.2198,0.52069
11.2942,0.54629
11.3436,0.56676
11.3928,0.59234
11.4423,0.61281
11.4914,0.63838
11.5661,0.65889
11.6153,0.68446
11.6647,0.70493
11.7139,0.7305
11.7634,0.75097
11.8378,0.77658
11.8872,0.79705
11.9364,0.82262
11.9858,0.84309
12.0605,0.8636
12.1097,0.88917
12.1591,0.90964
12.2336,0.93525
12.283,0.95572
12.3577,0.97622
12.4068,1.00179
12.4563,1.02227
12.5055,1.04784
12.5801,1.06834
12.6293,1.09391
12.704,1.11442
12.7534,1.13489
12.8026,1.16046
12.8773,1.18097
12.9267,1.20144
13.0012,1.22704
13.0506,1.24751
13.0998,1.27309
13.1745,1.29359
13.2239,1.31406
13.2983,1.33967
13.3478,1.36014
13.4224,1.38064
13.4716,1.40621
13.5463,1.42672
13.5957,1.44719
13.6701,1.47279
13.7196,1.49326
13.7943,1.51377
13.8434,1.53934
13.9181,1.55984
13.9928,1.58035
14.0422,1.60082
14.1166,1.62642
14.1661,1.6469
14.2408,1.6674
14.2899,1.69297
14.3646,1.71348
14.4393,1.73398
14.514,1.75448
14.5886,1.77499
14.6633,1.79549
14.7128,1.81596
14.7874,1.83646
14.8621,1.85697
14.9368,1.87747
15.0362,1.90821
15.1109,1.92871
15.1855,1.94922
15.2602,1.96972
15.3349,1.99022
15.4096,2.01073
15.4842,2.03123
15.5589,2.05173
15.6336,2.07224
15.7083,2.09274
15.7829,2.11324
15.8576,2.13375
15.9575,2.15428
16.0324,2.16968
16.1071,2.19019
16.2073,2.20562
16.282,2.22612
16.3819,2.24666
16.4568,2.26206
16.5567,2.2826
16.6316,2.298
16.7316,2.31854
16.8065,2.33394
16.9064,2.35447
16.9813,2.36987
17.0815,2.38531
17.1814,2.40584
17.2563,2.42125
17.3565,2.43668
17.4564,2.45721
17.5566,2.47265
17.6315,2.48805
17.7317,2.50348
17.8319,2.51892
17.9318,2.53945
18.0319,2.55489
18.1321,2.57032
18.2323,2.58576
18.3072,2.60116
18.4074,2.61659
18.5075,2.63202
18.6077,2.64746
18.7079,2.66289
18.808,2.67833
18.9079,2.69886
18.9831,2.70916
19.0833,2.7246
19.1832,2.74513
19.2834,2.76057
19.3838,2.7709
19.484,2.78633
19.5841,2.80177
19.6843,2.8172
19.7845,2.83263
19.8846,2.84807
19.9848,2.8635
20.085,2.87893
20.1851,2.89437
20.2603,2.90467
20.3602,2.9252
20.4607,2.93554
20.5608,2.95097
20.661,2.9664
20.7612,2.98184
20.8613,2.99727
